employee_id,date,hours,overtime,status
E-3143,2025-08-03,9,0,ACTIVE
E-2753,12/01/2025,6,0,PENDING
E-2219,09/24/2026,11,2,CLOSED
E-2027,2026-08-17,7,0,pending
E-1956,2025-10-04,7,0,ACTIVE
E-2496,2025-04-05,8,0,pending
E-1307,21-03-2026,11,0,CLOSED
E-2856,2026-03-28,7,0,pending
E-1417,2026-11-16,4,0,active
E-1115,2025-07-07,12,0,PENDING
E-2864,2026-02-16,11,0,active
E-1293,09/01/2026,10,3,ACTIVE
E-3328,12/18/2026,8,0,PENDING
E-1638,17-04-2025,11,0,pending
E-3384,11-12-2026,10,0,active
E-3544,21-08-2025,11,4, Active 
E-1049,01-11-2026,8,0, Active 
E-1268,2025-10-25,11,0,CLOSED
E-1686,07/28/2025,11,4, Active 
E-1048,2025-03-12,10,0,ACTIVE
E-1760,26-02-2026,7,4,active
E-3473,2026-06-24,11,0,PENDING
E-3511,2025-05-28,10,3, Active 
E-1551,08/20/2025,9,0,ACTIVE
E-1943,2026-12-08,8,3,active
E-3331,2026-04-14,10,2,PENDING
E-3557,2025-09-14,4,0, Active 
E-1660,09-04-2025,7,1,active
E-2332,03/25/2026,8,0,active
E-1117,03/19/2026,9,0,pending
E-3596,10/03/2025,6,1,pending
E-1171,2025-07-21,4,0,PENDING
E-2891,02-02-2026,11,0,active
E-1205,2025-12-16,5,2,CLOSED
E-2605,2025-04-10,10,0,ACTIVE
E-2617,26-06-2025,9,0,CLOSED
E-1056,12/07/2025,10,0,PENDING
E-3432,2025-03-06,4,0,ACTIVE
E-1621,04-05-2026,10,0,ACTIVE
E-2641,06/02/2025,6,4, Active 
E-1828,04-11-2025,6,3,CLOSED
E-2121,10-10-2025,11,0,PENDING
E-1294,2026-06-23,9,0,closed
E-3493,07/23/2026,10,0,PENDING
E-2785,2026-05-14,5,0,closed
E-3470,2026-04-21,9,0,ACTIVE
E-3321,25-12-2026,11,0,active
E-2898,02/18/2025,6,1,active
E-2490,2026-05-17,5,0,PENDING
E-3063,2025-11-14,6,0,pending
E-3575,23-11-2025,6,0,ACTIVE
E-1062,2025-03-24,7,0, Active 
E-1258,15-05-2026,8,0,pending
E-3074,2025-04-01,12,0,active
E-3036,03/22/2026,8,1,CLOSED
E-3561,2025-11-26,6,4,pending
E-3420,05/25/2025,12,0,PENDING
E-3034,2025-07-15,7,0,CLOSED
E-1034,01/16/2026,7,0,CLOSED
E-3009,04/11/2025,6,0,active
E-1909,12-08-2026,7,0,PENDING
E-1516,2026-08-03,11,0,active
E-2464,09/17/2025,8,0,PENDING
