department_id,name,subsidiary,cost_center_id
D-1,仓储部,mfg,CC-17
D-2,采购部,retail,CC-39
D-3,生产部,saas,CC-48
D-4,人事部,saas,CC-44
D-5,财务部,saas,CC-15
D-6,研发部,saas,CC-36
D-7,市场部,saas,CC-38
D-8,财务部,saas,CC-42
D-9,生产部,retail,CC-55
D-10,采购部,retail,CC-37
D-11,销售部,mfg,CC-33
D-12,质检部,saas,CC-55
D-13,采购部,retail,CC-17
D-14,质检部,mfg,CC-40
D-15,财务部,mfg,CC-21
D-16,销售部,saas,CC-28
D-17,质检部,saas,CC-7
D-18,财务部,saas,CC-7
D-19,财务部,mfg,CC-6
D-20,销售部,retail,CC-19
D-21,财务部,mfg,CC-32
D-22,市场部,retail,CC-6
D-23,质检部,mfg,CC-60
D-24,财务部,saas,CC-39
D-25,人事部,retail,CC-25
D-26,生产部,retail,CC-20
D-27,研发部,mfg,CC-5
D-28,客服部,saas,CC-19
D-29,人事部,mfg,CC-18
D-30,质检部,mfg,CC-10
D-31,财务部,retail,CC-55
D-32,质检部,retail,CC-26
D-33,销售部,retail,CC-39
D-34,市场部,saas,CC-5
D-35,采购部,mfg,CC-52
D-36,人事部,saas,CC-19
D-37,研发部,retail,CC-24
D-38,生产部,saas,CC-59
D-39,市场部,retail,CC-35
D-40,客服部,retail,CC-34
