employee_id,exit_date,reason,department_id
E-1922,12/03/2026,健康原因,D-18
E-1079,10/01/2024,合同到期,D-8
E-2752,2024-02-16,被动优化,D-9
E-1753,2026-11-26,退休,D-11
E-3526,02/12/2026,健康原因,D-1
E-3382,2026-01-11,主动离职,D-13
E-2300,2024-03-12,退休,D-40
E-3410,02/15/2025,健康原因,D-13
E-3308,08/12/2025,退休,D-31
E-2022,05/27/2025,健康原因,D-14
E-2585,05/12/2025,合同到期,D-21
E-3254,2026-01-18,合同到期,D-35
E-1582,11-03-2026,裁员,D-17
E-1360,04-04-2026,主动离职,D-16
E-1465,2024-11-19,合同到期,D-32
E-1004,2024-11-05,健康原因,D-37
E-2985,02/27/2024,退休,D-5
E-3214,26-05-2024,被动优化,D-8
E-1681,2025-07-12,主动离职,D-11
E-2107,2024-11-09,健康原因,D-4
E-1715,06/16/2024,主动离职,D-35
E-1836,2025-07-11,退休,D-36
E-2486,10/28/2024,裁员,D-39
E-3012,2024-12-16,退休,D-38
E-3016,2025-03-06,主动离职,D-40
E-2054,2024-06-01,被动优化,D-17
E-1827,08-01-2024,退休,D-22
E-1019,09/11/2026,合同到期,D-31
E-2599,2024-09-17,被动优化,D-31
E-1261,12/02/2025,退休,D-22
E-2540,07/01/2026,健康原因,D-32
E-3243,2024-07-12,合同到期,D-18
E-1394,04/20/2024,主动离职,D-3
E-2241,01/02/2026,主动离职,D-10
E-2849,2025-11-14,退休,D-24
E-2844,2024-06-13,裁员,D-31
E-1465,2024-12-08,合同到期,D-36
E-1789,2025-04-14,主动离职,D-10
E-2486,2024-09-04,裁员,D-8
E-2302,2024-03-03,退休,D-22
E-1265,24-06-2025,裁员,D-35
E-1238,2026-08-04,被动优化,D-32
E-1262,06/05/2024,主动离职,D-26
E-2235,10/07/2026,合同到期,D-19
E-1582,2024-12-17,健康原因,D-39
E-2903,05/10/2026,裁员,D-38
E-1796,28-05-2026,主动离职,D-1
E-2164,2024-08-19,主动离职,D-22
E-1171,02-09-2026,合同到期,D-16
