subsidiary,month,revenue,receivable,days_sales_outstanding,inventory_value,headcount
mfg,2026-09,"3 156 169,00","$9,015,935.00",124,498 807,131
mfg,2025-12,26014491,4788493,97,"3 045 505,00",261
retail,2025-10,27651799,"$9,661,415.00",74,7 421 430,261
saas,02/2026,10323408,4526732,106,7635297,1152
saas,2026-08,"$6,857,676.00",769605,92,1081670,944
saas,2025-04,8716191,10034644,71,7142373,386
retail,2024-11,"$23,326,537.00","$4,308,841.00",95,"$4,365,394.00",489
saas,2024-02,4628105,"8 549 369,00",31,6589681,151
retail,2026-02,"$21,400,063.00","$2,579,709.00",57,"$5,899,749.00",1242
retail,2025-02,"$3,143,495.00",4906891,73,424473,320
saas,2024-09,16305760,"$6,584,185.00",80,2296797,1009
retail,2026-05,29060982,"$10,501,613.00",107,6110059,1091
saas,2025-03,"$16,256,779.00",9 541 107,101,"$5,853,829.00",1214
mfg,02/2024,"9 256 363,00","$9,872,120.00",104,4824021,85
mfg,2025-03,16084911,2703612,112,4724031,1295
mfg,2025-03,14698098,"8 670 974,00",116,2031331,355
mfg,2026-08,5541740,2 802 238,114,"$3,702,893.00",386
saas,2025-02,29 693 945,"$5,144,310.00",108,"$4,936,019.00",478
saas,2026-04,"$19,895,582.00",2480603,48,2418963,1192
mfg,2025-07,6851227,4621948,96,6769634,1331
retail,2026-05,"$18,318,687.00",4 003 243,100,3960210,526
saas,2025-04,22763907,9623921,101,4291270,537
mfg,2026-01,6898960,11640794,110,1438319,1153
mfg,2026-02,"10 942 595,00",3398575,94,1383949,163
retail,2026-05,24250229,"8 068 286,00",64,"$567,200.00",1348
saas,2025-08,"$3,508,857.00","$4,453,408.00",100,6396772,545
saas,2024-11,"$27,056,432.00","9 559 234,00",85,6485758,96
retail,09/2026,28386463,6427108,40,"$4,303,250.00",390
retail,2024-02,"$29,192,153.00","$4,565,271.00",55,5633153,545
retail,2026-12,26757239,4364105,50,"$5,662,581.00",390
retail,2024-07,28882565,8 173 805,52,"6 430 318,00",377
mfg,2025-01,"$22,255,301.00","2 190 301,00",122,3686218,503
retail,06/2026,"12 728 343,00",9061786,99,"$5,532,791.00",261
mfg,2024-02,19761884,"3 944 984,00",129,"$896,976.00",287
mfg,06/2024,15966898,9811423,126,786405,765
saas,08/2026,12728928,3921105,47,"$3,423,624.00",138
saas,2026-09,"$6,660,188.00",3820128,97,7660553,765
mfg,2024-02,"$21,946,631.00",9749842,127,"$2,994,981.00",219
retail,2026-06,25005386,4658832,107,4788549,1202
retail,2026-12,25265895,"$9,338,805.00",77,1824113,129
saas,2025-06,29380841,"$11,471,421.00",97,5118584,1198
retail,2026-12,"$4,707,949.00",7915384,38,5681712,1269
retail,2024-10,6872981,2877822,100,7370694,287
saas,2024-08,"$4,059,519.00","$4,506,747.00",41,"$6,661,327.00",1164
mfg,2025-01,"$15,133,533.00","2 590 010,00",97,4876969,157
retail,2026-08,21444343,10 594 504,114,5950438,355
saas,2024-06,"$6,225,616.00",6299980,89,2075718,416
saas,2026-12,15458924,8827862,68,"$1,610,785.00",324
mfg,07/2026,22143736,7810989,93,6604929,818
mfg,2026-11,2357953,10 964 191,93,3165614,846
saas,2026-08,"28 427 818,00","$6,253,137.00",103,"1 623 981,00",1182
retail,2026-01,"29 093 795,00",2220129,52,"2 283 782,00",1311
mfg,2024-05,"$14,244,830.00","$9,025,610.00",123,2536413,341
mfg,2024-01,4986814,4561839,130,4185554,1289
mfg,2025-11,13420843,1946831,124,"$2,446,736.00",953
mfg,2025-05,"$27,712,928.00",5124504,111,6395176,526
mfg,2025-09,8 094 744,"$1,416,269.00",115,5 345 365,155
mfg,2025-07,"17 211 698,00",1237899,132,5302544,820
saas,2026-01,"$12,895,190.00",11240242,97,"4 603 818,00",349
retail,2026-04,29292842,4916657,76,2851763,1139
mfg,2025-07,"$22,459,928.00","$6,067,125.00",121,3716237,986
saas,10/2024,"$28,665,380.00",10 550 408,82,7064288,1122
mfg,2025-01,27323956,595770,91,4656967,1256
retail,2026-04,13053219,11854167,48,2297762,448
saas,2024-04,2414062,"2 130 113,00",36,4468324,1264
saas,2025-10,"$25,219,297.00",6055467,45,1 760 220,773
retail,10/2024,29335565,3442855,70,"$1,084,597.00",1224
mfg,2025-02,28774484,1412689,130,"$4,910,669.00",1171
saas,10/2026,18483201,5 674 709,93,"$6,665,759.00",1242
retail,2024-05,5187995,9849592,104,2911760,1033
mfg,2026-02,22137257,11255581,116,2927450,93
saas,2025-09,"$21,700,658.00",6637767,50,7452400,99
