txn_id,from_subsidiary,to_subsidiary,amount,date,description
IT-1,retail,retail,"$318,299.00",2026-02-04,物流费
IT-2,retail,saas,"$890,545.00",2026-05-23,服务费分摊
IT-3,retail,saas,"$929,202.00",2025-04-14,内部采购
IT-4,saas,saas,819144,26-05-2026,IT 支持费
IT-5,mfg,saas,"1,180,051.00",2026-11-23,内部采购
IT-6,mfg,retail,"$1,799,068.00",04/10/2026,物流费
IT-7,mfg,retail,1914003,03/06/2025,服务费分摊
IT-8,saas,mfg,"1,364,261.00",2025-01-27,IT 支持费
IT-9,saas,saas,1272832,2026-02-24,IT 支持费
IT-10,saas,mfg,474975,2026-05-09,IT 支持费
IT-11,mfg,mfg,"954,404.00",11/17/2026,IT 支持费
IT-12,mfg,saas,605752,2025-05-25,服务费分摊
IT-13,saas,retail,"747,009.00",14-12-2025,服务费分摊
IT-14,mfg,mfg,878476,03/23/2026,物流费
IT-15,saas,retail,"$446,574.00",2025-10-27,内部采购
IT-16,saas,retail,1048409,02/13/2025,IT 支持费
IT-17,mfg,retail,1033417,10/14/2025,IT 支持费
IT-18,mfg,saas,1889044,04/10/2025,服务费分摊
IT-19,retail,retail,746867,15-03-2025,服务费分摊
IT-20,retail,retail,"636,839.00",15-07-2026,物流费
IT-21,mfg,saas,"$1,248,649.00",2025-04-24,内部采购
IT-22,retail,retail,1432419,2025-07-22,IT 支持费
IT-23,mfg,saas,1108735,06/27/2026,物流费
IT-24,mfg,retail,360380,2025-12-25,内部采购
IT-25,mfg,retail,"$285,067.00",2026-03-18,IT 支持费
IT-26,retail,saas,92385,12-08-2026,租金结算
IT-27,retail,saas,"$180,606.00",2026-05-15,IT 支持费
IT-28,mfg,saas,"$870,327.00",2025-05-24,服务费分摊
IT-29,saas,mfg,582256,2026-05-03,租金结算
IT-30,mfg,saas,"$182,763.00",20-05-2026,IT 支持费
IT-31,saas,saas,1869241,05/08/2026,租金结算
IT-32,retail,mfg,522088,02/11/2025,服务费分摊
IT-33,retail,saas,56161,2025-09-26,租金结算
IT-34,saas,saas,"1,794,745.00",2026-10-15,物流费
IT-35,retail,saas,31872,06/07/2025,内部采购
IT-36,saas,mfg,"$1,177,841.00",2025-08-25,IT 支持费
IT-37,retail,mfg,286881,04/27/2025,服务费分摊
IT-38,saas,mfg,"$802,336.00",06/09/2026,物流费
IT-39,saas,retail,157217,11/17/2026,物流费
IT-40,saas,mfg,1814528,2026-05-14,内部采购
IT-41,retail,retail,1467157,2026-12-06,物流费
IT-42,saas,retail,"$1,581,883.00",2025-05-02,服务费分摊
IT-43,mfg,mfg,61413,2025-11-20,内部采购
IT-44,retail,mfg,"1,000,346.00",2025-09-03,IT 支持费
IT-45,retail,mfg,"1,462,981.00",05/18/2026,服务费分摊
IT-46,saas,saas,"$278,187.00",04-12-2025,IT 支持费
IT-47,mfg,mfg,"1,137,887.00",02/19/2025,内部采购
IT-48,saas,retail,"$534,188.00",2025-06-08,租金结算
IT-49,retail,retail,1144905,2025-04-06,物流费
IT-50,saas,saas,"$550,915.00",02/07/2026,IT 支持费
IT-51,saas,saas,"1,050,799.00",2026-09-13,服务费分摊
IT-52,saas,mfg,"$870,227.00",07-06-2025,物流费
IT-53,retail,saas,"$68,841.00",2025-06-17,物流费
IT-54,saas,saas,"$1,310,231.00",2025-02-11,IT 支持费
IT-55,retail,retail,"$1,111,782.00",2026-11-24,服务费分摊
IT-56,saas,retail,1846508,2026-12-22,IT 支持费
IT-57,retail,mfg,"1,229,521.00",2026-03-10,租金结算
IT-58,retail,retail,"$786,064.00",2025-05-11,IT 支持费
IT-59,mfg,mfg,"$1,593,109.00",09/04/2025,IT 支持费
IT-60,retail,saas,454135,05-09-2025,服务费分摊
IT-61,mfg,retail,"1,272,563.00",2025-03-15,租金结算
IT-62,retail,mfg,1173289,05/25/2025,租金结算
IT-63,retail,mfg,"1,674,894.00",12/08/2026,租金结算
IT-64,saas,saas,1763588,2026-08-03,服务费分摊
IT-65,mfg,mfg,1736320,06/05/2025,内部采购
IT-66,saas,saas,715940,05/11/2025,内部采购
IT-67,saas,saas,1181664,2025-11-22,租金结算
IT-68,retail,retail,824027,2025-05-21,物流费
IT-69,mfg,saas,"$1,988,521.00",2025-02-08,服务费分摊
IT-70,saas,mfg,"1,408,568.00",13-04-2026,IT 支持费
IT-71,saas,saas,1307250,2025-08-19,租金结算
IT-72,saas,saas,847365,11/01/2026,物流费
IT-73,saas,saas,"571,306.00",2025-10-19,服务费分摊
IT-74,saas,saas,399504,2025-05-01,服务费分摊
IT-75,retail,mfg,"$1,697,248.00",2025-07-28,内部采购
