employee_id,month,base_salary,bonus,deductions
E-2927,2026-11,"$40,233.00",0,0
E-2562,2024-11,58 135,"$8,699.00",0
E-3483,2024-03,10961,20239,0
E-1613,2026-11,20154,"$17,688.00",0
E-1973,2024-03,29552,0,0
E-3081,09/2024,59537,0,1644
E-3434,2026-07,"$57,944.00",16 692,0
E-2150,2024-09,"$46,802.00",14 902,0
E-3330,10/2026,29849,0,0
E-3219,2025-10,9323,7602,0
E-3199,07/2025,16389,0,1 736
E-1278,02/2025,31109,0,0
E-1860,2025-05,24482,0,0
E-1998,03/2025,19485,0,0
E-2559,05/2026,58766,"$4,195.00",0
E-3059,03/2025,"$24,242.00",0,1944
E-3525,2025-12,"$37,992.00",0,0
E-1619,12/2026,"$7,654.00",9355,0
E-2666,2025-10,"46 614,00",0,0
E-3400,11/2026,17567,0,0
E-1020,2024-02,47957,0,0
E-2304,2026-12,32922,21 805,0
E-2468,2025-05,"12 275,00",0,566
E-2905,06/2024,49218,0,0
E-1655,02/2025,34289,0,0
E-2247,10/2026,24268,"$19,089.00",0
E-1776,2024-01,46 316,0,0
E-1120,2026-07,15790,0,0
E-3333,2026-03,"56 771,00",0,0
E-3496,2025-01,27061,0,0
E-3314,03/2024,"$24,870.00",12927,0
E-1805,2026-09,31703,0,0
E-2994,05/2026,"$8,920.00",25405,0
E-1247,05/2025,"$41,647.00",0,0
E-3496,2026-01,"$50,421.00",0,0
E-2978,2024-07,51989,0,0
E-2462,2025-01,15649,0,0
E-2863,2025-03,"$40,871.00","$4,146.00",0
E-3447,2025-08,"12 682,00",0,0
E-2281,2026-10,41196,0,0
E-2559,2026-06,20879,"$4,617.00",0
E-3497,11/2025,"48 274,00",0,0
E-3125,2024-07,55462,0,0
E-1668,2025-10,"$18,671.00",0,1973
E-3483,2024-10,9519,0,0
E-3493,06/2026,46865,6246,0
E-2973,2026-04,44227,0,0
E-2510,12/2024,"$26,797.00",22423,0
E-2569,2024-01,51336,27290,0
E-2598,2025-07,"41 013,00",0,0
E-2590,2024-02,57 753,8194,0
E-3206,2025-08,"$45,861.00",0,0
E-3031,2024-02,19257,0,0
E-2983,2024-05,37416,0,0
E-1181,2026-07,5 167,"$17,987.00",479
E-3360,2026-04,"$26,825.00",0,0
E-3077,2024-07,"$32,260.00",0,0
E-3210,01/2025,21479,0,0
E-2762,2025-11,8706,17 957,0
E-2179,2026-03,48359,0,0
E-1471,2024-07,48551,0,0
E-2633,2025-01,45041,"$15,033.00",0
E-1354,2026-03,"51 299,00",0,0
E-3301,12/2025,"47 704,00",0,0
E-2260,05/2025,50982,0,1494
E-1611,2026-06,9169,0,"$1,920.00"
E-1121,07/2024,"$56,842.00",0,0
E-1518,05/2025,"$11,315.00",0,0
E-3425,2026-06,47404,10548,197
E-1006,2025-01,12580,0,0
E-3369,2025-11,"59 235,00",0,0
E-2222,2026-12,51656,19640,0
E-3388,2024-05,56823,0,0
E-3518,2025-07,"$14,686.00",0,0
E-2616,2025-06,"$35,806.00","$16,901.00",0
E-1442,2026-05,"$7,298.00",0,0
E-2927,2026-04,"$51,948.00",0,0
E-3324,2026-01,46 087,0,0
E-1570,2025-08,17102,0,0
E-1967,2024-10,"$17,750.00",0,0
E-2549,2024-10,"27 019,00","$18,706.00",0
E-2412,2025-05,7065,0,0
E-2718,2026-11,"33 891,00",0,0
E-3372,07/2024,"$24,066.00",0,0
E-1468,2024-10,"$7,748.00",0,0
E-1059,2025-04,5825,0,0
E-2622,2026-11,48480,0,0
E-3433,2026-05,9433,0,0
E-1926,02/2024,56761,0,0
E-1269,05/2026,"24 149,00",0,0
E-2815,2026-07,"$25,014.00",0,0
E-3224,2026-09,"$55,294.00",0,0
E-2850,2026-02,"56 038,00",0,0
E-2449,2026-02,"$22,301.00",0,0
E-1775,2024-11,"$58,529.00",0,0
E-2768,2026-02,"38 319,00","$1,354.00",0
E-1643,2025-06,"$18,576.00",0,0
E-3427,2024-10,50523,8 588,0
E-2228,2026-09,28519,"$5,029.00",0
E-2815,2024-06,15828,19770,0
E-2346,12/2026,37401,0,0
E-2721,2026-07,59 046,0,"$1,500.00"
E-2577,01/2025,50878,"17 405,00",0
E-1506,2024-07,26379,18 727,0
E-2422,2024-08,23722,0,0
E-1194,2025-08,23 541,"$25,556.00",0
E-2169,2025-12,9905,0,0
E-3313,2024-09,38106,0,$846.00
E-3306,2024-08,"11 406,00",0,0
E-3108,2026-08,"$58,690.00",0,0
E-2078,2024-05,"$15,963.00",0,0
E-3572,2026-05,32396,19022,0
E-2024,2025-01,40 339,0,0
E-3246,2026-02,41167,0,0
E-3584,2026-11,8888,23178,0
E-3546,2025-08,"52 663,00",0,0
E-1125,2026-06,"$44,919.00",0,0
