bom_id,product_id,material_id,quantity_per_unit
BOM-1,M-1194,RM-69,2 件
BOM-2,M-1210,RM-18,1.2 m
BOM-3,M-1259,RM-99,500 g
BOM-4,M-1289,RM-11,0.5
BOM-5,M-1088,RM-80,500 g
BOM-6,M-1162,RM-66,500 g
BOM-7,M-1060,RM-98,1.2 m
BOM-8,M-1040,RM-74,0.5 kg
BOM-9,M-1201,RM-64,2 件
BOM-10,M-1080,RM-44,500 g
BOM-11,M-1200,RM-81,500 g
BOM-12,M-1288,RM-64,0.5 kg
BOM-13,M-1158,RM-91,500 g
BOM-14,M-1275,RM-63,0.5
BOM-15,M-1021,RM-53,500 g
BOM-16,M-1228,RM-79,0.5 kg
BOM-17,M-1222,RM-62,0.5
BOM-18,M-1019,RM-107,0.5 kg
BOM-19,M-1025,RM-100,0.5
BOM-20,M-1134,RM-7,2 件
BOM-21,M-1177,RM-95,500 g
BOM-22,M-1279,RM-5,500 g
BOM-23,M-1267,RM-60,0.5 kg
BOM-24,M-1258,RM-102,1.2
BOM-25,M-1116,RM-11,500 g
BOM-26,M-1256,RM-100,0.5 kg
BOM-27,M-1142,RM-99,2 件
BOM-28,M-1241,RM-42,1.2
BOM-29,M-1024,RM-40,2 件
BOM-30,M-1063,RM-107,2 件
BOM-31,M-1290,RM-102,0.5 kg
BOM-32,M-1129,RM-21,0.5
BOM-33,M-1035,RM-32,0.5
BOM-34,M-1206,RM-16,500 g
BOM-35,M-1298,RM-79,1.2
BOM-36,M-1106,RM-118,0.5 kg
BOM-37,M-1225,RM-14,0.5 kg
BOM-38,M-1201,RM-89,2 件
BOM-39,M-1068,RM-44,0.5
BOM-40,M-1287,RM-96,1.2
BOM-41,M-1005,RM-106,0.5 kg
BOM-42,M-1046,RM-117,2 件
BOM-43,M-1222,RM-78,0.5 kg
BOM-44,M-1246,RM-86,500 g
BOM-45,M-1139,RM-84,1.2
BOM-46,M-1194,RM-50,1.2 m
BOM-47,M-1190,RM-21,0.5 kg
BOM-48,M-1123,RM-34,1.2
BOM-49,M-1001,RM-28,1.2 m
BOM-50,M-1078,RM-73,1.2 m
BOM-51,M-1204,RM-13,1.2 m
BOM-52,M-1048,RM-4,0.5
BOM-53,M-1077,RM-63,0.5
BOM-54,M-1178,RM-55,0.5
BOM-55,M-1185,RM-40,0.5
BOM-56,M-1073,RM-13,500 g
BOM-57,M-1096,RM-85,2 件
BOM-58,M-1100,RM-74,500 g
BOM-59,M-1115,RM-10,0.5 kg
BOM-60,M-1090,RM-49,1.2 m
BOM-61,M-1206,RM-79,2 件
BOM-62,M-1106,RM-54,0.5
BOM-63,M-1091,RM-63,0.5 kg
BOM-64,M-1099,RM-117,1.2
BOM-65,M-1161,RM-73,500 g
BOM-66,M-1296,RM-101,0.5
BOM-67,M-1113,RM-48,0.5 kg
BOM-68,M-1206,RM-57,0.5
BOM-69,M-1003,RM-31,2 件
BOM-70,M-1265,RM-71,1.2 m
BOM-71,M-1249,RM-116,2 件
BOM-72,M-1085,RM-71,0.5
BOM-73,M-1019,RM-83,1.2 m
BOM-74,M-1195,RM-103,0.5 kg
BOM-75,M-1177,RM-79,0.5
BOM-76,M-1229,RM-101,0.5
BOM-77,M-1228,RM-51,1.2
BOM-78,M-1094,RM-87,500 g
BOM-79,M-1064,RM-5,0.5 kg
BOM-80,M-1117,RM-111,1.2
BOM-81,M-1244,RM-90,1.2
BOM-82,M-1022,RM-34,1.2
BOM-83,M-1031,RM-36,1.2 m
BOM-84,M-1194,RM-53,500 g
BOM-85,M-1225,RM-46,2 件
BOM-86,M-1086,RM-43,2 件
BOM-87,M-1073,RM-76,0.5 kg
BOM-88,M-1225,RM-30,1.2 m
BOM-89,M-1220,RM-21,0.5 kg
BOM-90,M-1288,RM-99,1.2
BOM-91,M-1076,RM-6,500 g
BOM-92,M-1237,RM-63,2 件
BOM-93,M-1148,RM-6,0.5
BOM-94,M-1265,RM-40,0.5
BOM-95,M-1139,RM-78,0.5
BOM-96,M-1257,RM-89,0.5
BOM-97,M-1169,RM-14,1.2
BOM-98,M-1141,RM-62,500 g
BOM-99,M-1127,RM-71,500 g
BOM-100,M-1117,RM-31,0.5
BOM-101,M-1236,RM-82,1.2
BOM-102,M-1298,RM-62,500 g
BOM-103,M-1053,RM-37,0.5 kg
BOM-104,M-1269,RM-3,0.5 kg
BOM-105,M-1011,RM-99,500 g
BOM-106,M-1078,RM-38,2 件
BOM-107,M-1213,RM-68,1.2
BOM-108,M-1112,RM-93,0.5 kg
BOM-109,M-1140,RM-7,0.5 kg
BOM-110,M-1054,RM-104,1.2
BOM-111,M-1089,RM-19,2 件
BOM-112,M-1043,RM-52,500 g
BOM-113,M-1256,RM-67,1.2 m
BOM-114,M-1258,RM-39,500 g
BOM-115,M-1230,RM-68,0.5 kg
BOM-116,M-1024,RM-38,0.5
BOM-117,M-1038,RM-95,0.5
BOM-118,M-1077,RM-119,1.2
BOM-119,M-1217,RM-111,1.2
BOM-120,M-1295,RM-74,1.2
BOM-121,M-1260,RM-28,1.2
BOM-122,M-1079,RM-9,0.5 kg
BOM-123,M-1198,RM-54,0.5
BOM-124,M-1083,RM-48,1.2
BOM-125,M-1112,RM-66,0.5
BOM-126,M-1230,RM-32,500 g
BOM-127,M-1232,RM-99,0.5
BOM-128,M-1069,RM-48,1.2
BOM-129,M-1019,RM-71,1.2
BOM-130,M-1091,RM-100,0.5
BOM-131,M-1114,RM-100,2 件
BOM-132,M-1215,RM-71,0.5 kg
BOM-133,M-1059,RM-102,1.2 m
BOM-134,M-1277,RM-62,0.5
BOM-135,M-1164,RM-70,500 g
BOM-136,M-1220,RM-60,0.5
BOM-137,M-1120,RM-13,500 g
BOM-138,M-1273,RM-31,500 g
BOM-139,M-1080,RM-13,1.2 m
BOM-140,M-1036,RM-101,500 g
BOM-141,M-1271,RM-93,0.5
BOM-142,M-1134,RM-83,2 件
BOM-143,M-1220,RM-32,0.5
BOM-144,M-1127,RM-69,500 g
BOM-145,M-1143,RM-43,0.5 kg
BOM-146,M-1001,RM-90,1.2
BOM-147,M-1091,RM-103,2 件
BOM-148,M-1209,RM-62,0.5 kg
BOM-149,M-1182,RM-59,0.5
BOM-150,M-1095,RM-16,2 件
BOM-151,M-1103,RM-14,0.5 kg
BOM-152,M-1144,RM-40,500 g
BOM-153,M-1052,RM-117,0.5
BOM-154,M-1232,RM-12,1.2
BOM-155,M-1288,RM-19,1.2 m
BOM-156,M-1141,RM-50,500 g
BOM-157,M-1161,RM-101,1.2
BOM-158,M-1066,RM-85,0.5
BOM-159,M-1100,RM-104,0.5
BOM-160,M-1260,RM-17,0.5 kg
BOM-161,M-1209,RM-13,1.2
BOM-162,M-1047,RM-83,0.5 kg
BOM-163,M-1196,RM-80,0.5 kg
BOM-164,M-1243,RM-38,1.2 m
BOM-165,M-1173,RM-51,1.2
BOM-166,M-1132,RM-112,0.5 kg
BOM-167,M-1111,RM-37,0.5
BOM-168,M-1233,RM-108,1.2 m
BOM-169,M-1119,RM-108,1.2 m
BOM-170,M-1091,RM-1,0.5 kg
BOM-171,M-1032,RM-105,0.5 kg
BOM-172,M-1227,RM-60,500 g
BOM-173,M-1159,RM-12,0.5 kg
BOM-174,M-1146,RM-110,2 件
BOM-175,M-1208,RM-101,500 g
BOM-176,M-1211,RM-31,2 件
BOM-177,M-1211,RM-30,0.5
BOM-178,M-1075,RM-91,1.2
BOM-179,M-1170,RM-80,1.2
BOM-180,M-1242,RM-109,2 件
BOM-181,M-1063,RM-72,500 g
BOM-182,M-1045,RM-57,0.5
BOM-183,M-1195,RM-43,500 g
BOM-184,M-1296,RM-20,1.2
BOM-185,M-1053,RM-21,0.5 kg
BOM-186,M-1230,RM-66,1.2
BOM-187,M-1046,RM-68,0.5 kg
BOM-188,M-1269,RM-93,0.5
BOM-189,M-1298,RM-96,2 件
BOM-190,M-1074,RM-28,2 件
BOM-191,M-1200,RM-110,2 件
BOM-192,M-1058,RM-115,0.5 kg
BOM-193,M-1107,RM-55,500 g
BOM-194,M-1218,RM-31,1.2
BOM-195,M-1279,RM-44,0.5 kg
BOM-196,M-1129,RM-38,2 件
BOM-197,M-1177,RM-104,2 件
BOM-198,M-1243,RM-115,1.2
BOM-199,M-1033,RM-47,1.2 m
BOM-200,M-1241,RM-23,500 g
BOM-201,M-1016,RM-68,0.5
BOM-202,M-1295,RM-40,0.5
BOM-203,M-1066,RM-20,0.5 kg
BOM-204,M-1171,RM-46,500 g
BOM-205,M-1105,RM-18,500 g
BOM-206,M-1132,RM-14,1.2
BOM-207,M-1292,RM-75,0.5
BOM-208,M-1214,RM-85,0.5
BOM-209,M-1282,RM-16,0.5
BOM-210,M-1223,RM-55,0.5 kg
BOM-211,M-1184,RM-103,1.2 m
BOM-212,M-1146,RM-6,1.2
BOM-213,M-1081,RM-89,500 g
BOM-214,M-1059,RM-110,1.2 m
BOM-215,M-1027,RM-56,1.2
BOM-216,M-1119,RM-35,0.5
BOM-217,M-1264,RM-94,2 件
BOM-218,M-1171,RM-37,1.2 m
BOM-219,M-1159,RM-81,0.5 kg
BOM-220,M-1295,RM-113,1.2
BOM-221,M-1062,RM-112,1.2
BOM-222,M-1092,RM-31,1.2
