defect_id,check_id,batch_id,defect_code,quantity
DF-1,QC-1526,BATCH-7477,DENT,27
DF-2,QC-7509,BATCH-1449,DENT,11
DF-3,QC-6852,BATCH-6697,THREAD-BAD,34
DF-4,QC-6137,BATCH-4466,SCRATCH,17
DF-5,QC-4953,BATCH-1698,未定义,29
DF-6,QC-3661,BATCH-3395,THREAD-BAD,1
DF-7,QC-7102,BATCH-5161,DENT,40
DF-8,QC-4482,BATCH-7534,SCRATCH,38
DF-9,QC-7081,BATCH-5114,THREAD-BAD,21
DF-10,QC-5943,BATCH-5819,COLOR-MISMATCH,2
DF-11,QC-4335,BATCH-1782,DIM-ERR,3
DF-12,QC-3844,BATCH-3152,DIM-ERR,26
DF-13,QC-3226,BATCH-4652,DIM-ERR,44
DF-14,QC-291,BATCH-5544,DENT,11
DF-15,QC-6282,BATCH-7587,DENT,16
DF-16,QC-5305,BATCH-2644,未定义,4
DF-17,QC-2863,BATCH-2416,未定义,37
DF-18,QC-1115,BATCH-5656,SCRATCH,11
DF-19,QC-5305,BATCH-4556,DENT,10
DF-20,QC-37,BATCH-959,DIM-ERR,1
DF-21,QC-6278,BATCH-7947,THREAD-BAD,7
DF-22,QC-993,BATCH-4395,未定义,40
DF-23,QC-7555,BATCH-1882,THREAD-BAD,46
DF-24,QC-2483,BATCH-1931,DENT,44
DF-25,QC-1471,BATCH-3307,DIM-ERR,49
DF-26,QC-5656,BATCH-5380,SCRATCH,44
DF-27,QC-3669,BATCH-3412,DIM-ERR,31
DF-28,QC-1713,BATCH-1138,DIM-ERR,6
DF-29,QC-6957,BATCH-7191,DENT,20
DF-30,QC-5760,BATCH-7932,THREAD-BAD,16
DF-31,QC-69,BATCH-2719,COLOR-MISMATCH,16
DF-32,QC-5459,BATCH-1273,SCRATCH,37
DF-33,QC-1640,BATCH-429,COLOR-MISMATCH,40
DF-34,QC-5332,BATCH-4047,未定义,17
DF-35,QC-7308,BATCH-4987,DENT,2
DF-36,QC-7020,BATCH-4694,COLOR-MISMATCH,35
DF-37,QC-3226,BATCH-1592,DENT,48
DF-38,QC-1395,BATCH-1384,DIM-ERR,18
DF-39,QC-4868,BATCH-4812,DIM-ERR,12
DF-40,QC-1316,BATCH-71,未定义,14
DF-41,QC-1186,BATCH-2406,DENT,11
DF-42,QC-1944,BATCH-5519,未定义,38
DF-43,QC-7405,BATCH-5281,DENT,35
DF-44,QC-6852,BATCH-5507,THREAD-BAD,29
DF-45,QC-869,BATCH-7729,DENT,13
DF-46,QC-5629,BATCH-319,未定义,46
DF-47,QC-1552,BATCH-447,DIM-ERR,49
DF-48,QC-2981,BATCH-2605,SCRATCH,1
DF-49,QC-4493,BATCH-5297,DENT,15
DF-50,QC-7081,BATCH-7905,THREAD-BAD,19
DF-51,QC-1932,BATCH-1317,COLOR-MISMATCH,11
DF-52,QC-3590,BATCH-2662,DIM-ERR,25
DF-53,QC-5143,BATCH-1537,SCRATCH,21
DF-54,QC-5641,BATCH-5061,DENT,30
DF-55,QC-4125,BATCH-6347,COLOR-MISMATCH,7
DF-56,QC-2081,BATCH-610,SCRATCH,1
DF-57,QC-7338,BATCH-3816,COLOR-MISMATCH,17
DF-58,QC-7988,BATCH-2126,THREAD-BAD,27
DF-59,QC-4928,BATCH-57,DENT,46
DF-60,QC-6997,BATCH-5899,DIM-ERR,2
DF-61,QC-1072,BATCH-5361,DIM-ERR,46
DF-62,QC-3431,BATCH-6601,THREAD-BAD,47
DF-63,QC-3155,BATCH-6775,SCRATCH,10
DF-64,QC-4137,BATCH-4624,DENT,8
DF-65,QC-3691,BATCH-6703,未定义,24
