invoice_id,customer_id,quotation_id,invoice_date,due_date,amount,status
MI-1,MC-680,Q-826,11/24/2026,2027-01-01,"198 427,00",overdue
MI-2,MC-1191,Q-296,2026-08-20,27-04-2025,223862,paid
MI-3,MC-849,Q-1439,2024-01-22,02/12/2024,86 721,OVERDUE
MI-4,MC-428,Q-553,08/06/2026,2024-12-14,"1 502 717,00",OVERDUE
MI-5,MC-1354,Q-1177,09/03/2024,2025-02-01,401 580,OVERDUE
MI-6,MC-948,Q-1047,2025-09-26,2027-08-04,939142,overdue
MI-7,MC-669,Q-523,04/06/2024,2024-02-16,1199620,OVERDUE
MI-8,MC-1110,Q-287,2026-02-24,2027-02-22,1103257,overdue
MI-9,MC-1360,Q-225,2026-04-22,2024-12-03,"$1,479,841.00",overdue
MI-10,MC-1102,Q-623,2025-02-15,2027-08-12,1617310,overdue
MI-11,MC-886,Q-761,19-11-2026,2024-10-15,"$598,225.00",paid
MI-12,MC-1332,Q-326,2026-07-22,2027-02-02,1848146,overdue
MI-13,MC-945,Q-417,2025-08-19,10/14/2026,"181 776,00",PAID
MI-14,MC-1044,Q-1144,2025-12-03,2024-02-24,555546,PAID
MI-15,MC-1315,Q-986,07/08/2025,2026-06-16,1085295,PAID
MI-16,MC-111,Q-266,2024-05-04,2026-03-15,"$1,998,221.00",pending
MI-17,MC-620,Q-881,2024-11-26,2027-09-05,"$192,847.00",overdue
MI-18,MC-388,Q-960,10/04/2025,10/26/2026,1 018 835,overdue
MI-19,MC-469,Q-778,2025-03-04,2027-03-23,"$555,441.00",overdue
MI-20,MC-710,Q-248,2026-04-02,2024-02-26,383787,overdue
MI-21,MC-625,Q-1295,07/14/2024,2027-09-13,762271,overdue
MI-22,MC-1157,Q-18,09/25/2026,05-03-2025,1347678,overdue
MI-23,MC-125,Q-36,2024-04-15,2027-03-03,"$759,910.00",overdue
MI-24,MC-755,Q-1263,07/08/2024,09/21/2025,622947,pending
MI-25,MC-1182,Q-743,05-02-2025,2026-01-16,"$1,188,970.00",overdue
MI-26,MC-1117,Q-990,2026-10-05,2025-02-26,235593,paid
MI-27,MC-1226,Q-653,2024-12-14,03/11/2024,1565731,overdue
MI-28,MC-373,Q-1094,11/17/2025,2027-10-06,"$1,990,743.00",overdue
MI-29,MC-461,Q-178,06/12/2024,2024-09-28,1711213,PAID
MI-30,MC-789,Q-670,11/24/2025,2027-04-24,"$14,174.00",overdue
MI-31,MC-701,Q-907,2025-01-02,11/15/2024,1788434,overdue
MI-32,MC-333,Q-797,01/25/2024,2027-10-14,1 275 432,overdue
MI-33,MC-144,Q-307,2025-07-19,01/20/2025,1 455 498,pending
MI-34,MC-1104,Q-539,11/14/2024,2027-04-04,"$283,608.00",overdue
MI-35,MC-351,Q-463,2026-06-09,28-11-2026,643 269,pending
MI-36,MC-855,Q-1075,2024-12-09,12/07/2025,44114,overdue
MI-37,MC-430,Q-1342,05/14/2024,07/27/2024,1 101 786,PAID
MI-38,MC-421,Q-556,2026-04-06,05/26/2024,"1 632 093,00",overdue
MI-39,MC-920,Q-1159,06/17/2025,2027-11-07,"$1,984,991.00",overdue
MI-40,MC-514,Q-329,2025-01-21,01/17/2024,963685,PAID
MI-41,MC-458,Q-548,2025-04-04,2027-05-25,"538 688,00",overdue
MI-42,MC-1309,Q-607,2026-05-27,2024-07-17,"170 976,00",pending
MI-43,MC-1092,Q-1100,04/18/2026,2027-11-15,"$869,537.00",overdue
MI-44,MC-913,Q-169,01/11/2024,02/24/2025,1727157,pending
MI-45,MC-328,Q-129,05/17/2024,2027-05-05,1615467,overdue
MI-46,MC-319,Q-1143,2024-03-23,2026-10-25,1 889 597,paid
MI-47,MC-1099,Q-740,2025-01-04,11/04/2024,"1 751 081,00",OVERDUE
MI-48,MC-1215,Q-1080,2026-05-04,17-08-2025,"1 079 825,00",OVERDUE
MI-49,MC-799,Q-21,08/25/2025,2026-11-18,722 403,pending
MI-50,MC-18,Q-1167,2026-02-21,2027-12-08,180349,overdue
MI-51,MC-868,Q-1180,2025-11-16,2025-08-12,1982616,OVERDUE
MI-52,MC-6,Q-1136,2025-03-28,2027-06-26,"$1,191,358.00",overdue
MI-53,MC-1144,Q-254,2026-06-10,07/08/2026,1367453,paid
MI-54,MC-937,Q-193,2024-10-22,2027-12-16,1091217,overdue
MI-55,MC-1383,Q-650,2025-08-12,05/13/2024,"$856,994.00",pending
MI-56,MC-540,Q-1193,04/20/2024,2027-06-06,625275,overdue
MI-57,MC-1091,Q-1070,09/24/2024,09/11/2026,325421,overdue
MI-58,MC-111,Q-1029,2026-07-23,2026-05-11,1149803,paid
MI-59,MC-111,Q-973,21-05-2025,27-05-2025,1635865,OVERDUE
MI-60,MC-650,Q-138,09/25/2025,07/13/2024,"1 075 451,00",pending
MI-61,MC-1251,Q-721,05-04-2024,2027-01-09,738 333,overdue
MI-62,MC-544,Q-501,09/13/2024,10/25/2025,"456 562,00",OVERDUE
MI-63,MC-692,Q-131,2025-06-07,2027-07-27,1111741,overdue
MI-64,MC-573,Q-724,09-11-2025,05/04/2026,"1 296 103,00",paid
MI-65,MC-722,Q-703,13-06-2024,2027-01-17,"115 473,00",overdue
MI-66,MC-994,Q-711,2024-09-12,07/12/2025,1278112,paid
MI-67,MC-918,Q-1099,2026-10-11,2027-07-07,1835303,overdue
MI-68,MC-1253,Q-826,01/16/2026,2024-08-23,"1 389 596,00",OVERDUE
MI-69,MC-769,Q-860,07/10/2024,2026-04-18,"473 642,00",overdue
MI-70,MC-504,Q-359,26-08-2026,08/07/2024,1 181 489,pending
MI-71,MC-703,Q-360,14-03-2026,2024-06-17,"$1,086,158.00",PAID
MI-72,MC-358,Q-705,26-12-2024,2027-02-10,"$824,357.00",overdue
MI-73,MC-494,Q-1397,02/19/2026,2025-05-24,849 852,PAID
MI-74,MC-1320,Q-43,20-02-2024,2027-08-28,"1 156 111,00",overdue
MI-75,MC-796,Q-60,23-02-2025,05/04/2025,1379135,overdue
MI-76,MC-704,Q-1060,04/21/2026,2027-02-18,542 791,overdue
MI-77,MC-1070,Q-463,2025-07-10,2026-04-01,1060452,overdue
MI-78,MC-1130,Q-945,11/16/2026,2027-08-08,1281704,overdue
MI-79,MC-427,Q-1351,03-06-2026,09/14/2024,"$1,817,462.00",overdue
MI-80,MC-1268,Q-37,2024-06-08,02/14/2025,1731098,paid
MI-81,MC-1179,Q-854,2026-04-16,2026-02-12,"$357,440.00",OVERDUE
MI-82,MC-128,Q-530,2025-06-07,03/27/2025,784235,PAID
MI-83,MC-1000,Q-1251,11/27/2024,2027-03-11,1073452,overdue
MI-84,MC-1061,Q-752,2024-08-12,01/20/2026,"$250,659.00",pending
MI-85,MC-1160,Q-95,19-02-2025,2027-09-01,"$134,601.00",overdue
MI-86,MC-333,Q-830,2024-03-03,12/16/2024,"1 853 706,00",OVERDUE
MI-87,MC-1181,Q-180,12-02-2025,2027-03-19,"1 825 623,00",overdue
MI-88,MC-1080,Q-810,14-06-2024,2025-12-12,833182,pending
MI-89,MC-1131,Q-1159,11/14/2026,2027-09-09,"$551,832.00",overdue
MI-90,MC-15,Q-1068,22-02-2025,2025-06-23,"$1,349,807.00",pending
MI-91,MC-1064,Q-841,2025-11-15,13-05-2026,"$1,412,726.00",pending
MI-92,MC-1369,Q-1274,08-06-2026,12/20/2026,402589,paid
MI-93,MC-617,Q-363,08/03/2025,07/25/2025,"$1,629,042.00",paid
MI-94,MC-285,Q-1025,2025-09-05,2027-04-12,"$341,459.00",overdue
MI-95,MC-966,Q-399,2026-01-05,2024-04-09,291146,OVERDUE
MI-96,MC-947,Q-1352,04/18/2026,2027-10-02,"$124,506.00",overdue
MI-97,MC-813,Q-432,04/03/2025,27-06-2026,1349987,paid
MI-98,MC-39,Q-1488,08/12/2026,2027-04-20,"98 849,00",overdue
MI-99,MC-1003,Q-1307,04/14/2026,07/09/2026,1825511,PAID
MI-100,MC-489,Q-1148,02-05-2026,2027-10-10,"37 474,00",overdue
MI-101,MC-737,Q-386,2024-10-12,07/27/2024,757227,pending
MI-102,MC-969,Q-106,06/27/2025,2025-03-15,1613722,OVERDUE
MI-103,MC-566,Q-92,2026-10-26,2025-10-24,580391,overdue
MI-104,MC-424,Q-429,2026-01-13,2024-12-06,"$568,860.00",pending
MI-105,MC-380,Q-55,06/28/2026,2027-05-13,59037,overdue
MI-106,MC-484,Q-434,04/20/2025,07-04-2026,1049685,pending
MI-107,MC-1043,Q-643,2024-12-20,2027-11-03,175115,overdue
MI-108,MC-562,Q-1231,03/18/2024,2025-10-12,"$1,808,669.00",PAID
MI-109,MC-516,Q-1441,2025-06-04,2027-05-21,1422119,overdue
MI-110,MC-1176,Q-739,2024-11-02,2025-09-24,879635,paid
MI-111,MC-342,Q-267,10/06/2025,2027-11-11,798469,overdue
MI-112,MC-1318,Q-674,14-06-2026,2024-08-10,"1 230 674,00",PAID
MI-113,MC-521,Q-722,01/10/2026,2024-09-28,1658893,OVERDUE
MI-114,MC-469,Q-379,2025-12-07,2025-04-24,"$1,760,831.00",PAID
MI-115,MC-856,Q-30,2024-11-05,02/21/2025,1031398,PAID
MI-116,MC-772,Q-1248,01/14/2025,2027-06-14,1380898,overdue
MI-117,MC-859,Q-490,2024-07-02,2024-09-10,498 441,pending
MI-118,MC-784,Q-751,2024-05-01,2027-12-04,1243840,overdue
MI-119,MC-539,Q-856,2025-04-07,2025-02-08,"1 515 208,00",paid
MI-120,MC-1099,Q-747,06/16/2024,2027-06-22,"$672,797.00",overdue
MI-121,MC-562,Q-1469,03/15/2024,2026-07-06,"$803,227.00",overdue
MI-122,MC-125,Q-113,2024-04-08,2027-12-12,1697006,overdue
MI-123,MC-337,Q-930,25-03-2024,05/09/2025,"$470,928.00",overdue
MI-124,MC-771,Q-964,2026-11-02,2026-07-25,648439,OVERDUE
MI-125,MC-1353,Q-13,2025-12-05,2024-01-21,"1 247 061,00",pending
MI-126,MC-336,Q-158,11/24/2025,24-12-2026,76669,overdue
MI-127,MC-590,Q-1076,2026-07-23,2027-07-15,"$1,012,151.00",overdue
MI-128,MC-729,Q-807,03/03/2026,2025-03-06,427 681,pending
MI-129,MC-838,Q-658,01-04-2025,2027-01-05,"$378,416.00",overdue
MI-130,MC-621,Q-1170,07/11/2024,2024-12-22,"$890,153.00",pending
MI-131,MC-979,Q-1336,02-06-2026,2027-07-23,"$1,495,372.00",overdue
MI-132,MC-476,Q-484,08/02/2026,2025-08-08,393819,PAID
MI-133,MC-1022,Q-322,2026-05-25,2027-01-13,1019381,overdue
MI-134,MC-892,Q-591,05/25/2024,05-09-2026,1075758,overdue
MI-135,MC-649,Q-1307,2026-09-24,2024-01-16,307 661,pending
MI-136,MC-302,Q-1371,2024-05-05,05/07/2024,478718,PAID
MI-137,MC-1178,Q-614,2024-08-07,2026-07-07,"$139,800.00",pending
MI-138,MC-826,Q-994,2024-11-28,2027-08-16,"$1,849,292.00",overdue
MI-139,MC-1339,Q-1152,2026-10-16,2024-03-15,1471916,PAID
MI-140,MC-1121,Q-233,2024-10-27,2027-02-06,"$949,576.00",overdue
MI-141,MC-407,Q-967,20-07-2024,10/15/2026,"$913,006.00",pending
MI-142,MC-456,Q-684,2026-06-03,2027-08-24,1588142,overdue
MI-143,MC-430,Q-728,05/21/2025,28-10-2025,700764,OVERDUE
MI-144,MC-547,Q-325,01-10-2024,2027-02-14,1728504,overdue
MI-145,MC-1252,Q-1397,05/28/2025,2024-10-01,411610,PAID
MI-146,MC-942,Q-918,04-01-2024,2024-06-23,1624286,pending
MI-147,MC-1150,Q-30,01/08/2026,2024-04-02,32779,pending
MI-148,MC-1156,Q-713,27-11-2025,09/04/2026,1295768,OVERDUE
MI-149,MC-312,Q-1255,2024-05-21,2027-09-17,1821166,overdue
MI-150,MC-1042,Q-983,2024-03-25,22-11-2024,"$1,530,659.00",OVERDUE
MI-151,MC-1342,Q-758,01/22/2026,2027-03-07,265868,overdue
MI-152,MC-425,Q-366,2026-10-09,09/13/2024,1871434,OVERDUE
MI-153,MC-614,Q-99,2025-06-15,2027-09-25,474 067,overdue
MI-154,MC-823,Q-752,2024-05-26,2024-03-02,1715063,pending
MI-155,MC-614,Q-943,2026-09-11,2027-03-15,987765,overdue
MI-156,MC-1008,Q-1463,13-05-2026,13-10-2025,1 654 584,OVERDUE
MI-157,MC-841,Q-980,2024-01-28,04/28/2026,1384104,overdue
MI-158,MC-1302,Q-636,06/15/2024,11/13/2024,248705,paid
MI-159,MC-977,Q-161,2024-12-18,28-08-2024,"1 718 075,00",paid
