inv_id,material_id,quantity,location,last_count_date
MI-1,RM-11,3686,A2-24,04/06/2025
MI-2,RM-19,36809,A8-7,08/26/2026
MI-3,RM-30,25851,A5-3,2026-04-07
MI-4,RM-93,29589,A2-24,2026-05-10
MI-5,RM-33,45866,A6-10,2025-08-01
MI-6,RM-94,36229,A6-2,2026-10-07
MI-7,RM-94,46451,A9-7,2026-03-17
MI-8,RM-31,31222,A9-15,2025-03-26
MI-9,RM-107,27616,A2-21,12/19/2026
MI-10,RM-106,39743,A3-6,27-07-2025
MI-11,RM-32,26398,A7-26,2025-11-02
MI-12,RM-9,5090,A6-24,12/26/2026
MI-13,RM-103,45748,A3-29,01/18/2026
MI-14,RM-34,4469,A7-22,2026-04-17
MI-15,RM-37,7420,A4-9,2025-02-06
MI-16,RM-100,34928,A5-9,2025-01-16
MI-17,RM-7,27049,A6-19,05/25/2026
MI-18,RM-33,6734,A1-27,11/18/2025
MI-19,RM-34,44005,A4-2,2026-06-06
MI-20,RM-42,12996,A1-14,2026-02-02
MI-21,RM-14,27480,A6-2,04/27/2025
MI-22,RM-32,31285,A1-25,2025-02-21
MI-23,RM-7,13574,A4-8,2026-05-20
MI-24,RM-117,13857,A5-15,2026-07-21
MI-25,RM-45,24213,A9-15,2026-08-07
MI-26,RM-83,33523,A6-14,2025-02-06
MI-27,RM-97,23087,A1-20,2025-11-02
MI-28,RM-7,40320,A5-28,19-05-2026
MI-29,RM-119,4727,A1-15,10-11-2026
MI-30,RM-15,15915,A9-5,25-04-2025
MI-31,RM-114,40502,A8-8,2025-01-07
MI-32,RM-27,3565,A5-11,2026-02-05
MI-33,RM-93,3976,A7-27,2026-11-23
MI-34,RM-105,31337,A1-12,2025-02-16
MI-35,RM-90,37383,A2-14,2025-09-04
MI-36,RM-78,14502,A3-21,24-06-2025
MI-37,RM-26,35388,A5-20,2026-03-01
MI-38,RM-102,39633,A1-23,06/23/2026
MI-39,RM-48,25961,A1-3,09/04/2026
MI-40,RM-105,6900,A3-17,2025-12-14
MI-41,RM-5,48967,A3-9,2026-12-05
MI-42,RM-66,13198,A5-22,2025-09-06
MI-43,RM-38,27783,A8-15,2025-02-14
MI-44,RM-78,40101,A7-5,10/17/2025
MI-45,RM-20,38146,A4-8,2025-07-25
MI-46,RM-29,19707,A7-20,2025-05-21
MI-47,RM-109,22267,A9-4,2026-12-14
MI-48,RM-11,23792,A4-25,21-08-2026
MI-49,RM-1,14104,A9-28,15-11-2026
MI-50,RM-120,14383,A4-15,11/25/2025
MI-51,RM-33,42939,A2-26,2026-12-01
MI-52,RM-62,35124,A4-7,2025-07-19
MI-53,RM-116,37772,A9-9,10/16/2025
MI-54,RM-94,9646,A3-5,26-09-2026
MI-55,RM-71,10426,A8-26,2025-07-21
MI-56,RM-56,9298,A2-14,2025-07-23
MI-57,RM-98,8713,A2-26,12/18/2026
MI-58,RM-5,30812,A6-22,03/03/2025
MI-59,RM-85,3600,A7-13,07/07/2025
MI-60,RM-111,45902,A3-20,10/25/2026
MI-61,RM-50,7398,A3-3,10/01/2026
MI-62,RM-19,10168,A5-6,12-02-2026
MI-63,RM-53,25773,A5-25,2025-05-08
MI-64,RM-60,37977,A8-6,16-07-2026
MI-65,RM-11,2412,A3-11,11-10-2026
MI-66,RM-102,28295,A6-2,2026-09-12
MI-67,RM-35,22003,A5-15,02/10/2026
MI-68,RM-10,146,A9-21,22-11-2025
MI-69,RM-11,44048,A9-11,09/22/2025
MI-70,RM-66,21953,A9-22,2025-09-26
MI-71,RM-105,23546,A2-15,2026-11-18
MI-72,RM-96,31445,A1-5,2025-11-27
MI-73,RM-28,10021,A3-13,2026-10-09
MI-74,RM-97,25895,A4-25,2026-10-17
MI-75,RM-119,2887,A9-26,07-05-2025
MI-76,RM-112,11494,A4-16,10/13/2026
MI-77,RM-85,47405,A5-17,08-05-2025
MI-78,RM-107,43580,A7-29,03/16/2026
MI-79,RM-40,5369,A8-20,2026-04-02
MI-80,RM-43,11453,A5-4,10/28/2026
MI-81,RM-88,15400,A3-8,07/26/2025
MI-82,RM-31,34302,A8-16,2025-07-25
MI-83,RM-42,24381,A3-17,12-11-2025
MI-84,RM-59,19054,A4-23,2025-10-23
MI-85,RM-36,22890,A7-13,2026-05-07
MI-86,RM-71,35910,A3-4,23-03-2026
MI-87,RM-111,5973,A9-18,2025-11-05
MI-88,RM-72,22971,A8-9,2026-05-21
MI-89,RM-111,19531,A5-9,2026-04-24
MI-90,RM-68,5122,A6-7,2025-02-20
MI-91,RM-97,22981,A8-24,2025-08-12
