batch_id,order_id,material_id,start_date,output_qty
BATCH-1,MO-7084,RM-84,2026-09-10,4293
BATCH-2,MO-650,RM-46,27-11-2024,1867
BATCH-3,MO-7174,RM-100,04/15/2024,3988
BATCH-4,MO-954,RM-39,2024-05-27,3431
BATCH-5,MO-795,RM-10,28-04-2024,1907
BATCH-6,MO-3082,RM-21,2024-09-04,3165
BATCH-7,MO-3145,RM-23,2024-06-06,275
BATCH-8,MO-6174,RM-14,2026-08-10,1550
BATCH-9,MO-3068,RM-10,12-09-2024,4022
BATCH-10,MO-75,RM-100,2024-10-23,3981
BATCH-11,MO-7015,RM-113,03/28/2026,2898
BATCH-12,MO-6878,RM-27,11/24/2024,1788
BATCH-13,MO-7749,RM-119,2024-03-22,2111
BATCH-14,MO-4230,RM-71,06/04/2025,4336
BATCH-15,MO-3644,RM-32,21-04-2026,4255
BATCH-16,MO-482,RM-76,2026-05-23,878
BATCH-17,MO-6180,RM-1,2024-06-04,4218
BATCH-18,MO-7529,RM-27,2025-12-26,2428
BATCH-19,MO-42,RM-91,2024-08-07,2501
BATCH-20,MO-2861,RM-6,2024-11-23,1452
BATCH-21,MO-2776,RM-103,2025-07-27,1532
BATCH-22,MO-4125,RM-93,12/16/2025,3016
BATCH-23,MO-5386,RM-116,06/27/2026,1837
BATCH-24,MO-6125,RM-8,2024-02-06,3040
BATCH-25,MO-1046,RM-30,16-05-2025,450
BATCH-26,MO-5142,RM-14,2025-12-24,3971
BATCH-27,MO-7377,RM-75,08/23/2025,45
BATCH-28,MO-2816,RM-110,2024-01-02,16
BATCH-29,MO-3163,RM-62,10/01/2026,3924
BATCH-30,MO-816,RM-115,2025-04-14,2003
BATCH-31,MO-2535,RM-17,2026-01-09,3484
BATCH-32,MO-4633,RM-107,17-09-2026,2669
BATCH-33,MO-6902,RM-6,09/06/2025,586
BATCH-34,MO-6933,RM-65,02/17/2025,2211
BATCH-35,MO-6715,RM-88,2024-04-14,4560
BATCH-36,MO-3522,RM-67,05/19/2026,343
BATCH-37,MO-3305,RM-77,2025-11-20,1839
BATCH-38,MO-3428,RM-16,2025-04-04,1625
BATCH-39,MO-6540,RM-57,2025-12-08,3237
BATCH-40,MO-1827,RM-57,24-11-2025,950
BATCH-41,MO-4069,RM-88,2025-11-10,4028
BATCH-42,MO-3714,RM-2,10-10-2025,347
BATCH-43,MO-7577,RM-49,05/28/2025,3885
BATCH-44,MO-7437,RM-98,26-11-2025,1802
BATCH-45,MO-3722,RM-105,09/01/2026,2991
BATCH-46,MO-5211,RM-82,08/26/2026,1125
BATCH-47,MO-7129,RM-37,11/11/2025,601
BATCH-48,MO-544,RM-106,2024-05-12,3493
BATCH-49,MO-1265,RM-71,17-03-2026,296
BATCH-50,MO-1637,RM-42,16-05-2026,362
BATCH-51,MO-3110,RM-98,11-06-2025,194
BATCH-52,MO-2264,RM-88,07/09/2024,3718
BATCH-53,MO-7231,RM-113,06/18/2025,4408
BATCH-54,MO-2025,RM-101,18-06-2026,4670
BATCH-55,MO-2157,RM-44,2024-01-26,973
BATCH-56,MO-1896,RM-25,27-11-2025,3221
BATCH-57,MO-4379,RM-25,04/26/2026,741
BATCH-58,MO-2964,RM-7,2025-11-03,2284
BATCH-59,MO-85,RM-6,05/02/2026,479
BATCH-60,MO-4023,RM-45,2026-06-08,980
BATCH-61,MO-2061,RM-46,2026-08-02,447
BATCH-62,MO-2243,RM-81,2024-06-25,3857
BATCH-63,MO-5816,RM-18,07/08/2025,4094
BATCH-64,MO-4788,RM-44,2024-03-01,2710
BATCH-65,MO-6644,RM-34,2024-09-17,1666
BATCH-66,MO-1911,RM-24,09/07/2025,3554
BATCH-67,MO-2498,RM-103,2026-09-07,116
BATCH-68,MO-6649,RM-44,2024-11-25,1608
BATCH-69,MO-2483,RM-99,05/07/2026,3448
BATCH-70,MO-5907,RM-104,2024-12-03,3162
BATCH-71,MO-7436,RM-2,2025-06-20,3175
BATCH-72,MO-7142,RM-5,07/04/2024,2997
BATCH-73,MO-3883,RM-99,2026-06-18,980
BATCH-74,MO-4940,RM-113,2025-06-03,1790
BATCH-75,MO-550,RM-66,16-03-2024,465
BATCH-76,MO-4229,RM-119,05/13/2025,3774
BATCH-77,MO-3702,RM-38,2026-08-19,1103
BATCH-78,MO-2113,RM-10,23-02-2024,4626
BATCH-79,MO-6553,RM-65,2024-01-15,2898
BATCH-80,MO-4354,RM-118,15-10-2025,410
BATCH-81,MO-1789,RM-19,09/04/2025,1301
BATCH-82,MO-2445,RM-41,16-05-2026,4597
BATCH-83,MO-718,RM-2,2025-12-11,2441
BATCH-84,MO-1670,RM-63,2025-08-13,684
BATCH-85,MO-1874,RM-30,2024-05-06,2056
BATCH-86,MO-6469,RM-94,2026-01-20,2252
BATCH-87,MO-2852,RM-10,11/25/2025,1580
BATCH-88,MO-2752,RM-109,04/13/2025,173
BATCH-89,MO-2849,RM-12,08-02-2025,343
BATCH-90,MO-6926,RM-102,05/03/2026,4220
BATCH-91,MO-2136,RM-91,05/25/2026,939
BATCH-92,MO-4344,RM-75,2024-08-24,1053
BATCH-93,MO-1157,RM-36,2025-04-10,2441
BATCH-94,MO-5181,RM-110,2026-05-04,358
BATCH-95,MO-5774,RM-87,07/18/2025,3845
BATCH-96,MO-1659,RM-9,2025-02-07,3843
BATCH-97,MO-3555,RM-55,2024-12-18,2172
BATCH-98,MO-4361,RM-112,03/05/2026,268
BATCH-99,MO-3210,RM-79,06/26/2026,2716
BATCH-100,MO-4471,RM-27,16-11-2025,3525
BATCH-101,MO-3101,RM-18,2024-07-07,2197
BATCH-102,MO-7148,RM-82,2024-09-03,3492
BATCH-103,MO-2732,RM-77,2026-05-17,4213
BATCH-104,MO-6596,RM-53,2026-11-20,2515
BATCH-105,MO-3231,RM-8,2025-11-04,663
BATCH-106,MO-7992,RM-73,24-05-2025,1882
BATCH-107,MO-2028,RM-29,2025-10-06,755
BATCH-108,MO-6163,RM-9,09/15/2025,4690
BATCH-109,MO-7012,RM-52,01/13/2024,2800
BATCH-110,MO-3243,RM-87,06/17/2026,1406
BATCH-111,MO-5868,RM-61,2024-03-28,2354
BATCH-112,MO-3960,RM-42,2025-09-28,2253
BATCH-113,MO-4650,RM-87,03/06/2025,4425
BATCH-114,MO-328,RM-29,10-07-2025,4639
BATCH-115,MO-5116,RM-109,03-12-2025,2070
BATCH-116,MO-7881,RM-70,04-07-2025,3741
BATCH-117,MO-2970,RM-104,2024-07-24,78
BATCH-118,MO-1849,RM-94,2024-12-23,2831
BATCH-119,MO-2367,RM-35,2024-05-01,4074
BATCH-120,MO-713,RM-87,2024-05-25,2480
BATCH-121,MO-1545,RM-52,2025-03-04,1087
BATCH-122,MO-6424,RM-14,2025-03-03,1108
BATCH-123,MO-1166,RM-58,2025-10-24,4539
BATCH-124,MO-1310,RM-25,2024-05-11,3244
BATCH-125,MO-4226,RM-82,2026-08-20,138
BATCH-126,MO-273,RM-21,2024-07-08,2775
BATCH-127,MO-4359,RM-62,2024-07-01,2904
BATCH-128,MO-3988,RM-15,18-12-2024,567
BATCH-129,MO-6590,RM-91,2026-05-28,2455
BATCH-130,MO-7427,RM-22,04/04/2025,880
BATCH-131,MO-7645,RM-31,2024-12-14,3924
BATCH-132,MO-7920,RM-40,2026-12-17,3957
BATCH-133,MO-1251,RM-48,2026-10-28,986
BATCH-134,MO-6875,RM-93,2026-09-05,4443
BATCH-135,MO-7265,RM-50,07/25/2025,702
BATCH-136,MO-7988,RM-46,06/24/2024,3433
BATCH-137,MO-3704,RM-87,2024-12-06,3918
BATCH-138,MO-5921,RM-119,2025-11-25,4596
BATCH-139,MO-5887,RM-96,2024-06-17,565
BATCH-140,MO-1999,RM-35,09/26/2026,2942
BATCH-141,MO-4158,RM-3,01/05/2025,4679
BATCH-142,MO-3940,RM-17,2024-08-09,707
BATCH-143,MO-4896,RM-72,08-09-2025,2022
BATCH-144,MO-5804,RM-110,22-09-2024,1633
BATCH-145,MO-608,RM-16,2024-07-01,1826
BATCH-146,MO-3497,RM-73,2024-06-14,2686
BATCH-147,MO-1861,RM-42,20-11-2025,534
BATCH-148,MO-4513,RM-45,16-08-2024,1664
