order_id,product_id,work_center_id,planned_qty,status,due_date
MO-1,M-1230,WC-7,896,COMPLETED,09/10/2026
MO-2,M-1108,WC-8,3777,open,11/06/2025
MO-3,M-1247,WC-6,3960,released,2024-03-23
MO-4,M-1160,WC-11,1865,RELEASED,28-11-2026
MO-5,M-1097,WC-14,244,OPEN,05/21/2026
MO-6,M-1140,WC-3,1226,completed,07/13/2026
MO-7,M-1094,WC-4,3781,COMPLETED,2025-07-06
MO-8,M-1055,WC-12,2549,completed,05/17/2026
MO-9,M-1117,WC-14,4374,completed,04-08-2024
MO-10,M-1258,WC-10,2959,COMPLETED,2026-05-26
MO-11,M-1142,WC-4,297,OPEN,06/28/2026
MO-12,M-1210,WC-12,4007,RELEASED,01/24/2025
MO-13,M-1298,WC-9,2766,COMPLETED,20-06-2025
MO-14,M-1281,WC-14,3248,open,2024-10-03
MO-15,M-1198,WC-15,2179,RELEASED,2025-07-15
MO-16,M-1267,WC-10,828,completed,12-05-2024
MO-17,M-1037,WC-9,4441,completed,2024-03-07
MO-18,M-1082,WC-9,2172,OPEN,11/24/2025
MO-19,M-1288,WC-13,4383,OPEN,2026-01-20
MO-20,M-1091,WC-13,1509,OPEN,2025-07-11
MO-21,M-1156,WC-6,4558,OPEN,2025-08-06
MO-22,M-1162,WC-9,2513,released,28-01-2024
MO-23,M-1118,WC-3,2822,RELEASED,23-02-2026
MO-24,M-1289,WC-15,2841,released,08/20/2025
MO-25,M-1226,WC-9,587,completed,21-05-2025
MO-26,M-1234,WC-11,1169,OPEN,07/23/2026
MO-27,M-1083,WC-9,4542,open,2026-09-20
MO-28,M-1022,WC-2,1290,completed,15-06-2024
MO-29,M-1236,WC-10,691,RELEASED,08/28/2025
MO-30,M-1134,WC-14,410,COMPLETED,2025-01-12
MO-31,M-1216,WC-4,1356,open,03/18/2024
MO-32,M-1267,WC-12,1649,COMPLETED,12/25/2026
MO-33,M-1283,WC-10,2248,completed,24-08-2025
MO-34,M-1053,WC-11,1704,RELEASED,07/26/2024
