po_item_id,po_id,material_id,quantity,unit_cost
PM-1,PO-508,RM-8,8353,"524,00"
PM-2,PO-1019,RM-97,2489,"1 164,00"
PM-3,PO-1204,RM-107,8865,3190
PM-4,PO-1156,RM-32,9129,2746
PM-5,PO-947,RM-112,1933,236
PM-6,PO-1387,RM-7,1094,3289
PM-7,PO-1904,RM-10,864,814
PM-8,PO-290,RM-37,78,3525
PM-9,PO-1183,RM-115,9114,3 402
PM-10,PO-57,RM-25,9952,1 565
PM-11,PO-1787,RM-8,5234,2426
PM-12,PO-846,RM-82,1055,"$3,498.00"
PM-13,PO-361,RM-62,2444,$711.00
PM-14,PO-1704,RM-87,5937,2 594
PM-15,PO-264,RM-69,9210,1125
PM-16,PO-1482,RM-15,4012,1307
PM-17,PO-119,RM-26,7067,171
PM-18,PO-1427,RM-39,6322,1063
PM-19,PO-1238,RM-4,9785,$356.00
PM-20,PO-135,RM-104,4162,"$1,851.00"
PM-21,PO-1263,RM-90,8708,2424
PM-22,PO-1615,RM-101,5134,"$1,143.00"
PM-23,PO-1685,RM-2,8268,2 359
PM-24,PO-1413,RM-120,8754,2290
PM-25,PO-1809,RM-37,4721,"$1,809.00"
PM-26,PO-1186,RM-90,205,1637
PM-27,PO-1699,RM-96,7125,1723
PM-28,PO-1195,RM-55,8702,"3 250,00"
PM-29,PO-1544,RM-13,2423,36
PM-30,PO-1878,RM-99,8355,1780
PM-31,PO-1867,RM-43,3751,"$3,404.00"
PM-32,PO-1509,RM-94,2969,"590,00"
PM-33,PO-1872,RM-53,4040,3866
PM-34,PO-690,RM-115,9738,2988
PM-35,PO-176,RM-54,3599,1638
PM-36,PO-612,RM-47,8570,1982
PM-37,PO-1557,RM-10,6181,3015
PM-38,PO-589,RM-93,5233,3241
PM-39,PO-1273,RM-72,1298,3008
PM-40,PO-119,RM-43,4693,3399
PM-41,PO-1899,RM-117,8735,2451
PM-42,PO-1669,RM-8,1472,1070
PM-43,PO-1216,RM-89,4794,2331
PM-44,PO-489,RM-110,6140,"$3,086.00"
PM-45,PO-1714,RM-95,3938,"$2,904.00"
PM-46,PO-167,RM-50,8102,1319
PM-47,PO-1997,RM-13,9955,1220
PM-48,PO-773,RM-100,2403,3 562
PM-49,PO-121,RM-37,4247,657
PM-50,PO-760,RM-18,729,"$1,555.00"
PM-51,PO-941,RM-46,549,3297
PM-52,PO-539,RM-98,8137,"$1,606.00"
PM-53,PO-723,RM-57,4275,"$3,531.00"
PM-54,PO-1098,RM-12,6470,767
PM-55,PO-444,RM-96,8360,3 289
PM-56,PO-482,RM-4,3909,521
PM-57,PO-308,RM-28,1911,1260
PM-58,PO-248,RM-42,7769,"163,00"
PM-59,PO-1777,RM-82,4857,1024
PM-60,PO-484,RM-52,2957,"2 686,00"
PM-61,PO-634,RM-68,89,1954
PM-62,PO-945,RM-30,7225,"$1,172.00"
PM-63,PO-1128,RM-80,9017,"3 567,00"
PM-64,PO-1886,RM-86,5608,3 258
PM-65,PO-1883,RM-89,2297,1436
PM-66,PO-1738,RM-119,7562,199
PM-67,PO-1662,RM-32,6244,3 826
PM-68,PO-658,RM-41,7636,1892
PM-69,PO-1790,RM-87,8570,"$1,345.00"
PM-70,PO-1404,RM-19,6504,1 799
PM-71,PO-1645,RM-66,8403,447
PM-72,PO-521,RM-111,5481,2384
PM-73,PO-1089,RM-45,1739,"35,00"
PM-74,PO-674,RM-63,2656,375
PM-75,PO-471,RM-105,7984,1475
PM-76,PO-474,RM-81,9247,$798.00
PM-77,PO-361,RM-107,1074,2096
PM-78,PO-380,RM-62,9048,1362
PM-79,PO-1020,RM-119,8706,1109
PM-80,PO-911,RM-119,2486,"$2,952.00"
PM-81,PO-1389,RM-52,5593,2612
PM-82,PO-732,RM-1,9929,"3 149,00"
PM-83,PO-512,RM-79,451,"$2,911.00"
PM-84,PO-1772,RM-45,7602,3416
PM-85,PO-963,RM-45,7515,3518
PM-86,PO-795,RM-4,74,"$3,397.00"
PM-87,PO-1651,RM-110,7997,3 803
PM-88,PO-1744,RM-58,5430,2 570
PM-89,PO-338,RM-29,621,2018
PM-90,PO-1836,RM-79,5017,259
PM-91,PO-1320,RM-84,4693,1762
PM-92,PO-325,RM-12,305,"$1,323.00"
PM-93,PO-1608,RM-22,8308,"$1,551.00"
PM-94,PO-1017,RM-61,2694,"$3,890.00"
PM-95,PO-689,RM-71,59,1484
PM-96,PO-917,RM-84,9324,"$2,070.00"
PM-97,PO-93,RM-5,4900,2 169
PM-98,PO-52,RM-22,8415,3584
PM-99,PO-876,RM-62,6114,2520
PM-100,PO-1428,RM-82,8468,911
PM-101,PO-1567,RM-112,5147,1723
PM-102,PO-1903,RM-98,4898,"$1,263.00"
PM-103,PO-306,RM-2,6485,1510
PM-104,PO-1838,RM-68,4342,"$3,853.00"
PM-105,PO-1500,RM-94,8063,"2 379,00"
PM-106,PO-1536,RM-110,2674,2 582
PM-107,PO-1537,RM-87,3743,3 572
PM-108,PO-796,RM-24,1492,"$3,740.00"
PM-109,PO-1477,RM-25,6724,1 583
PM-110,PO-945,RM-114,8484,303
PM-111,PO-1383,RM-42,4557,"$3,536.00"
PM-112,PO-294,RM-99,7735,1324
PM-113,PO-1258,RM-47,7400,"$3,864.00"
PM-114,PO-657,RM-91,9567,$505.00
PM-115,PO-621,RM-41,8119,1918
PM-116,PO-1059,RM-18,6488,3886
PM-117,PO-514,RM-110,6341,781
PM-118,PO-1,RM-30,5888,$894.00
PM-119,PO-1944,RM-14,6937,1686
PM-120,PO-474,RM-3,4134,"2 184,00"
PM-121,PO-1698,RM-36,9983,2725
PM-122,PO-117,RM-80,9442,930
PM-123,PO-1284,RM-43,8426,1 225
PM-124,PO-532,RM-69,5493,92
PM-125,PO-840,RM-55,6119,1359
PM-126,PO-1886,RM-113,3334,1883
PM-127,PO-1669,RM-18,3209,"$2,775.00"
PM-128,PO-1984,RM-113,5828,2606
PM-129,PO-1468,RM-20,8007,788
PM-130,PO-1285,RM-117,264,1803
PM-131,PO-982,RM-96,9769,2937
PM-132,PO-1175,RM-18,279,1 683
PM-133,PO-926,RM-87,4518,"$2,770.00"
PM-134,PO-1459,RM-73,8469,2 293
PM-135,PO-1250,RM-65,7104,2325
PM-136,PO-866,RM-82,4443,"$3,171.00"
PM-137,PO-478,RM-86,2478,1623
PM-138,PO-338,RM-96,4789,1646
PM-139,PO-1647,RM-27,5992,$302.00
PM-140,PO-1134,RM-107,830,"$2,415.00"
PM-141,PO-1517,RM-100,2929,2602
PM-142,PO-1358,RM-35,747,3 344
PM-143,PO-1680,RM-77,2165,3014
PM-144,PO-69,RM-109,5345,2827
PM-145,PO-1523,RM-40,5036,717
PM-146,PO-542,RM-25,4339,255
PM-147,PO-39,RM-48,9868,"$2,788.00"
PM-148,PO-122,RM-14,2351,1825
PM-149,PO-182,RM-28,8178,2734
PM-150,PO-827,RM-116,6215,1 218
PM-151,PO-861,RM-98,2468,"$2,226.00"
PM-152,PO-391,RM-49,1199,2942
PM-153,PO-1480,RM-99,1534,"$3,938.00"
PM-154,PO-998,RM-66,1529,2264
PM-155,PO-1785,RM-109,3723,"$1,941.00"
PM-156,PO-921,RM-70,5466,"20,00"
PM-157,PO-130,RM-27,6941,"$3,118.00"
PM-158,PO-33,RM-45,1343,3222
PM-159,PO-915,RM-118,1943,"$3,879.00"
PM-160,PO-1312,RM-17,6813,661
PM-161,PO-1033,RM-54,4788,1029
PM-162,PO-785,RM-9,3127,"1 413,00"
PM-163,PO-381,RM-53,2377,"$1,559.00"
PM-164,PO-1489,RM-28,2275,$494.00
PM-165,PO-1308,RM-27,4435,"$3,720.00"
PM-166,PO-336,RM-33,2662,541
PM-167,PO-156,RM-16,1975,"$3,987.00"
PM-168,PO-1771,RM-30,696,2928
PM-169,PO-561,RM-16,70,647
PM-170,PO-1153,RM-24,4735,"$1,731.00"
PM-171,PO-831,RM-4,8506,"2 648,00"
PM-172,PO-441,RM-92,5773,"$3,977.00"
PM-173,PO-1509,RM-25,4725,"$2,206.00"
PM-174,PO-1247,RM-81,7488,"$2,907.00"
PM-175,PO-601,RM-102,3848,1999
PM-176,PO-11,RM-75,5957,1682
PM-177,PO-921,RM-113,5018,"$3,149.00"
PM-178,PO-1809,RM-87,6735,2665
PM-179,PO-538,RM-57,3982,2747
PM-180,PO-428,RM-91,9252,536
PM-181,PO-36,RM-33,7828,1943
PM-182,PO-234,RM-5,4771,"$3,457.00"
PM-183,PO-1553,RM-9,9762,662
PM-184,PO-135,RM-83,8574,"599,00"
PM-185,PO-1652,RM-105,3606,3431
PM-186,PO-599,RM-105,9820,"$1,420.00"
PM-187,PO-671,RM-24,8487,579
PM-188,PO-1637,RM-2,8811,"$2,314.00"
PM-189,PO-1817,RM-120,178,"2 269,00"
PM-190,PO-1023,RM-19,9267,126
PM-191,PO-197,RM-11,457,1284
PM-192,PO-359,RM-95,9180,2664
PM-193,PO-952,RM-46,3574,3768
PM-194,PO-447,RM-61,90,3843
PM-195,PO-874,RM-68,8112,"2 987,00"
PM-196,PO-1384,RM-22,3172,2413
PM-197,PO-1293,RM-5,3965,443
PM-198,PO-142,RM-27,3853,3439
PM-199,PO-1739,RM-94,7575,2480
PM-200,PO-1058,RM-110,3285,2275
PM-201,PO-1471,RM-86,3248,170
PM-202,PO-107,RM-120,6763,2601
PM-203,PO-186,RM-32,7792,1 100
PM-204,PO-1216,RM-43,4628,"330,00"
PM-205,PO-1119,RM-69,7953,2487
PM-206,PO-1282,RM-102,4061,"1 931,00"
PM-207,PO-1995,RM-101,1803,"$2,113.00"
PM-208,PO-593,RM-44,6635,1748
PM-209,PO-175,RM-68,5782,3279
PM-210,PO-1405,RM-5,7044,2 648
PM-211,PO-664,RM-42,6058,"$1,422.00"
PM-212,PO-224,RM-72,647,"$3,140.00"
PM-213,PO-1742,RM-115,4590,$885.00
PM-214,PO-273,RM-96,8162,2470
PM-215,PO-194,RM-103,2127,"$3,277.00"
PM-216,PO-768,RM-100,5518,"$2,098.00"
PM-217,PO-72,RM-103,3251,1209
PM-218,PO-1458,RM-30,8922,"$2,085.00"
PM-219,PO-1892,RM-50,6346,"$3,004.00"
PM-220,PO-55,RM-72,5137,"$3,112.00"
PM-221,PO-735,RM-112,8235,3205
PM-222,PO-1399,RM-94,2664,$445.00
PM-223,PO-792,RM-89,2452,388
PM-224,PO-987,RM-37,6378,"$3,917.00"
PM-225,PO-705,RM-2,2340,996
PM-226,PO-1798,RM-107,1580,1375
PM-227,PO-1888,RM-48,7637,2600
PM-228,PO-1784,RM-78,4997,"3 731,00"
PM-229,PO-978,RM-5,2489,3450
PM-230,PO-1733,RM-71,869,1463
PM-231,PO-167,RM-46,4025,152
PM-232,PO-125,RM-104,9015,"$1,198.00"
PM-233,PO-1020,RM-23,2524,$10.00
PM-234,PO-452,RM-7,6511,1149
PM-235,PO-453,RM-52,9144,$22.00
PM-236,PO-4,RM-91,8272,"$3,535.00"
PM-237,PO-1859,RM-108,6902,"1 050,00"
PM-238,PO-1940,RM-69,8138,"2 443,00"
PM-239,PO-1821,RM-23,5340,1880
PM-240,PO-1661,RM-67,7346,3226
PM-241,PO-1453,RM-53,4264,3 408
PM-242,PO-1315,RM-17,1256,"$3,947.00"
PM-243,PO-272,RM-5,9433,"1 187,00"
PM-244,PO-405,RM-73,318,3774
PM-245,PO-1520,RM-70,8359,923
PM-246,PO-101,RM-64,1977,38
PM-247,PO-307,RM-109,2509,135
PM-248,PO-1966,RM-51,7291,1234
PM-249,PO-954,RM-87,4286,2840
PM-250,PO-753,RM-32,4662,2767
PM-251,PO-94,RM-58,6657,896
PM-252,PO-791,RM-96,3482,1292
PM-253,PO-1967,RM-39,1061,2827
PM-254,PO-907,RM-26,2429,3075
PM-255,PO-1036,RM-62,607,2408
PM-256,PO-1458,RM-30,7611,971
PM-257,PO-660,RM-8,5611,3269
PM-258,PO-481,RM-6,6558,2953
PM-259,PO-1099,RM-82,1931,$432.00
PM-260,PO-1978,RM-103,2407,3389
PM-261,PO-1062,RM-53,1472,1356
PM-262,PO-1744,RM-71,1127,1093
PM-263,PO-1176,RM-110,6157,2791
PM-264,PO-285,RM-51,1238,1532
PM-265,PO-409,RM-67,977,"3 019,00"
PM-266,PO-755,RM-35,6975,1915
PM-267,PO-222,RM-45,6372,3918
PM-268,PO-325,RM-30,2574,"$1,783.00"
PM-269,PO-1658,RM-88,9986,2024
PM-270,PO-1768,RM-40,8882,1416
PM-271,PO-1769,RM-81,9521,"$3,017.00"
PM-272,PO-499,RM-30,5151,$939.00
PM-273,PO-810,RM-97,2584,"$2,313.00"
PM-274,PO-897,RM-76,3688,3140
PM-275,PO-800,RM-108,6199,"$3,717.00"
PM-276,PO-928,RM-75,5977,$656.00
PM-277,PO-342,RM-15,2788,532
PM-278,PO-392,RM-59,3625,"$1,735.00"
PM-279,PO-1905,RM-10,5467,3151
PM-280,PO-250,RM-93,3631,2 173
PM-281,PO-1715,RM-51,992,3963
PM-282,PO-1207,RM-81,4277,1937
PM-283,PO-319,RM-112,9750,"$1,535.00"
PM-284,PO-1589,RM-40,9864,2353
PM-285,PO-1838,RM-55,9787,"3 114,00"
PM-286,PO-598,RM-89,4372,205
PM-287,PO-1714,RM-41,1180,3238
PM-288,PO-150,RM-5,4365,"$2,291.00"
PM-289,PO-1125,RM-79,487,"$3,694.00"
PM-290,PO-1721,RM-110,2010,$405.00
PM-291,PO-1373,RM-38,5432,"$1,281.00"
PM-292,PO-1067,RM-91,3691,3 394
PM-293,PO-1298,RM-3,4359,101
PM-294,PO-617,RM-43,7261,3084
PM-295,PO-1159,RM-33,3870,1528
PM-296,PO-1562,RM-83,9916,2014
PM-297,PO-267,RM-76,9640,"$1,126.00"
PM-298,PO-987,RM-51,1598,"$1,244.00"
PM-299,PO-1755,RM-30,1081,1181
PM-300,PO-876,RM-54,7577,210
PM-301,PO-177,RM-111,7525,1711
PM-302,PO-82,RM-100,3786,"2 702,00"
PM-303,PO-1147,RM-92,8137,498
PM-304,PO-1567,RM-48,7980,"$3,685.00"
PM-305,PO-369,RM-88,3973,"$2,073.00"
PM-306,PO-389,RM-80,6128,"$2,432.00"
PM-307,PO-1082,RM-84,9306,"$3,734.00"
PM-308,PO-845,RM-35,7264,1 503
PM-309,PO-173,RM-110,6453,3 242
PM-310,PO-202,RM-37,4533,$657.00
PM-311,PO-1348,RM-47,8175,3 824
PM-312,PO-1827,RM-117,9790,517
PM-313,PO-362,RM-82,1164,"$1,049.00"
PM-314,PO-1889,RM-7,5857,$977.00
PM-315,PO-361,RM-59,8556,1526
PM-316,PO-1489,RM-58,589,2669
PM-317,PO-831,RM-117,4799,1781
PM-318,PO-9,RM-58,1802,702
PM-319,PO-85,RM-107,8330,3755
PM-320,PO-353,RM-92,6248,3042
PM-321,PO-486,RM-55,8771,797
PM-322,PO-1237,RM-95,4840,1939
PM-323,PO-559,RM-16,8432,$695.00
PM-324,PO-1860,RM-5,7286,117
PM-325,PO-103,RM-108,4802,"$1,132.00"
PM-326,PO-1856,RM-110,9483,$891.00
PM-327,PO-343,RM-35,5012,1402
PM-328,PO-219,RM-16,6159,"$2,235.00"
PM-329,PO-1927,RM-5,3223,2053
PM-330,PO-1564,RM-51,853,3410
PM-331,PO-894,RM-18,9148,"2 093,00"
PM-332,PO-1834,RM-38,9518,$506.00
PM-333,PO-685,RM-32,4113,3807
PM-334,PO-100,RM-67,4038,2453
PM-335,PO-682,RM-4,6415,255
PM-336,PO-751,RM-78,7457,"$1,504.00"
PM-337,PO-1622,RM-80,5459,1186
PM-338,PO-33,RM-2,1153,"1 038,00"
PM-339,PO-1573,RM-99,5372,2498
PM-340,PO-854,RM-6,2257,"$2,240.00"
PM-341,PO-1975,RM-120,7358,"$1,040.00"
PM-342,PO-167,RM-78,9402,40
PM-343,PO-686,RM-28,9493,"$1,803.00"
PM-344,PO-533,RM-103,7804,336
PM-345,PO-445,RM-38,2904,3 729
PM-346,PO-1154,RM-116,5981,985
PM-347,PO-1126,RM-3,1510,"$1,896.00"
PM-348,PO-946,RM-117,3421,"$2,561.00"
