po_id,supplier_id,order_date,expected_date,status
PO-1,SM-38,2025-10-11,2024-02-04,open
PO-2,SM-31,04/11/2025,05-05-2025,open
PO-3,SM-32,2025-07-10,2025-09-14,PARTIAL
PO-4,SM-14,2025-05-22,2026-04-02,OPEN
PO-5,SM-34,2024-11-12,2024-02-04,open
PO-6,SM-32,2026-12-26,25-06-2024,OPEN
PO-7,SM-3,2025-04-24,2026-04-27,OPEN
PO-8,SM-11,2025-06-14,2025-05-18,partial
PO-9,SM-38,2025-04-17,04/23/2025,open
PO-10,SM-9,2025-12-12,2026-04-23,partial
PO-11,SM-28,09/15/2026,2024-04-05,partial
PO-12,SM-9,01-02-2024,06/12/2026,partial
PO-13,SM-35,2024-12-06,2024-07-08,closed
PO-14,SM-15,2025-12-23,2024-06-23,open
PO-15,SM-18,2024-06-24,2024-06-13,PARTIAL
PO-16,SM-2,2026-07-08,2026-09-18,partial
PO-17,SM-40,02/23/2026,2026-11-14,OPEN
PO-18,SM-40,2026-11-09,2026-03-23,OPEN
PO-19,SM-21,08-03-2026,2025-01-19,open
PO-20,SM-39,2026-01-22,01/03/2026,OPEN
PO-21,SM-14,07/23/2024,01/14/2024,open
PO-22,SM-12,2025-03-20,2026-10-27,open
PO-23,SM-28,03/06/2024,2025-07-17,OPEN
PO-24,SM-30,04/18/2026,03/02/2024,closed
PO-25,SM-30,06-11-2026,2026-11-12,partial
PO-26,SM-15,08/04/2024,08/18/2024,partial
PO-27,SM-31,2026-08-22,06/21/2026,partial
PO-28,SM-21,07/15/2025,23-08-2026,closed
PO-29,SM-30,08-09-2026,16-06-2025,PARTIAL
PO-30,SM-19,2026-03-13,2025-06-11,partial
PO-31,SM-19,15-09-2024,01/01/2026,open
PO-32,SM-32,2025-01-14,2025-03-17,OPEN
PO-33,SM-8,09/18/2024,2025-09-17,open
PO-34,SM-3,2024-04-19,28-09-2025,partial
PO-35,SM-12,2026-12-01,12/17/2026,open
PO-36,SM-33,2025-02-16,2025-10-19,open
PO-37,SM-23,2025-12-16,2026-08-11,open
PO-38,SM-2,2026-11-25,03/26/2026,closed
PO-39,SM-25,2026-04-03,2025-04-20,closed
PO-40,SM-19,2024-10-08,2026-10-03,OPEN
PO-41,SM-34,09/27/2024,18-03-2024,open
PO-42,SM-17,13-02-2024,2025-09-04,OPEN
PO-43,SM-30,15-12-2024,2024-03-23,partial
PO-44,SM-34,04/26/2025,2026-03-06,OPEN
PO-45,SM-5,2024-04-23,2026-02-06,closed
PO-46,SM-6,2025-10-22,2026-11-11,closed
PO-47,SM-35,2026-09-25,24-07-2026,closed
PO-48,SM-40,08/27/2024,05/17/2024,partial
PO-49,SM-30,2025-05-05,2024-12-16,OPEN
PO-50,SM-8,2025-02-02,2025-08-16,closed
PO-51,SM-7,2024-01-26,2025-06-10,closed
PO-52,SM-33,11/05/2026,2024-11-16,partial
PO-53,SM-31,05/16/2026,02-01-2025,closed
PO-54,SM-33,13-01-2025,10/12/2025,OPEN
PO-55,SM-38,04/01/2025,2024-01-16,open
PO-56,SM-15,06/28/2025,2024-04-05,open
PO-57,SM-39,2025-11-13,2026-10-13,PARTIAL
PO-58,SM-33,2026-06-04,03/06/2026,PARTIAL
PO-59,SM-33,11-05-2025,2026-06-01,partial
PO-60,SM-27,2025-06-04,02-05-2024,PARTIAL
PO-61,SM-25,2024-05-26,2026-01-06,OPEN
PO-62,SM-10,08/15/2026,01/20/2025,PARTIAL
PO-63,SM-28,10/17/2026,2026-03-25,closed
PO-64,SM-10,2024-10-26,2025-12-05,closed
PO-65,SM-7,2024-04-15,08/24/2026,OPEN
PO-66,SM-4,06-10-2025,09/05/2026,closed
PO-67,SM-7,2025-09-22,2026-05-23,PARTIAL
PO-68,SM-12,02-06-2026,2025-08-17,open
PO-69,SM-17,2026-04-24,11-07-2026,partial
PO-70,SM-13,08/14/2026,09-06-2025,closed
PO-71,SM-32,07/11/2025,2024-08-02,partial
PO-72,SM-19,2026-10-02,06/25/2025,partial
PO-73,SM-15,11/20/2024,2024-07-19,open
PO-74,SM-27,2024-03-03,06-05-2025,PARTIAL
PO-75,SM-21,2025-12-18,2025-12-06,PARTIAL
PO-76,SM-12,2026-09-27,2025-08-15,PARTIAL
PO-77,SM-5,2026-08-12,2026-12-03,partial
PO-78,SM-21,19-03-2024,2024-09-08,open
PO-79,SM-29,21-09-2024,2024-08-28,OPEN
PO-80,SM-9,2026-12-20,11/11/2025,partial
PO-81,SM-6,18-08-2026,2024-01-28,partial
PO-82,SM-34,2025-11-16,2024-02-26,OPEN
PO-83,SM-25,2025-07-04,2025-08-21,closed
PO-84,SM-25,2026-07-08,22-06-2025,partial
PO-85,SM-24,12/20/2025,2026-01-01,open
PO-86,SM-3,2026-07-09,2024-06-13,OPEN
PO-87,SM-21,25-03-2026,27-05-2024,partial
PO-88,SM-6,07/28/2026,01/23/2025,PARTIAL
PO-89,SM-14,14-03-2024,05/09/2025,partial
PO-90,SM-34,2026-12-21,2024-09-08,closed
PO-91,SM-4,09/02/2026,2024-09-12,OPEN
PO-92,SM-22,2025-06-25,01/25/2025,open
PO-93,SM-39,08/27/2024,01/26/2025,closed
PO-94,SM-20,2025-08-27,2026-08-08,partial
PO-95,SM-37,2024-05-24,2026-03-19,closed
PO-96,SM-4,06/07/2026,10-03-2025,OPEN
PO-97,SM-13,02-06-2026,07/01/2024,partial
PO-98,SM-1,14-05-2024,2026-01-11,PARTIAL
PO-99,SM-13,2026-06-17,11-05-2024,PARTIAL
PO-100,SM-24,01-12-2024,05/28/2026,OPEN
PO-101,SM-29,2025-09-02,2024-02-19,PARTIAL
PO-102,SM-15,2024-05-08,2024-07-17,partial
PO-103,SM-5,2025-08-23,2024-03-16,closed
PO-104,SM-37,05/10/2024,2024-11-21,partial
PO-105,SM-37,14-03-2026,08/04/2024,OPEN
PO-106,SM-25,01/26/2025,13-04-2024,open
PO-107,SM-7,04/08/2024,04/12/2026,open
PO-108,SM-39,12/28/2025,03/21/2024,PARTIAL
PO-109,SM-4,2024-01-13,2026-09-08,partial
PO-110,SM-27,11-08-2026,2024-12-19,OPEN
PO-111,SM-25,2025-06-27,09/04/2024,closed
PO-112,SM-27,16-11-2026,04/19/2026,OPEN
PO-113,SM-7,03/18/2024,2026-11-11,partial
PO-114,SM-26,2025-07-27,04/08/2025,closed
PO-115,SM-22,04-01-2024,22-03-2024,partial
PO-116,SM-38,09/19/2024,2024-01-05,partial
PO-117,SM-5,24-08-2024,03/18/2025,OPEN
PO-118,SM-27,2025-04-18,2024-06-28,OPEN
PO-119,SM-36,2024-05-06,01/21/2026,closed
PO-120,SM-32,10/26/2026,2026-12-20,PARTIAL
PO-121,SM-21,04/05/2024,06-01-2026,closed
PO-122,SM-15,2026-12-03,2025-05-20,PARTIAL
PO-123,SM-5,13-02-2024,2025-09-14,closed
PO-124,SM-12,09/20/2025,12/13/2024,open
PO-125,SM-34,04/22/2025,06/17/2026,PARTIAL
PO-126,SM-26,2025-06-24,2025-06-17,closed
PO-127,SM-24,2025-07-12,08/05/2026,OPEN
PO-128,SM-37,2024-03-16,2024-07-27,partial
PO-129,SM-3,2025-03-13,2024-02-07,OPEN
PO-130,SM-37,18-08-2024,2026-12-23,OPEN
PO-131,SM-13,20-04-2025,2024-07-16,closed
PO-132,SM-3,2024-03-27,09/25/2024,open
PO-133,SM-8,2026-09-06,08/21/2024,open
PO-134,SM-32,2026-05-20,07/20/2024,open
PO-135,SM-20,25-11-2025,2025-06-21,open
PO-136,SM-33,11/20/2024,2024-09-22,open
PO-137,SM-25,05-06-2025,2025-04-19,open
PO-138,SM-11,2024-04-17,28-06-2025,OPEN
PO-139,SM-23,02/28/2024,2026-06-14,OPEN
PO-140,SM-3,02-05-2026,2024-01-04,PARTIAL
PO-141,SM-13,10/02/2025,26-04-2025,open
PO-142,SM-37,23-10-2025,11/14/2025,closed
PO-143,SM-13,20-03-2025,11/23/2026,PARTIAL
PO-144,SM-32,2025-11-15,2025-01-20,PARTIAL
PO-145,SM-5,2025-04-08,2025-06-19,OPEN
PO-146,SM-37,2024-08-02,10/23/2025,open
PO-147,SM-18,2025-08-03,24-11-2024,PARTIAL
PO-148,SM-18,2025-05-18,10/07/2026,PARTIAL
PO-149,SM-26,24-11-2024,2024-08-28,partial
PO-150,SM-8,2025-06-12,2026-05-23,open
PO-151,SM-24,2025-09-21,04-05-2026,closed
PO-152,SM-20,11-03-2026,08-05-2024,open
PO-153,SM-39,2025-11-02,03/04/2025,open
PO-154,SM-16,07/05/2025,2025-07-24,PARTIAL
PO-155,SM-21,2025-08-26,2024-04-12,open
PO-156,SM-7,09/02/2024,02/04/2025,open
PO-157,SM-27,17-07-2026,06-07-2024,PARTIAL
PO-158,SM-13,10/11/2026,2024-06-21,closed
PO-159,SM-17,25-04-2025,19-12-2024,open
PO-160,SM-4,2024-08-11,2026-06-11,open
PO-161,SM-27,11/09/2024,01-09-2024,OPEN
PO-162,SM-16,2026-10-26,02/12/2025,partial
PO-163,SM-22,2025-12-18,05/06/2024,partial
PO-164,SM-3,2026-10-09,2025-05-13,PARTIAL
PO-165,SM-34,2024-05-07,02-04-2024,OPEN
PO-166,SM-37,2025-06-19,03/11/2026,closed
PO-167,SM-3,2026-08-27,2026-01-02,partial
PO-168,SM-33,2024-11-25,09/10/2026,PARTIAL
PO-169,SM-3,09/11/2025,05-08-2025,open
PO-170,SM-28,11/11/2026,2024-07-20,OPEN
PO-171,SM-15,12-02-2026,09-08-2026,open
PO-172,SM-24,04/25/2024,2026-07-28,OPEN
PO-173,SM-1,2025-01-11,28-10-2024,OPEN
PO-174,SM-35,2024-12-28,2025-12-08,closed
PO-175,SM-1,02/16/2025,07/07/2026,partial
PO-176,SM-20,2026-12-12,02/04/2025,closed
PO-177,SM-9,2026-08-16,2026-02-16,partial
PO-178,SM-19,03-09-2025,2025-11-06,closed
PO-179,SM-11,24-11-2025,2026-11-06,partial
PO-180,SM-31,17-04-2025,2025-04-15,closed
PO-181,SM-16,28-07-2024,10/20/2025,PARTIAL
PO-182,SM-20,11/20/2024,2025-09-27,closed
PO-183,SM-11,2024-01-02,2026-07-25,closed
PO-184,SM-28,2024-04-20,2024-04-16,partial
PO-185,SM-19,13-05-2025,13-01-2025,partial
PO-186,SM-26,09/06/2025,03/12/2026,open
PO-187,SM-33,2025-04-14,2025-08-01,closed
PO-188,SM-34,26-09-2024,03/11/2024,closed
PO-189,SM-2,06/07/2025,2026-11-09,PARTIAL
PO-190,SM-28,07/13/2025,07/24/2024,PARTIAL
PO-191,SM-40,2026-05-09,2024-05-04,OPEN
PO-192,SM-21,2025-10-06,25-01-2026,closed
PO-193,SM-16,11/28/2024,27-07-2024,OPEN
PO-194,SM-40,2026-06-19,11/02/2024,OPEN
PO-195,SM-34,2026-02-18,03-08-2024,closed
PO-196,SM-24,11-11-2024,09/18/2026,PARTIAL
PO-197,SM-31,2026-02-02,08/13/2024,OPEN
PO-198,SM-19,2024-12-09,2024-10-09,OPEN
PO-199,SM-18,10/08/2026,11/03/2025,open
PO-200,SM-24,20-03-2026,2024-04-27,partial
PO-201,SM-37,2025-08-04,24-05-2025,PARTIAL
PO-202,SM-16,2024-08-26,2024-08-28,open
PO-203,SM-34,2025-07-10,01-03-2025,closed
PO-204,SM-6,12/18/2025,2025-03-16,PARTIAL
PO-205,SM-13,12-01-2024,01/18/2025,PARTIAL
PO-206,SM-22,2026-10-12,03/21/2026,open
PO-207,SM-19,05-02-2025,2024-08-05,closed
PO-208,SM-12,03/16/2024,10/10/2026,closed
PO-209,SM-23,2024-08-09,18-12-2024,OPEN
PO-210,SM-35,2025-07-26,2024-03-13,open
PO-211,SM-6,07/23/2025,2025-10-27,closed
PO-212,SM-31,03/02/2024,11/10/2026,PARTIAL
PO-213,SM-21,2026-12-07,20-03-2026,PARTIAL
PO-214,SM-5,06-10-2026,06/06/2025,closed
PO-215,SM-23,12/23/2025,2026-09-26,closed
PO-216,SM-39,2026-08-25,2024-09-26,OPEN
PO-217,SM-17,2024-08-20,2024-05-24,PARTIAL
PO-218,SM-25,02-12-2026,2024-01-27,closed
PO-219,SM-37,2026-08-14,08/09/2024,OPEN
PO-220,SM-33,12/02/2025,2026-08-11,open
PO-221,SM-15,2025-12-28,02/03/2025,partial
PO-222,SM-13,2026-09-17,2026-10-07,PARTIAL
PO-223,SM-19,2025-06-25,2025-12-01,open
PO-224,SM-31,2024-08-25,2024-07-24,closed
PO-225,SM-22,2025-01-21,2024-12-25,open
PO-226,SM-33,09/10/2026,2024-01-19,OPEN
PO-227,SM-19,2025-08-23,10/04/2024,OPEN
PO-228,SM-9,2026-12-02,2026-08-19,partial
PO-229,SM-14,2026-10-09,14-08-2025,closed
PO-230,SM-35,2024-03-23,2024-10-01,closed
PO-231,SM-18,2025-12-10,01/16/2024,partial
PO-232,SM-22,01-05-2024,2024-01-01,PARTIAL
PO-233,SM-25,2026-09-18,2026-03-18,partial
PO-234,SM-31,2026-03-01,05-02-2025,open
PO-235,SM-30,09/06/2025,06-04-2025,PARTIAL
PO-236,SM-14,12-04-2025,03/07/2025,open
PO-237,SM-32,22-04-2024,11-02-2025,PARTIAL
PO-238,SM-13,01/20/2026,15-03-2026,open
PO-239,SM-32,2024-09-24,2024-05-16,closed
PO-240,SM-35,2026-04-13,03/12/2025,PARTIAL
PO-241,SM-29,09/12/2025,11-05-2025,OPEN
PO-242,SM-32,04/05/2024,09/20/2026,closed
PO-243,SM-29,2025-10-05,2026-07-09,closed
PO-244,SM-39,10/21/2025,2024-06-06,closed
PO-245,SM-16,01/07/2025,2025-09-19,open
PO-246,SM-1,28-09-2026,06/14/2026,OPEN
PO-247,SM-9,01/21/2026,2026-09-05,OPEN
PO-248,SM-23,2025-03-18,2025-04-08,closed
PO-249,SM-13,2026-05-13,01/12/2026,closed
PO-250,SM-29,12/16/2026,2024-02-09,open
PO-251,SM-8,2025-07-14,24-01-2025,PARTIAL
PO-252,SM-34,2025-08-26,2025-05-08,open
PO-253,SM-23,02/28/2026,2025-06-28,open
PO-254,SM-35,09/25/2026,2025-03-21,PARTIAL
PO-255,SM-26,01-09-2026,06/16/2026,partial
PO-256,SM-3,2026-06-09,2026-01-22,closed
PO-257,SM-16,02/06/2024,2024-10-25,OPEN
PO-258,SM-35,2025-08-13,06-01-2026,OPEN
PO-259,SM-14,11/25/2025,2024-11-12,partial
PO-260,SM-25,2024-12-03,2025-11-18,open
PO-261,SM-40,08-04-2026,2025-02-28,partial
PO-262,SM-27,2024-11-01,02/13/2024,PARTIAL
PO-263,SM-13,2025-05-07,24-01-2025,partial
PO-264,SM-1,02/06/2026,2025-11-15,closed
PO-265,SM-39,2026-07-03,02-07-2026,partial
PO-266,SM-20,2026-12-22,2024-07-24,partial
PO-267,SM-35,2026-11-15,2026-12-11,closed
PO-268,SM-28,18-09-2024,21-08-2025,open
PO-269,SM-23,08/02/2024,2026-10-08,OPEN
PO-270,SM-31,2026-02-26,2024-12-25,partial
PO-271,SM-16,06-08-2025,2026-02-12,OPEN
PO-272,SM-31,2025-07-03,05-04-2026,OPEN
PO-273,SM-4,2025-07-11,2026-02-22,PARTIAL
PO-274,SM-36,10/19/2024,2026-12-02,closed
PO-275,SM-20,10/25/2026,2026-04-26,open
PO-276,SM-20,03/19/2026,06/09/2026,open
PO-277,SM-28,13-02-2026,02/01/2026,open
PO-278,SM-17,03-03-2024,2024-09-04,open
PO-279,SM-21,2025-11-18,2024-09-04,open
PO-280,SM-9,05/08/2024,18-09-2026,PARTIAL
PO-281,SM-29,05/23/2026,2024-06-07,open
PO-282,SM-2,2026-01-22,2025-04-23,closed
PO-283,SM-21,08-04-2025,2024-10-03,partial
PO-284,SM-15,03/16/2025,07/18/2025,open
PO-285,SM-25,2025-04-01,06-05-2025,PARTIAL
PO-286,SM-29,2024-12-16,2025-04-15,partial
PO-287,SM-31,12-09-2026,2025-12-07,OPEN
PO-288,SM-13,10/01/2024,22-08-2026,PARTIAL
PO-289,SM-16,2024-12-26,12/02/2025,partial
PO-290,SM-4,27-03-2024,2025-03-20,PARTIAL
PO-291,SM-21,2026-07-08,04-03-2026,open
PO-292,SM-12,2025-04-18,03/10/2025,closed
PO-293,SM-12,2025-04-08,01/23/2026,open
PO-294,SM-8,2024-02-07,2026-04-08,PARTIAL
PO-295,SM-37,19-12-2025,2024-09-04,partial
PO-296,SM-20,2024-02-16,2026-02-27,open
PO-297,SM-22,2026-11-26,17-05-2026,open
PO-298,SM-2,22-06-2025,2024-08-22,partial
PO-299,SM-2,20-12-2026,04/03/2024,closed
PO-300,SM-12,03-05-2025,2025-05-27,PARTIAL
PO-301,SM-38,2025-06-01,12/01/2026,OPEN
PO-302,SM-12,2026-04-23,10/16/2025,partial
PO-303,SM-39,2026-07-11,07/03/2024,PARTIAL
PO-304,SM-22,02-07-2024,2025-03-23,open
PO-305,SM-9,21-01-2024,2024-01-27,open
PO-306,SM-39,05/11/2026,06/04/2025,OPEN
PO-307,SM-2,2025-01-23,2025-01-08,closed
PO-308,SM-37,2025-06-16,2026-05-18,OPEN
PO-309,SM-23,2026-09-18,2025-02-24,partial
PO-310,SM-18,27-10-2026,2026-09-20,partial
PO-311,SM-11,2025-03-28,08/04/2024,PARTIAL
PO-312,SM-1,01/25/2024,05-10-2025,OPEN
PO-313,SM-6,2024-02-23,21-07-2024,PARTIAL
PO-314,SM-6,2026-01-21,02/21/2025,partial
PO-315,SM-39,22-12-2025,11/06/2025,OPEN
PO-316,SM-8,2026-01-17,17-04-2025,OPEN
PO-317,SM-33,2025-05-18,01/09/2026,partial
PO-318,SM-16,10/25/2026,2024-11-26,PARTIAL
PO-319,SM-5,2025-09-16,2024-01-03,open
PO-320,SM-18,2024-09-27,07-08-2026,partial
PO-321,SM-11,01/20/2024,08/03/2024,OPEN
PO-322,SM-39,22-03-2026,2024-10-10,open
PO-323,SM-16,05/03/2025,11/03/2026,OPEN
PO-324,SM-14,2026-06-28,2025-01-10,open
PO-325,SM-19,04/13/2026,2025-12-16,open
PO-326,SM-13,05-06-2024,2024-02-07,partial
PO-327,SM-12,2024-10-02,08/13/2024,closed
PO-328,SM-32,04/18/2024,08-09-2025,PARTIAL
PO-329,SM-40,2024-02-09,2025-02-10,open
PO-330,SM-27,22-07-2025,2026-05-03,partial
PO-331,SM-16,2026-03-19,2026-02-11,OPEN
PO-332,SM-23,28-11-2025,2024-08-09,PARTIAL
PO-333,SM-29,12/11/2024,2026-01-01,open
PO-334,SM-38,2026-07-04,2025-06-18,partial
PO-335,SM-6,27-04-2026,2025-09-14,closed
PO-336,SM-24,2024-08-04,21-05-2026,partial
PO-337,SM-20,2024-09-26,2025-09-02,open
PO-338,SM-8,2024-11-28,22-10-2024,OPEN
PO-339,SM-10,2024-11-21,01/07/2025,closed
PO-340,SM-35,2026-07-20,06/27/2025,partial
PO-341,SM-1,26-09-2025,12/19/2024,OPEN
PO-342,SM-29,06/27/2024,18-06-2025,open
PO-343,SM-20,2025-01-14,2025-08-07,partial
PO-344,SM-21,2025-07-19,2024-02-06,OPEN
PO-345,SM-3,17-01-2025,2026-02-17,closed
PO-346,SM-20,2024-06-04,09/19/2025,partial
PO-347,SM-27,2025-01-21,20-07-2026,partial
PO-348,SM-12,2026-08-07,03-10-2024,OPEN
PO-349,SM-13,2024-05-24,2025-03-19,open
PO-350,SM-27,24-09-2025,28-06-2024,open
PO-351,SM-5,2025-07-28,04/01/2026,open
PO-352,SM-11,10/06/2026,12-06-2024,open
