check_id,batch_id,check_date,result,defect_count
QC-1,BATCH-7028,2024-06-26,pass,0
QC-2,BATCH-7459,09/04/2025,Pass,0
QC-3,BATCH-2360,2026-01-03,pass,0
QC-4,BATCH-112,20-05-2026,pass,0
QC-5,BATCH-3478,2026-10-24,fail,0
QC-6,BATCH-347,2025-06-28,PASS,0
QC-7,BATCH-7516,2024-09-12,PASS,0
QC-8,BATCH-3876,09/12/2024,pass,0
QC-9,BATCH-1577,04/18/2026,Pass,0
QC-10,BATCH-2172,2024-08-03,pass,0
QC-11,BATCH-5213,01-09-2026,Pass,0
QC-12,BATCH-1663,2024-05-05,Pass,0
QC-13,BATCH-6933,2024-01-04,pass,0
QC-14,BATCH-2639,2025-11-19,pass,0
QC-15,BATCH-2704,02/03/2026,PASS,0
QC-16,BATCH-7337,09/15/2024,PASS,0
QC-17,BATCH-7483,02-03-2024,PASS,0
QC-18,BATCH-6670,2025-11-19,pass,0
QC-19,BATCH-1949,2026-09-04,Pass,0
QC-20,BATCH-1631,08/25/2025,pass,0
QC-21,BATCH-5698,2025-09-08,Pass,0
QC-22,BATCH-6392,2025-12-12,pass,0
QC-23,BATCH-3720,2024-08-17,fail,0
QC-24,BATCH-2665,28-07-2024,Pass,0
QC-25,BATCH-6916,2025-06-28,Pass,0
QC-26,BATCH-5912,2026-08-19,PASS,0
QC-27,BATCH-1845,2024-11-12,pass,0
QC-28,BATCH-5968,07-01-2026,fail,0
QC-29,BATCH-5241,2025-04-02,pass,0
QC-30,BATCH-1387,06-09-2024,Pass,0
QC-31,BATCH-4508,19-05-2026,pass,0
QC-32,BATCH-3605,2025-05-15,fail,0
QC-33,BATCH-2525,2025-03-10,pass,0
QC-34,BATCH-1401,2024-11-18,PASS,0
QC-35,BATCH-1161,16-01-2025,PASS,0
QC-36,BATCH-5422,07/20/2026,pass,0
QC-37,BATCH-4181,02/03/2026,pass,10
QC-38,BATCH-4544,2024-08-02,pass,0
QC-39,BATCH-1971,11/16/2025,PASS,0
QC-40,BATCH-2500,2025-03-18,Pass,0
QC-41,BATCH-1812,2024-03-08,pass,0
QC-42,BATCH-3605,02/23/2026,PASS,0
QC-43,BATCH-6937,11/04/2026,pass,0
QC-44,BATCH-7727,01/22/2026,Pass,0
QC-45,BATCH-3363,2025-03-11,fail,0
QC-46,BATCH-2609,04/28/2024,Pass,0
QC-47,BATCH-4546,2025-09-14,PASS,4
QC-48,BATCH-5112,2025-06-17,pass,0
QC-49,BATCH-4968,2026-02-09,PASS,0
QC-50,BATCH-7553,2024-11-19,PASS,0
QC-51,BATCH-2417,2024-10-10,Pass,0
QC-52,BATCH-4407,01/11/2024,pass,0
QC-53,BATCH-3978,05/16/2024,Pass,0
QC-54,BATCH-2726,2026-08-06,PASS,0
QC-55,BATCH-6515,06/03/2026,Pass,0
QC-56,BATCH-558,11-04-2024,pass,0
QC-57,BATCH-6839,12/09/2024,Pass,0
QC-58,BATCH-5464,2026-04-25,fail,0
QC-59,BATCH-2809,01/07/2026,PASS,0
QC-60,BATCH-5605,09/27/2024,pass,0
QC-61,BATCH-2274,11-06-2026,PASS,0
QC-62,BATCH-1186,2026-06-27,PASS,0
QC-63,BATCH-1845,20-08-2025,fail,0
QC-64,BATCH-7566,18-12-2025,pass,0
QC-65,BATCH-7038,2025-02-17,pass,0
QC-66,BATCH-5149,2024-07-24,PASS,0
QC-67,BATCH-6424,2024-10-08,Pass,0
QC-68,BATCH-2231,2024-06-28,Pass,0
QC-69,BATCH-3961,03/18/2024,PASS,0
QC-70,BATCH-4524,2026-06-20,PASS,0
QC-71,BATCH-1880,01/21/2025,PASS,0
QC-72,BATCH-457,02/17/2026,Pass,0
QC-73,BATCH-6494,2024-10-26,Pass,7
QC-74,BATCH-6069,2024-06-23,PASS,0
QC-75,BATCH-2670,2026-07-16,PASS,0
QC-76,BATCH-510,2026-11-02,PASS,0
QC-77,BATCH-7008,23-04-2026,PASS,0
QC-78,BATCH-4211,21-08-2025,pass,0
QC-79,BATCH-4419,2025-12-06,fail,0
QC-80,BATCH-2727,2025-05-11,PASS,0
QC-81,BATCH-3095,09/08/2025,fail,0
QC-82,BATCH-4507,2026-05-23,Pass,0
QC-83,BATCH-6592,08/11/2024,Pass,0
QC-84,BATCH-2745,13-08-2025,pass,0
QC-85,BATCH-831,05/21/2026,Pass,0
QC-86,BATCH-1686,2024-02-27,Pass,0
QC-87,BATCH-1219,03/23/2024,Pass,0
QC-88,BATCH-6346,2024-04-12,Pass,0
QC-89,BATCH-7671,2024-05-05,Pass,0
QC-90,BATCH-7927,2025-01-28,PASS,0
QC-91,BATCH-4426,2026-02-22,Pass,0
QC-92,BATCH-2758,10/15/2024,Pass,0
QC-93,BATCH-863,10/02/2024,Pass,0
QC-94,BATCH-446,08-03-2024,PASS,0
QC-95,BATCH-6761,04/12/2026,pass,5
QC-96,BATCH-4587,01-07-2026,Pass,0
QC-97,BATCH-5738,20-04-2025,PASS,6
QC-98,BATCH-524,2024-03-05,pass,0
QC-99,BATCH-2504,06-09-2026,fail,0
QC-100,BATCH-853,2025-05-16,Pass,0
QC-101,BATCH-4942,2026-07-18,Pass,0
QC-102,BATCH-7419,2024-02-06,Pass,0
QC-103,BATCH-75,2026-08-27,PASS,0
QC-104,BATCH-6621,05/05/2026,Pass,0
QC-105,BATCH-6018,2025-08-27,Pass,0
QC-106,BATCH-250,2024-09-24,pass,0
QC-107,BATCH-7617,07/19/2025,Pass,0
QC-108,BATCH-2557,2024-03-25,Pass,0
QC-109,BATCH-814,06-08-2025,Pass,0
QC-110,BATCH-1330,2025-09-07,pass,9
QC-111,BATCH-4204,17-08-2026,pass,0
QC-112,BATCH-6385,2026-01-12,Pass,0
QC-113,BATCH-1253,04/27/2025,Pass,0
QC-114,BATCH-7017,26-02-2024,PASS,0
QC-115,BATCH-2609,2026-05-25,PASS,0
QC-116,BATCH-7136,11/22/2026,fail,0
QC-117,BATCH-7523,2026-03-07,Pass,3
QC-118,BATCH-892,10/10/2026,Pass,0
QC-119,BATCH-3474,2026-10-01,PASS,0
QC-120,BATCH-7082,14-12-2026,PASS,0
QC-121,BATCH-682,2026-07-23,pass,0
QC-122,BATCH-7462,2024-09-14,fail,0
QC-123,BATCH-3240,04/27/2024,pass,0
QC-124,BATCH-6851,2025-09-15,pass,0
QC-125,BATCH-3441,2024-08-17,Pass,0
QC-126,BATCH-7981,2024-07-14,Pass,0
QC-127,BATCH-1895,04/23/2025,Pass,0
QC-128,BATCH-3717,2024-05-18,PASS,0
QC-129,BATCH-3276,2026-12-06,Pass,0
QC-130,BATCH-7637,14-02-2026,PASS,0
QC-131,BATCH-6704,09/24/2025,PASS,0
QC-132,BATCH-7495,07/19/2025,PASS,0
QC-133,BATCH-3626,08/07/2025,pass,0
QC-134,BATCH-6979,08-10-2025,pass,0
QC-135,BATCH-4050,02/01/2025,Pass,0
QC-136,BATCH-6606,2025-01-06,PASS,20
QC-137,BATCH-254,2025-05-02,Pass,0
QC-138,BATCH-1160,2026-12-17,PASS,0
QC-139,BATCH-4607,2024-07-23,Pass,0
QC-140,BATCH-1823,2025-06-15,Pass,0
QC-141,BATCH-3836,08/07/2025,Pass,0
QC-142,BATCH-1414,09/17/2024,PASS,0
QC-143,BATCH-2666,2024-11-27,PASS,0
QC-144,BATCH-6796,2025-12-24,PASS,0
QC-145,BATCH-515,2024-04-14,PASS,0
QC-146,BATCH-1652,11/02/2025,Pass,0
QC-147,BATCH-4680,09/18/2026,Pass,0
QC-148,BATCH-3736,2025-01-01,Pass,0
QC-149,BATCH-6173,2024-05-24,Pass,0
QC-150,BATCH-6446,04-02-2026,PASS,0
QC-151,BATCH-4929,2024-10-25,PASS,0
QC-152,BATCH-997,05/04/2024,PASS,0
QC-153,BATCH-388,2024-08-22,Pass,0
QC-154,BATCH-6953,2024-02-23,Pass,0
QC-155,BATCH-51,06/22/2025,pass,0
QC-156,BATCH-3344,06-03-2026,PASS,0
QC-157,BATCH-3584,2026-04-27,PASS,0
QC-158,BATCH-4030,2026-03-14,Pass,0
QC-159,BATCH-6157,2025-02-12,pass,0
QC-160,BATCH-3905,2025-07-28,pass,0
QC-161,BATCH-7905,2024-05-22,Pass,0
QC-162,BATCH-4898,03/12/2024,PASS,0
QC-163,BATCH-1318,04/08/2026,Pass,13
QC-164,BATCH-6287,06/22/2024,pass,0
QC-165,BATCH-7584,25-12-2026,pass,0
QC-166,BATCH-7062,28-10-2025,PASS,0
QC-167,BATCH-3114,02-01-2024,PASS,0
QC-168,BATCH-3940,07/19/2025,Pass,0
QC-169,BATCH-4736,03/13/2025,pass,0
QC-170,BATCH-2789,01/25/2025,Pass,0
QC-171,BATCH-1720,2024-07-03,fail,0
QC-172,BATCH-3063,01/23/2025,fail,0
QC-173,BATCH-5431,2025-02-20,pass,17
QC-174,BATCH-7942,06/28/2025,Pass,0
QC-175,BATCH-2289,07/16/2026,pass,0
QC-176,BATCH-7635,2024-08-19,Pass,0
QC-177,BATCH-2498,2026-06-05,pass,0
QC-178,BATCH-2814,2026-06-07,PASS,0
QC-179,BATCH-4981,10-06-2024,pass,15
QC-180,BATCH-2044,08/08/2025,pass,0
QC-181,BATCH-3502,2024-12-01,pass,0
QC-182,BATCH-4121,2026-11-23,PASS,0
QC-183,BATCH-6822,04/02/2025,Pass,0
QC-184,BATCH-3584,2024-12-27,PASS,0
QC-185,BATCH-4324,25-10-2025,pass,0
QC-186,BATCH-6565,12/09/2025,Pass,0
QC-187,BATCH-3077,06/04/2025,pass,10
QC-188,BATCH-2776,01/04/2025,Pass,0
QC-189,BATCH-1128,2025-02-07,pass,0
QC-190,BATCH-7808,2025-07-28,Pass,0
QC-191,BATCH-3496,2024-11-21,pass,0
QC-192,BATCH-6535,04/10/2025,pass,0
QC-193,BATCH-3850,08/26/2026,Pass,0
QC-194,BATCH-6498,07/08/2025,Pass,0
QC-195,BATCH-5484,2026-08-24,Pass,0
QC-196,BATCH-33,2026-08-13,PASS,0
QC-197,BATCH-2218,2024-12-20,Pass,0
QC-198,BATCH-6189,2026-11-16,pass,0
QC-199,BATCH-7293,08/02/2024,fail,0
QC-200,BATCH-7395,2026-02-04,PASS,0
QC-201,BATCH-1501,01/15/2025,PASS,0
QC-202,BATCH-3196,2026-11-15,PASS,0
QC-203,BATCH-4890,09/01/2026,Pass,0
QC-204,BATCH-5475,28-02-2024,PASS,0
QC-205,BATCH-6529,2026-04-09,PASS,0
QC-206,BATCH-6206,27-03-2025,PASS,0
QC-207,BATCH-2288,2025-04-19,pass,0
QC-208,BATCH-4368,2024-09-23,PASS,0
QC-209,BATCH-807,03/22/2026,fail,0
QC-210,BATCH-1851,06/02/2025,PASS,17
QC-211,BATCH-4221,2024-10-02,pass,0
QC-212,BATCH-672,2026-06-23,Pass,0
QC-213,BATCH-5320,2024-12-16,Pass,0
QC-214,BATCH-576,05/12/2025,Pass,0
QC-215,BATCH-7568,2025-05-23,pass,0
QC-216,BATCH-1320,08/09/2026,Pass,0
QC-217,BATCH-3516,2024-12-21,PASS,0
QC-218,BATCH-5034,08/25/2024,pass,0
QC-219,BATCH-2807,2025-04-21,PASS,0
QC-220,BATCH-4796,2025-03-26,pass,0
