quotation_id,customer_id,quote_date,valid_until,amount,status
Q-1,MC-1238,02-09-2024,2025-09-26,"$603,961.00",converted
Q-2,MC-401,04/20/2025,2025-05-18,"663 584,00",converted
Q-3,MC-581,10/24/2025,2024-03-19,"$1,938,777.00",converted
Q-4,MC-362,2026-06-05,11-08-2026,1002482,expired
Q-5,MC-407,2025-07-25,01/26/2025,1658463,converted
Q-6,MC-1361,09/18/2024,2026-10-19,"$1,034,007.00",expired
Q-7,MC-1093,02/04/2025,2026-07-15,1815726,expired
Q-8,MC-1035,11/24/2025,2024-03-06,458292,converted
Q-9,MC-528,10/17/2024,12/21/2025,677569,expired
Q-10,MC-13,08/24/2025,07/22/2024,1 302 641,rejected
Q-11,MC-13,28-04-2026,2024-08-07,1 903 465,CONVERTED
Q-12,MC-297,11/16/2024,05-12-2026,847037,CONVERTED
Q-13,MC-434,2024-02-13,04/10/2026,560629,rejected
Q-14,MC-909,08/09/2026,06/19/2026,"1 763 555,00",rejected
Q-15,MC-1227,2025-05-03,22-11-2026,"$312,160.00",rejected
Q-16,MC-471,06/05/2024,16-10-2025,"$544,642.00",pending
Q-17,MC-659,2025-06-02,2025-02-27,"$899,418.00",expired
Q-18,MC-702,2026-12-12,06/19/2026,1077582,expired
Q-19,MC-1192,2025-02-27,06/05/2025,692 023,pending
Q-20,MC-1255,22-08-2026,2024-07-08,669 852,expired
Q-21,MC-954,05-06-2024,2025-02-24,"$1,910,850.00",rejected
Q-22,MC-1365,2025-09-10,2026-10-10,"$1,544,239.00",expired
Q-23,MC-438,08/23/2026,08/20/2024,1800901,converted
Q-24,MC-1316,07/25/2025,2025-09-18,1997761,pending
Q-25,MC-1215,2024-09-01,2025-07-04,"1 855 914,00",rejected
Q-26,MC-1245,07/08/2026,10/17/2025,524793,expired
Q-27,MC-940,04/27/2026,22-11-2024,1053251,expired
Q-28,MC-1262,2024-11-27,11/23/2025,1 120 507,expired
Q-29,MC-601,2025-12-04,2024-10-19,1342111,expired
Q-30,MC-145,20-05-2025,15-09-2026,"620 948,00",pending
Q-31,MC-860,09/19/2025,2025-09-04,"$1,907,875.00",CONVERTED
Q-32,MC-1247,11/07/2025,04-11-2026,1896045,expired
Q-33,MC-985,07/19/2026,2025-02-01,96680,expired
Q-34,MC-468,02/15/2025,2025-01-04,1164029,pending
Q-35,MC-894,2024-12-10,10/18/2024,44270,expired
Q-36,MC-1369,03/18/2025,2026-12-20,485942,rejected
Q-37,MC-286,2024-08-02,2025-01-23,"$1,237,124.00",pending
Q-38,MC-335,01/19/2026,2024-08-26,"$616,443.00",pending
Q-39,MC-147,09/14/2026,02-10-2026,136037,expired
Q-40,MC-587,2024-10-21,2025-10-12,1032336,CONVERTED
Q-41,MC-323,2025-12-11,2026-06-19,"$746,454.00",pending
Q-42,MC-946,04/05/2026,2024-09-23,544 653,converted
Q-43,MC-399,2024-08-07,2024-12-25,323121,CONVERTED
Q-44,MC-658,2026-06-28,22-02-2024,1017810,converted
Q-45,MC-810,2024-05-18,02/12/2026,"1 015 459,00",rejected
Q-46,MC-707,2026-04-10,2024-09-16,1141524,expired
Q-47,MC-850,2024-05-08,19-01-2025,1054077,CONVERTED
Q-48,MC-1342,2024-07-09,11-10-2026,730394,expired
