material_id,name,supplier_id,unit,unit_cost
RM-1,电路板,SM-3,kg,"1,673.00"
RM-2,钢板,SM-16,件,"$2,879.00"
RM-3,电路板,SM-7,件,590
RM-4,铜线,SM-26,件,281
RM-5,密封圈,SM-22,kg,1330
RM-6,电路板,SM-24,套,$699.00
RM-7,电路板,SM-21,套,4372
RM-8,铜线,SM-11,kg,$91.00
RM-9,钢板,SM-25,g,3697
RM-10,电路板,SM-25,kg,"$3,737.00"
RM-11,铝材,SM-13,件,2569
RM-12,电路板,SM-40,米,1102
RM-13,钢板,SM-2,kg,4041
RM-14,螺丝组,SM-5,kg,"1,252.00"
RM-15,螺丝组,SM-28,件,3657
RM-16,电机,SM-20,件,"1,205.00"
RM-17,钢板,SM-7,套,1490
RM-18,齿轮,SM-10,kg,"$1,263.00"
RM-19,齿轮,SM-8,件,157
RM-20,电机,SM-28,件,4761
RM-21,钢板,SM-38,件,410.00
RM-22,铜线,SM-38,kg,2191
RM-23,铜线,SM-22,g,"$3,710.00"
RM-24,螺丝组,SM-22,件,"1,409.00"
RM-25,塑料粒子,SM-18,件,1551
RM-26,螺丝组,SM-11,套,1081
RM-27,钢板,SM-14,米,419
RM-28,轴承,SM-17,套,"3,290.00"
RM-29,铜线,SM-17,套,2858
RM-30,齿轮,SM-6,套,2873
RM-31,齿轮,SM-37,米,"3,898.00"
RM-32,密封圈,SM-36,件,$358.00
RM-33,铝材,SM-29,件,3780
RM-34,钢板,SM-33,件,"$3,796.00"
RM-35,轴承,SM-29,套,971.00
RM-36,钢板,SM-28,米,3061
RM-37,铝材,SM-1,件,"$3,345.00"
RM-38,钢板,SM-36,件,3207
RM-39,电路板,SM-24,米,3472
RM-40,铝材,SM-25,米,4955
RM-41,齿轮,SM-30,米,"$1,638.00"
RM-42,电机,SM-6,g,"$4,543.00"
RM-43,塑料粒子,SM-34,kg,"$3,196.00"
RM-44,铜线,SM-24,g,72.00
RM-45,钢板,SM-37,kg,4962
RM-46,齿轮,SM-8,件,683.00
RM-47,塑料粒子,SM-6,kg,"$1,033.00"
RM-48,齿轮,SM-6,kg,3699
RM-49,铜线,SM-24,件,"$2,803.00"
RM-50,钢板,SM-38,套,4520
RM-51,钢板,SM-4,件,"2,958.00"
RM-52,轴承,SM-28,g,"$3,201.00"
RM-53,铝材,SM-17,米,"$3,749.00"
RM-54,电机,SM-32,套,3112
RM-55,钢板,SM-26,套,1669
RM-56,铜线,SM-34,米,"$3,228.00"
RM-57,钢板,SM-24,g,3478
RM-58,电路板,SM-11,套,4452
RM-59,电路板,SM-10,米,$523.00
RM-60,螺丝组,SM-1,g,3522
RM-61,电路板,SM-9,件,"4,009.00"
RM-62,铜线,SM-6,米,1037
RM-63,塑料粒子,SM-13,g,2478
RM-64,电路板,SM-7,g,2411
RM-65,螺丝组,SM-12,件,2718
RM-66,齿轮,SM-20,米,96
RM-67,轴承,SM-8,套,"2,020.00"
RM-68,电路板,SM-7,kg,"$1,346.00"
RM-69,钢板,SM-25,kg,534
RM-70,钢板,SM-12,kg,"$3,942.00"
RM-71,电路板,SM-40,g,208
RM-72,电机,SM-11,g,"$3,526.00"
RM-73,轴承,SM-34,g,2281
RM-74,铝材,SM-3,件,2943
RM-75,铝材,SM-36,g,"$1,165.00"
RM-76,密封圈,SM-35,件,"3,792.00"
RM-77,轴承,SM-35,套,"$2,097.00"
RM-78,轴承,SM-6,kg,"2,520.00"
RM-79,电路板,SM-1,g,"$3,150.00"
RM-80,轴承,SM-34,套,3193
RM-81,铜线,SM-2,套,4640
RM-82,密封圈,SM-4,g,3059
RM-83,铜线,SM-10,kg,3597
RM-84,螺丝组,SM-14,kg,"4,114.00"
RM-85,齿轮,SM-28,米,"$1,622.00"
RM-86,电机,SM-37,g,1101
RM-87,铜线,SM-9,g,"$3,052.00"
RM-88,电路板,SM-13,米,"1,830.00"
RM-89,轴承,SM-23,g,$83.00
RM-90,电路板,SM-8,件,$489.00
RM-91,螺丝组,SM-12,套,"$1,563.00"
RM-92,齿轮,SM-29,kg,"$4,345.00"
RM-93,螺丝组,SM-23,kg,4271
RM-94,螺丝组,SM-36,kg,"3,549.00"
RM-95,电机,SM-38,件,4998
RM-96,密封圈,SM-32,件,"$2,501.00"
RM-97,电路板,SM-3,g,601
RM-98,铜线,SM-11,米,3188
RM-99,钢板,SM-19,套,4393
RM-100,齿轮,SM-12,kg,"$4,080.00"
RM-101,齿轮,SM-32,g,$837.00
RM-102,轴承,SM-25,套,"$4,765.00"
RM-103,螺丝组,SM-39,件,"2,395.00"
RM-104,轴承,SM-39,件,2415
RM-105,电路板,SM-40,套,"$3,690.00"
RM-106,轴承,SM-18,米,"4,454.00"
RM-107,齿轮,SM-31,g,2161
RM-108,电路板,SM-8,kg,673
RM-109,铝材,SM-20,kg,"3,423.00"
RM-110,电路板,SM-3,kg,2117
RM-111,螺丝组,SM-19,套,"$2,146.00"
RM-112,铝材,SM-31,套,4009
RM-113,螺丝组,SM-19,g,"$3,658.00"
RM-114,塑料粒子,SM-3,kg,4357
RM-115,电机,SM-22,套,955
RM-116,轴承,SM-9,g,"$1,559.00"
RM-117,电路板,SM-1,米,793
RM-118,电路板,SM-26,米,$487.00
RM-119,钢板,SM-39,g,$567.00
RM-120,电机,SM-40,g,4932
