shipment_id,customer_id,ship_date,weight_kg,carrier
MS-1,MC-920,09/12/2026,17814,顺丰重货
MS-2,MC-1280,2025-12-26,5292,顺丰重货
MS-3,MC-1118,13-04-2026,12267,顺丰重货
MS-4,MC-540,2024-11-15,8213,专线物流
MS-5,MC-1118,2026-05-19,15972,专线物流
MS-6,MC-1153,12/04/2025,8449,自提
MS-7,MC-524,05-12-2024,9638,德邦
MS-8,MC-1151,04/06/2026,19363,德邦
MS-9,MC-318,04-08-2026,10204,德邦
MS-10,MC-816,2026-04-26,3507,自提
MS-11,MC-1227,03-03-2026,14843,自提
MS-12,MC-114,2026-03-12,7209,专线物流
MS-13,MC-632,2026-12-23,5719,顺丰重货
MS-14,MC-364,2025-12-28,2361,德邦
MS-15,MC-892,11/07/2026,5553,专线物流
MS-16,MC-311,05/02/2026,10783,德邦
MS-17,MC-12,2025-10-02,17428,德邦
MS-18,MC-543,08-06-2025,19413,专线物流
MS-19,MC-1322,25-12-2025,6989,专线物流
MS-20,MC-690,06/12/2026,10272,德邦
MS-21,MC-657,01-09-2025,5184,自提
MS-22,MC-461,05/01/2025,15905,专线物流
MS-23,MC-1221,13-07-2024,6158,德邦
MS-24,MC-145,09-05-2026,217,德邦
MS-25,MC-600,2026-03-07,11075,自提
MS-26,MC-736,16-07-2025,1347,专线物流
MS-27,MC-488,2024-03-13,1698,德邦
MS-28,MC-940,25-01-2026,3922,自提
MS-29,MC-1241,2025-05-20,15318,专线物流
MS-30,MC-1080,2026-08-05,2028,自提
MS-31,MC-920,2025-12-18,12155,自提
MS-32,MC-1253,2024-12-03,16976,专线物流
MS-33,MC-516,2025-10-03,4087,自提
MS-34,MC-288,2025-03-16,16335,专线物流
MS-35,MC-1248,04/13/2024,13708,自提
MS-36,MC-737,2026-01-23,13705,顺丰重货
MS-37,MC-679,11/11/2025,19118,专线物流
MS-38,MC-1340,08-01-2024,2264,德邦
MS-39,MC-459,2024-12-02,12735,德邦
MS-40,MC-1293,12/23/2025,13071,德邦
MS-41,MC-325,17-06-2024,5704,专线物流
MS-42,MC-295,2026-05-22,15578,德邦
MS-43,MC-401,2025-02-14,6059,德邦
MS-44,MC-5,2026-07-07,14047,顺丰重货
MS-45,MC-526,2025-08-23,10112,自提
MS-46,MC-309,04/24/2025,4746,德邦
MS-47,MC-809,10-02-2026,673,德邦
MS-48,MC-796,2025-06-28,16152,顺丰重货
MS-49,MC-833,2025-04-26,4561,顺丰重货
MS-50,MC-111,2024-08-25,16313,顺丰重货
MS-51,MC-358,2026-03-28,9105,顺丰重货
MS-52,MC-439,2024-01-27,14889,专线物流
MS-53,MC-734,02/06/2024,6894,自提
MS-54,MC-1400,03/18/2026,2122,自提
MS-55,MC-1150,02/13/2024,8419,自提
MS-56,MC-644,11/28/2025,9166,专线物流
MS-57,MC-1263,2025-04-06,3184,顺丰重货
MS-58,MC-1232,2025-07-16,11609,顺丰重货
MS-59,MC-1169,25-09-2025,8777,自提
MS-60,MC-916,07-08-2024,1834,自提
MS-61,MC-1212,12/03/2025,7286,德邦
MS-62,MC-1282,2025-09-01,10510,专线物流
MS-63,MC-1114,2024-04-10,8032,德邦
MS-64,MC-365,08/21/2026,16866,专线物流
MS-65,MC-438,04/06/2025,8740,德邦
MS-66,MC-1077,2024-12-03,4571,德邦
MS-67,MC-1260,05/19/2026,1710,自提
MS-68,MC-890,2024-01-23,13913,德邦
MS-69,MC-708,2025-01-18,8439,自提
MS-70,MC-1222,07-02-2026,7720,顺丰重货
MS-71,MC-578,10/14/2024,5531,专线物流
MS-72,MC-383,02/09/2025,11663,顺丰重货
MS-73,MC-609,08-07-2026,15966,顺丰重货
MS-74,MC-1001,2024-11-11,5454,专线物流
MS-75,MC-470,05/04/2026,17338,顺丰重货
MS-76,MC-712,12-11-2024,8688,德邦
MS-77,MC-767,2026-01-24,7491,德邦
MS-78,MC-1293,09/15/2026,14376,德邦
MS-79,MC-823,2025-05-22,13865,自提
MS-80,MC-989,2026-11-19,11979,自提
MS-81,MC-1327,10/27/2025,11073,顺丰重货
MS-82,MC-1358,06/14/2026,1561,自提
MS-83,MC-660,14-07-2025,10226,顺丰重货
MS-84,MC-1071,2025-10-02,5423,专线物流
MS-85,MC-518,2025-01-17,14710,德邦
MS-86,MC-123,2024-10-11,17976,顺丰重货
MS-87,MC-1315,08/27/2024,455,顺丰重货
MS-88,MC-368,05/21/2025,15950,自提
MS-89,MC-426,06/21/2026,3207,专线物流
MS-90,MC-760,2025-09-03,6875,顺丰重货
MS-91,MC-1331,2025-05-10,14172,专线物流
MS-92,MC-763,11-01-2026,17007,自提
MS-93,MC-21,02-09-2025,6907,专线物流
MS-94,MC-605,2026-06-17,3235,顺丰重货
MS-95,MC-552,2026-04-05,4497,专线物流
MS-96,MC-1189,24-08-2024,5250,德邦
MS-97,MC-121,08/24/2025,19805,顺丰重货
MS-98,MC-599,02/07/2024,14407,自提
MS-99,MC-405,2025-07-16,3932,德邦
MS-100,MC-1292,07/03/2025,14763,专线物流
MS-101,MC-1306,10/05/2024,2457,德邦
MS-102,MC-380,05/25/2025,4052,专线物流
MS-103,MC-1178,02/17/2025,19880,德邦
MS-104,MC-653,12/12/2024,11500,德邦
MS-105,MC-772,04/01/2026,7122,顺丰重货
MS-106,MC-1063,2025-11-24,18861,自提
MS-107,MC-118,18-05-2024,17283,自提
MS-108,MC-1070,06-07-2024,3142,德邦
MS-109,MC-999,07/05/2024,13832,顺丰重货
MS-110,MC-1309,10/24/2026,19767,专线物流
MS-111,MC-469,2024-08-02,16528,专线物流
MS-112,MC-636,2026-11-19,8041,自提
MS-113,MC-432,2025-06-07,4061,自提
MS-114,MC-1072,28-12-2026,14189,顺丰重货
MS-115,MC-1194,2026-01-09,1289,自提
MS-116,MC-476,2025-11-10,8671,顺丰重货
MS-117,MC-143,12/20/2026,13754,专线物流
MS-118,MC-756,04/16/2026,1393,德邦
MS-119,MC-1387,2026-10-03,15356,专线物流
MS-120,MC-471,09/24/2025,14051,自提
MS-121,MC-766,08/17/2025,4464,自提
MS-122,MC-23,04/18/2025,16597,自提
MS-123,MC-661,09-04-2025,8568,顺丰重货
MS-124,MC-724,2026-10-01,6894,专线物流
MS-125,MC-651,02/09/2026,12739,自提
MS-126,MC-633,2026-12-10,10333,专线物流
MS-127,MC-1101,2025-07-17,14544,顺丰重货
MS-128,MC-2,17-09-2026,10648,德邦
MS-129,MC-714,2025-08-04,6086,专线物流
MS-130,MC-1330,03/03/2026,5550,德邦
MS-131,MC-594,2024-03-02,10698,专线物流
MS-132,MC-1291,06/14/2024,16497,自提
MS-133,MC-738,07/28/2026,7802,自提
MS-134,MC-490,02-02-2025,6520,顺丰重货
MS-135,MC-730,08/01/2026,7168,德邦
MS-136,MC-1270,2025-02-21,19113,自提
MS-137,MC-1063,2026-12-08,7559,顺丰重货
MS-138,MC-493,13-11-2024,1958,德邦
MS-139,MC-892,28-02-2024,6690,顺丰重货
MS-140,MC-315,07/04/2026,17384,自提
MS-141,MC-1352,11/20/2026,14587,专线物流
MS-142,MC-853,10/22/2024,1159,德邦
MS-143,MC-874,02/23/2026,9345,顺丰重货
MS-144,MC-960,2025-07-03,6892,德邦
MS-145,MC-1322,2026-06-23,8132,专线物流
MS-146,MC-1260,06/23/2024,15766,自提
MS-147,MC-912,2024-12-23,175,自提
MS-148,MC-914,2024-12-04,1597,自提
MS-149,MC-1374,02/18/2024,3083,顺丰重货
MS-150,MC-1314,2026-11-28,7359,德邦
MS-151,MC-381,06-07-2026,13179,专线物流
MS-152,MC-2,2024-02-11,5051,德邦
MS-153,MC-128,05/28/2024,510,自提
MS-154,MC-1161,2024-03-18,12124,专线物流
MS-155,MC-1151,10/21/2024,484,顺丰重货
MS-156,MC-1084,08/20/2026,10302,自提
MS-157,MC-671,2025-09-23,13002,自提
MS-158,MC-833,15-09-2025,3236,自提
MS-159,MC-295,2026-02-18,5615,德邦
MS-160,MC-1243,03-06-2026,14199,自提
MS-161,MC-750,08/07/2025,19501,自提
MS-162,MC-575,2026-04-05,9280,自提
MS-163,MC-642,21-03-2026,4376,自提
MS-164,MC-1158,2024-05-09,8858,自提
MS-165,MC-687,09/01/2024,7198,顺丰重货
MS-166,MC-1338,07/27/2025,2155,顺丰重货
MS-167,MC-1138,04-02-2026,11549,德邦
MS-168,MC-1019,04/01/2025,8015,自提
MS-169,MC-1303,24-02-2024,6342,德邦
MS-170,MC-816,2024-10-04,17031,德邦
MS-171,MC-485,2025-05-16,1280,专线物流
MS-172,MC-519,2026-07-01,7989,自提
MS-173,MC-500,27-10-2026,6893,自提
MS-174,MC-314,2026-07-06,5645,专线物流
MS-175,MC-731,2024-07-26,10755,德邦
MS-176,MC-590,24-02-2024,9089,自提
MS-177,MC-714,07/05/2026,16041,顺丰重货
MS-178,MC-1326,19-04-2026,10174,德邦
MS-179,MC-960,03/16/2024,19552,顺丰重货
MS-180,MC-581,09/25/2024,14993,专线物流
MS-181,MC-310,2025-04-19,17677,顺丰重货
MS-182,MC-1363,26-01-2025,2546,德邦
MS-183,MC-1173,04-12-2025,13125,顺丰重货
