supplier_id,name,region,lead_time_days,rating
SM-1,华东金属,深圳,8,3
SM-2,珠江五金,杭州,9,4
SM-3,北方塑胶,成都,10,5
SM-4,联科电子,武汉,11,1
SM-5,环球包装,南京,12,2
SM-6,天成轴承,西安,13,3
SM-7,湘江化工,苏州,14,4
SM-8,青岛部件,北京,15,5
SM-9,中州电缆,上海,16,1
SM-10,远东模具,广州,17,2
SM-11,珠江五金,广州,14,1
SM-12,珠江五金,深圳,43,2
SM-13,珠江五金,南京,40,5
SM-14,珠江五金,南京,9,5
SM-15,珠江五金,北京,48,1
SM-16,珠江五金,西安,42,4
SM-17,珠江五金,上海,18,3
SM-18,珠江五金,上海,40,3
SM-19,珠江五金,苏州,11,4
SM-20,珠江五金,深圳,58,4
SM-21,北方塑胶,上海,19,4
SM-22,北方塑胶,上海,44,1
SM-23,北方塑胶,武汉,33,2
SM-24,北方塑胶,广州,23,4
SM-25,北方塑胶,成都,31,3
SM-26,北方塑胶,北京,13,1
SM-27,北方塑胶,上海,46,1
SM-28,北方塑胶,苏州,44,2
SM-29,北方塑胶,广州,33,4
SM-30,北方塑胶,广州,51,1
SM-31,联科电子,武汉,35,5
SM-32,联科电子,上海,26,5
SM-33,联科电子,上海,14,5
SM-34,联科电子,西安,45,3
SM-35,联科电子,苏州,25,1
SM-36,联科电子,南京,51,2
SM-37,联科电子,上海,20,2
SM-38,联科电子,广州,30,1
SM-39,联科电子,南京,12,1
SM-40,联科电子,苏州,39,5
