redemption_id,campaign_id,coupon_id,customer_id,redeemed_at
RD-1,CM-32,CP-18,CUST-2722,03-05-2026
RD-2,CM-48,CP-191,CUST-3236,12/21/2026
RD-3,CM-21,CP-44,CUST-2228,08-11-2025
RD-4,CM-25,CP-109,CUST-4299,2026-09-03
RD-5,CM-49,CP-113,CUST-3753,12/13/2025
RD-6,CM-40,CP-103,CUST-3141,12/25/2025
RD-7,CM-32,CP-115,CUST-3443,2026-10-13
RD-8,CM-57,CP-141,CUST-282,2026-12-18
RD-9,CM-8,CP-68,CUST-4032,12/15/2026
RD-10,CM-58,CP-197,CUST-2832,11/06/2025
RD-11,CM-1,CP-141,CUST-3967,03/04/2025
RD-12,CM-34,CP-17,CUST-1279,11/09/2026
RD-13,CM-57,CP-1,CUST-451,2025-06-10
RD-14,CM-14,CP-137,CUST-1224,2025-05-02
RD-15,CM-34,CP-114,CUST-3016,2026-08-23
RD-16,CM-48,CP-177,CUST-878,01/21/2025
RD-17,CM-60,CP-9,CUST-1868,09/14/2025
RD-18,CM-42,CP-200,CUST-981,28-07-2026
RD-19,CM-34,CP-170,CUST-1530,2025-10-26
RD-20,CM-30,CP-47,CUST-2705,01/28/2026
RD-21,CM-9,CP-10,CUST-237,2025-02-13
RD-22,CM-27,CP-72,CUST-4256,2026-09-17
RD-23,CM-59,CP-124,CUST-4222,2026-06-09
RD-24,CM-13,CP-64,CUST-4004,2026-07-09
RD-25,CM-14,CP-23,CUST-205,04/14/2026
RD-26,CM-13,CP-120,CUST-1122,04/03/2026
RD-27,CM-13,CP-106,CUST-1435,28-04-2026
RD-28,CM-34,CP-52,CUST-1229,2025-05-09
RD-29,CM-54,CP-15,CUST-3509,07-09-2026
RD-30,CM-12,CP-197,CUST-1002,09-06-2025
RD-31,CM-52,CP-29,CUST-3672,2025-11-15
RD-32,CM-39,CP-87,CUST-1102,2025-09-07
RD-33,CM-48,CP-49,CUST-1178,2025-12-14
RD-34,CM-28,CP-12,CUST-1969,11/05/2026
RD-35,CM-37,CP-160,CUST-4758,2026-06-16
RD-36,CM-48,CP-151,CUST-4194,2025-10-26
RD-37,CM-30,CP-65,CUST-1936,2025-05-15
RD-38,CM-31,CP-170,CUST-3676,09-01-2025
RD-39,CM-42,CP-88,CUST-4730,2026-01-28
RD-40,CM-24,CP-6,CUST-1186,21-06-2026
RD-41,CM-24,CP-10,CUST-4265,2026-10-07
RD-42,CM-9,CP-155,CUST-3040,2026-11-18
RD-43,CM-51,CP-183,CUST-3632,2026-12-04
RD-44,CM-32,CP-118,CUST-3198,12/03/2025
RD-45,CM-39,CP-21,CUST-1342,04/27/2025
RD-46,CM-43,CP-126,CUST-322,2025-07-11
RD-47,CM-17,CP-162,CUST-1355,2026-06-19
RD-48,CM-37,CP-9,CUST-4895,2025-10-22
RD-49,CM-33,CP-142,CUST-1939,13-04-2025
RD-50,CM-3,CP-29,CUST-3324,2025-08-27
RD-51,CM-55,CP-135,CUST-3045,28-09-2026
RD-52,CM-46,CP-164,CUST-4197,01/14/2026
RD-53,CM-43,CP-102,CUST-285,2026-04-25
RD-54,CM-40,CP-88,CUST-1790,09/08/2025
RD-55,CM-32,CP-5,CUST-637,2026-03-15
RD-56,CM-53,CP-83,CUST-979,08/08/2026
RD-57,CM-1,CP-7,CUST-725,2026-07-25
RD-58,CM-35,CP-61,CUST-2936,10/19/2025
RD-59,CM-48,CP-53,CUST-323,2026-07-27
RD-60,CM-58,CP-17,CUST-3539,2026-04-28
RD-61,CM-50,CP-67,CUST-1068,2026-09-07
RD-62,CM-28,CP-163,CUST-1917,03/16/2025
RD-63,CM-49,CP-82,CUST-961,2026-05-02
RD-64,CM-21,CP-59,CUST-3141,2025-11-19
RD-65,CM-16,CP-117,CUST-2534,22-12-2026
RD-66,CM-40,CP-59,CUST-22,2025-06-15
RD-67,CM-42,CP-18,CUST-402,2026-05-15
RD-68,CM-4,CP-40,CUST-4705,10-04-2025
RD-69,CM-16,CP-75,CUST-3153,2025-06-24
RD-70,CM-57,CP-131,CUST-2487,02-01-2025
RD-71,CM-38,CP-82,CUST-4680,21-04-2025
RD-72,CM-6,CP-192,CUST-4766,12-05-2025
RD-73,CM-30,CP-150,CUST-988,19-03-2026
RD-74,CM-53,CP-64,CUST-4493,05/01/2025
RD-75,CM-46,CP-162,CUST-390,19-06-2025
RD-76,CM-6,CP-93,CUST-4027,2026-11-20
RD-77,CM-58,CP-200,CUST-2218,06/25/2026
RD-78,CM-24,CP-28,CUST-1359,2026-01-23
RD-79,CM-6,CP-112,CUST-696,02/27/2025
RD-80,CM-58,CP-183,CUST-3462,2026-02-10
RD-81,CM-25,CP-7,CUST-2131,2025-01-10
RD-82,CM-20,CP-111,CUST-280,2025-11-02
RD-83,CM-57,CP-69,CUST-1205,14-03-2026
RD-84,CM-44,CP-181,CUST-3242,04/16/2025
RD-85,CM-29,CP-35,CUST-3258,2025-01-22
RD-86,CM-21,CP-178,CUST-1891,2026-09-09
RD-87,CM-58,CP-54,CUST-79,2026-03-03
RD-88,CM-20,CP-104,CUST-772,05/26/2026
RD-89,CM-14,CP-188,CUST-2906,2025-08-23
RD-90,CM-24,CP-187,CUST-2864,2026-02-03
RD-91,CM-33,CP-186,CUST-448,09/24/2025
RD-92,CM-55,CP-151,CUST-3325,23-02-2026
RD-93,CM-18,CP-127,CUST-1921,2026-02-18
RD-94,CM-48,CP-89,CUST-1767,01/09/2026
RD-95,CM-38,CP-138,CUST-1783,2025-10-13
RD-96,CM-24,CP-143,CUST-711,2026-07-18
RD-97,CM-59,CP-116,CUST-3901,2026-03-15
RD-98,CM-27,CP-191,CUST-3059,2026-04-21
RD-99,CM-32,CP-130,CUST-819,2026-08-14
RD-100,CM-60,CP-158,CUST-2211,15-05-2026
RD-101,CM-22,CP-86,CUST-67,01/26/2026
RD-102,CM-46,CP-117,CUST-3067,2026-07-20
RD-103,CM-53,CP-108,CUST-3995,08/21/2025
RD-104,CM-48,CP-90,CUST-2640,2025-04-27
RD-105,CM-8,CP-153,CUST-3097,2025-11-24
RD-106,CM-35,CP-130,CUST-1091,08/26/2026
RD-107,CM-9,CP-101,CUST-2467,2026-03-05
RD-108,CM-60,CP-40,CUST-2717,02/28/2026
RD-109,CM-5,CP-161,CUST-2280,11/11/2025
RD-110,CM-51,CP-26,CUST-3936,13-08-2025
RD-111,CM-43,CP-52,CUST-3443,2026-05-17
RD-112,CM-60,CP-2,CUST-46,2026-12-05
RD-113,CM-7,CP-163,CUST-3323,2026-11-21
RD-114,CM-58,CP-124,CUST-3042,2025-03-19
RD-115,CM-48,CP-147,CUST-4399,01/13/2025
RD-116,CM-9,CP-117,CUST-3292,2026-11-12
RD-117,CM-21,CP-49,CUST-3102,2026-08-12
RD-118,CM-38,CP-77,CUST-199,22-11-2025
RD-119,CM-32,CP-51,CUST-4481,2025-11-08
RD-120,CM-32,CP-179,CUST-2103,2025-06-01
RD-121,CM-17,CP-147,CUST-124,2025-12-26
RD-122,CM-16,CP-198,CUST-393,02/23/2025
RD-123,CM-45,CP-66,CUST-593,02/17/2025
RD-124,CM-34,CP-167,CUST-811,04/09/2026
RD-125,CM-51,CP-127,CUST-2833,2025-02-11
RD-126,CM-13,CP-113,CUST-1037,2025-12-21
RD-127,CM-60,CP-136,CUST-2622,2026-01-15
RD-128,CM-39,CP-19,CUST-4996,2026-03-04
RD-129,CM-48,CP-111,CUST-905,2025-10-19
RD-130,CM-4,CP-21,CUST-4990,09/14/2026
RD-131,CM-44,CP-84,CUST-2272,26-02-2026
RD-132,CM-13,CP-130,CUST-2673,10/04/2025
RD-133,CM-9,CP-140,CUST-4083,03/14/2026
RD-134,CM-41,CP-174,CUST-3179,2025-10-22
RD-135,CM-53,CP-20,CUST-4112,2025-11-03
RD-136,CM-26,CP-153,CUST-3556,2025-06-10
RD-137,CM-14,CP-37,CUST-79,16-05-2026
RD-138,CM-60,CP-182,CUST-4046,01/12/2026
RD-139,CM-54,CP-180,CUST-1396,15-04-2026
RD-140,CM-14,CP-184,CUST-4395,2025-01-06
RD-141,CM-59,CP-29,CUST-332,06-07-2025
RD-142,CM-52,CP-110,CUST-3666,2026-01-24
RD-143,CM-56,CP-68,CUST-2314,21-05-2025
RD-144,CM-41,CP-65,CUST-3465,2026-12-18
RD-145,CM-6,CP-31,CUST-2702,2025-11-13
RD-146,CM-36,CP-148,CUST-761,04/12/2026
RD-147,CM-57,CP-128,CUST-2768,21-10-2026
RD-148,CM-15,CP-142,CUST-2981,04/20/2026
RD-149,CM-40,CP-198,CUST-1920,05/21/2026
RD-150,CM-14,CP-102,CUST-2329,19-04-2025
RD-151,CM-55,CP-4,CUST-1443,2025-04-06
RD-152,CM-57,CP-58,CUST-4224,2025-05-26
RD-153,CM-24,CP-17,CUST-58,2026-04-22
RD-154,CM-20,CP-41,CUST-1483,2025-09-04
