campaign_id,name,channel,cost,attributed_revenue,start_date,end_date
CM-1,清仓-1,门店,"$100,669.00",1056261,2025-11-27,2025-02-14
CM-2,清仓-2,邮件,593304,"$29,760.00",2025-04-12,21-10-2025
CM-3,双十一-3,邮件,"123 613,00","$1,003,867.00",2026-09-08,06/01/2025
CM-4,双十一-4,门店,210088,848585,2025-10-17,2025-05-20
CM-5,清仓-5,社交媒体,"$494,671.00",177558,2025-11-25,2026-03-22
CM-6,年货节-6,直播,702705,"$7,224.00",2026-08-12,2025-03-23
CM-7,新品首发-7,直播,"747 358,00",11567,05-05-2026,2025-01-20
CM-8,双十一-8,社交媒体,194147,"$2,976,476.00",2026-07-26,08/17/2025
CM-9,618-9,门店,"$136,097.00",2091873,18-03-2026,2026-01-05
CM-10,新品首发-10,邮件,697800,1474168,12/28/2025,2026-07-27
CM-11,新品首发-11,邮件,647027,"$78,122.00",2025-04-13,2025-12-04
CM-12,双十一-12,门店,177181,"2 184 688,00",2025-11-02,2025-10-18
CM-13,双十一-13,邮件,80812,2 979 481,2026-01-04,2026-01-18
CM-14,新品首发-14,社交媒体,719910,1752244,2026-03-16,20-03-2026
CM-15,双十一-15,邮件,68 593,"$1,450,516.00",05/14/2025,19-01-2026
CM-16,清仓-16,社交媒体,715579,"$551,652.00",03/19/2026,2026-08-09
CM-17,618-17,门店,189159,825135,07/15/2026,01/15/2025
CM-18,清仓-18,门店,"$529,457.00",27281,05/22/2025,2025-06-09
CM-19,双十一-19,社交媒体,166577,"$2,226,323.00",12/15/2026,05/23/2025
CM-20,清仓-20,社交媒体,779 770,7101,2026-11-07,22-06-2025
CM-21,双十一-21,直播,414 374,"$2,524,729.00",2025-10-13,2026-04-17
CM-22,新品首发-22,社交媒体,546584,551 767,09-10-2025,16-12-2025
CM-23,清仓-23,社交媒体,608 628,"$10,112.00",2025-06-05,2026-11-19
CM-24,清仓-24,邮件,480210,1508094,2026-08-25,2026-05-03
CM-25,清仓-25,门店,"$492,107.00",1590118,05/27/2026,2026-09-05
CM-26,新品首发-26,邮件,"$756,133.00",12743,2025-05-25,2026-12-15
CM-27,双十一-27,社交媒体,292613,1065069,2025-10-04,01/28/2026
CM-28,年货节-28,线上,498214,815737,2026-01-28,22-08-2025
CM-29,双十一-29,邮件,"$606,875.00","331 528,00",2025-12-21,2025-12-03
CM-30,年货节-30,门店,356943,"2 701 995,00",2026-04-04,2025-12-19
CM-31,新品首发-31,门店,25484,1970329,03-09-2026,19-12-2025
CM-32,618-32,邮件,"$799,623.00",2692204,2026-02-16,2025-02-26
CM-33,新品首发-33,直播,115390,6217,2025-03-26,2026-05-13
CM-34,清仓-34,社交媒体,435780,18407,09/22/2026,2025-04-10
CM-35,清仓-35,线上,"380 525,00","1 591 418,00",2026-02-21,08/24/2026
CM-36,双十一-36,门店,"$721,964.00",527919,2025-10-02,2025-01-20
CM-37,新品首发-37,线上,700171,"550 547,00",2025-01-06,02-03-2025
CM-38,年货节-38,社交媒体,448868,1 753 905,07/07/2026,20-04-2026
CM-39,双十一-39,直播,684091,261254,2026-12-11,2025-02-10
CM-40,清仓-40,直播,397755,2874406,22-11-2025,18-03-2025
CM-41,清仓-41,门店,169404,769146,2025-10-21,02/06/2025
CM-42,清仓-42,直播,"$723,018.00",5792,2025-06-27,08/19/2026
CM-43,618-43,直播,"$141,593.00","$1,161,995.00",06/27/2026,2026-11-10
CM-44,清仓-44,邮件,"$533,791.00","$1,642,970.00",2026-04-24,2026-05-12
CM-45,年货节-45,直播,120 851,2 589 258,2025-03-10,2025-01-12
CM-46,清仓-46,门店,"589 367,00",2090360,03/28/2026,10/21/2026
CM-47,新品首发-47,邮件,107638,"$1,109,416.00",09/22/2026,2026-09-07
CM-48,新品首发-48,社交媒体,671948,15047,09-08-2025,2026-06-23
CM-49,618-49,邮件,474068,"1 026 319,00",11/23/2026,2025-09-27
CM-50,清仓-50,直播,763401,"839 965,00",01/28/2026,2026-02-14
CM-51,新品首发-51,邮件,361321,2462383,2026-03-18,10/25/2026
CM-52,新品首发-52,邮件,"$335,477.00",25 969,2026-09-19,01/19/2025
CM-53,双十一-53,直播,790747,23842,12/19/2026,2025-05-22
CM-54,年货节-54,直播,"$214,351.00","$2,985,315.00",2026-05-11,2026-03-01
CM-55,新品首发-55,线上,115291,"$2,151.00",2026-12-02,2026-04-25
CM-56,年货节-56,社交媒体,"$555,095.00","2 819 355,00",2026-12-12,04/19/2026
CM-57,新品首发-57,邮件,"460 060,00","$14,144.00",10/05/2025,2026-12-10
CM-58,年货节-58,门店,418448,1312565,01/27/2026,27-02-2025
CM-59,清仓-59,门店,"$783,443.00","$1,597,689.00",12/23/2026,06/24/2025
CM-60,新品首发-60,邮件,"$582,201.00",1963683,2026-12-07,2025-06-21
