coupon_id,code,discount_rate,expires
CP-1,SAVE1000,0.2,2026-01-20
CP-2,SAVE1001,20%,2026-05-03
CP-3,SAVE1002,0.3,09/15/2026
CP-4,SAVE1003,0.3,2026-05-08
CP-5,SAVE1004,10%,08/06/2026
CP-6,SAVE1005,0.2,2026-11-05
CP-7,SAVE1006,0.15,10/22/2026
CP-8,SAVE1007,0.3,14-11-2026
CP-9,SAVE1008,0.15,06-02-2026
CP-10,SAVE1009,20%,05/10/2026
CP-11,SAVE1010,10%,2026-03-24
CP-12,SAVE1011,0.3,06/01/2026
CP-13,SAVE1012,10%,2026-04-12
CP-14,SAVE1013,0.15,04/18/2026
CP-15,SAVE1014,20%,2026-07-03
CP-16,SAVE1015,0.15,2026-04-15
CP-17,SAVE1016,0.3,23-07-2026
CP-18,SAVE1017,10%,21-05-2026
CP-19,SAVE1018,20%,2026-06-12
CP-20,SAVE1019,0.2,04/05/2026
CP-21,SAVE1020,0.3,2026-10-11
CP-22,SAVE1021,0.2,10/10/2026
CP-23,SAVE1022,0.2,2026-11-28
CP-24,SAVE1023,0.2,12/03/2026
CP-25,SAVE1024,20%,2026-04-09
CP-26,SAVE1025,0.2,07-09-2026
CP-27,SAVE1026,20%,07/08/2026
CP-28,SAVE1027,0.2,12-02-2026
CP-29,SAVE1028,10%,08/26/2026
CP-30,SAVE1029,0.15,2026-08-14
CP-31,SAVE1030,10%,2026-08-17
CP-32,SAVE1031,0.15,06/03/2026
CP-33,SAVE1032,0.2,2026-02-15
CP-34,SAVE1033,0.3,2026-03-15
CP-35,SAVE1034,10%,01-05-2026
CP-36,SAVE1035,20%,2026-05-02
CP-37,SAVE1036,20%,06/19/2026
CP-38,SAVE1037,0.15,03/23/2026
CP-39,SAVE1038,10%,2026-06-11
CP-40,SAVE1039,0.3,11/04/2026
CP-41,SAVE1040,20%,07/02/2026
CP-42,SAVE1041,0.15,2026-06-15
CP-43,SAVE1042,20%,23-10-2026
CP-44,SAVE1043,10%,2026-04-06
CP-45,SAVE1044,10%,05/12/2026
CP-46,SAVE1045,20%,2026-01-04
CP-47,SAVE1046,10%,06/12/2026
CP-48,SAVE1047,10%,03/08/2026
CP-49,SAVE1048,10%,12-04-2026
CP-50,SAVE1049,10%,2026-05-12
CP-51,SAVE1050,10%,2026-05-01
CP-52,SAVE1051,10%,08-01-2026
CP-53,SAVE1052,20%,2026-10-04
CP-54,SAVE1053,10%,2026-05-06
CP-55,SAVE1054,0.3,08/14/2026
CP-56,SAVE1055,0.2,18-06-2026
CP-57,SAVE1056,0.15,2026-08-27
CP-58,SAVE1057,20%,11/27/2026
CP-59,SAVE1058,10%,01-11-2026
CP-60,SAVE1059,20%,2026-08-10
CP-61,SAVE1060,0.15,05/23/2026
CP-62,SAVE1061,0.15,2026-10-25
CP-63,SAVE1062,10%,11/15/2026
CP-64,SAVE1063,10%,2026-03-15
CP-65,SAVE1064,0.2,2026-08-06
CP-66,SAVE1065,0.3,09-04-2026
CP-67,SAVE1066,0.3,06/07/2026
CP-68,SAVE1067,10%,05-08-2026
CP-69,SAVE1068,0.2,05/21/2026
CP-70,SAVE1069,10%,02/27/2026
CP-71,SAVE1070,0.3,2026-11-10
CP-72,SAVE1071,0.3,2026-07-12
CP-73,SAVE1072,0.2,11-10-2026
CP-74,SAVE1073,10%,2026-09-03
CP-75,SAVE1074,20%,26-08-2026
CP-76,SAVE1075,0.3,2026-05-14
CP-77,SAVE1076,0.15,2026-02-10
CP-78,SAVE1077,20%,2026-04-09
CP-79,SAVE1078,10%,20-07-2026
CP-80,SAVE1079,0.15,02/08/2026
CP-81,SAVE1080,10%,04/21/2026
CP-82,SAVE1081,0.3,08-03-2026
CP-83,SAVE1082,0.3,2026-09-28
CP-84,SAVE1083,0.2,14-03-2026
CP-85,SAVE1084,10%,11/15/2026
CP-86,SAVE1085,20%,2026-02-25
CP-87,SAVE1086,0.15,11/20/2026
CP-88,SAVE1087,0.3,01/14/2026
CP-89,SAVE1088,0.15,02-08-2026
CP-90,SAVE1089,0.3,09/01/2026
CP-91,SAVE1090,10%,2026-10-26
CP-92,SAVE1091,10%,09/25/2026
CP-93,SAVE1092,0.2,02/10/2026
CP-94,SAVE1093,10%,21-06-2026
CP-95,SAVE1094,0.2,27-01-2026
CP-96,SAVE1095,0.2,2026-08-26
CP-97,SAVE1096,20%,11-05-2026
CP-98,SAVE1097,0.2,10/16/2026
CP-99,SAVE1098,10%,02/20/2026
CP-100,SAVE1099,10%,2026-07-21
CP-101,SAVE1100,0.3,10/20/2026
CP-102,SAVE1101,10%,2026-10-12
CP-103,SAVE1102,10%,2026-07-24
CP-104,SAVE1103,20%,06/19/2026
CP-105,SAVE1104,0.15,07/03/2026
CP-106,SAVE1105,0.3,04/10/2026
CP-107,SAVE1106,20%,22-11-2026
CP-108,SAVE1107,0.3,2026-02-04
CP-109,SAVE1108,20%,2026-05-12
CP-110,SAVE1109,0.2,2026-06-26
CP-111,SAVE1110,0.2,2026-03-10
CP-112,SAVE1111,0.2,04/16/2026
CP-113,SAVE1112,0.15,2026-09-13
CP-114,SAVE1113,10%,02/06/2026
CP-115,SAVE1114,20%,2026-07-11
CP-116,SAVE1115,0.2,2026-11-12
CP-117,SAVE1116,0.3,08/24/2026
CP-118,SAVE1117,0.2,06/27/2026
CP-119,SAVE1118,0.2,08/24/2026
CP-120,SAVE1119,0.3,2026-11-13
CP-121,SAVE1120,20%,01-09-2026
CP-122,SAVE1121,0.3,2026-01-27
CP-123,SAVE1122,0.2,2026-05-19
CP-124,SAVE1123,0.2,06/17/2026
CP-125,SAVE1124,0.3,2026-04-10
CP-126,SAVE1125,20%,2026-07-15
CP-127,SAVE1126,20%,2026-06-22
CP-128,SAVE1127,0.3,07-11-2026
CP-129,SAVE1128,0.2,2026-04-21
CP-130,SAVE1129,0.15,08/28/2026
CP-131,SAVE1130,20%,06/18/2026
CP-132,SAVE1131,10%,2026-06-03
CP-133,SAVE1132,0.3,22-06-2026
CP-134,SAVE1133,0.2,2026-12-21
CP-135,SAVE1134,0.2,2026-09-01
CP-136,SAVE1135,0.15,2026-12-02
CP-137,SAVE1136,20%,2026-08-03
CP-138,SAVE1137,0.3,2026-12-04
CP-139,SAVE1138,20%,2026-02-15
