customer_id,company_name,email,phone,region,signup_date
CUST-1,Cyberdyne-100,acct100@example.com,139-1000-0000,北京,2020-01-15
CUST-2,Black Mesa-101,ACCT101@CORP.NET,139-1001-0001,上海,2020-02-15
CUST-3,Oscorp-102,acct102@biz.org,139-1002-0002,广州,2020-03-15
CUST-4,Acme Corp-103,ACCT103@EXAMPLE.COM,139-1003-0003,深圳,2020-04-15
CUST-5,Aperture-104,acct104@corp.net,139-1004-0004,杭州,2020-05-15
CUST-6,Weyland-Yutani-105,ACCT105@BIZ.ORG,139-1005-0005,成都,2020-06-15
CUST-7,Black Mesa-106,acct106@example.com,139-1006-0006,武汉,2020-07-15
CUST-8,Initech-107,ACCT107@CORP.NET,139-1007-0007,南京,2020-08-15
CUST-9,Massive Dynamic-108,acct108@biz.org,139-1008-0008,西安,2020-09-15
CUST-10,Weyland-Yutani-109,ACCT109@EXAMPLE.COM,139-1009-0009,苏州,2020-10-15
CUST-11,Black Mesa-110,acct110@corp.net,139-1010-0000,北京,2020-11-15
CUST-12,Massive Dynamic-111,ACCT111@BIZ.ORG,139-1011-0001,上海,2020-12-15
CUST-13,Wayne Enterprises-112,acct112@example.com,139-1012-0002,广州,2020-01-15
CUST-14,Cyberdyne-113,ACCT113@CORP.NET,139-1013-0003,深圳,2020-02-15
CUST-15,Tyrell Corp-114,acct114@biz.org,139-1014-0004,杭州,2020-03-15
CUST-16,Wayne Enterprises-115,ACCT115@EXAMPLE.COM,139-1015-0005,成都,2020-04-15
CUST-17,Wonka-116,acct116@corp.net,139-1016-0006,武汉,2020-05-15
CUST-18,Hooli-117,ACCT117@BIZ.ORG,139-1017-0007,南京,2020-06-15
CUST-19,Oscorp-118,acct118@example.com,139-1018-0008,西安,2020-07-15
CUST-20,Aperture-119,ACCT119@CORP.NET,139-1019-0009,苏州,2020-08-15
CUST-21,Dunder Mifflin-120,acct120@biz.org,139-1020-0000,北京,2020-09-15
CUST-22,LexCorp-121,ACCT121@EXAMPLE.COM,139-1021-0001,上海,2020-10-15
CUST-23,Weyland-Yutani-122,acct122@corp.net,139-1022-0002,广州,2020-11-15
CUST-24,Weyland-Yutani-123,ACCT123@BIZ.ORG,139-1023-0003,深圳,2020-12-15
CUST-25,Vandelay-124,acct124@example.com,139-1024-0004,杭州,2020-01-15
CUST-26,Massive Dynamic-125,ACCT125@CORP.NET,139-1025-0005,成都,2020-02-15
CUST-27,Wonka-126,acct126@biz.org,139-1026-0006,武汉,2020-03-15
CUST-28,Hooli-127,ACCT127@EXAMPLE.COM,139-1027-0007,南京,2020-04-15
CUST-29,Blue Sun-128,acct128@corp.net,139-1028-0008,西安,2020-05-15
CUST-30,Initech-129,ACCT129@BIZ.ORG,139-1029-0009,苏州,2020-06-15
CUST-31,Massive Dynamic-130,acct130@example.com,139-1030-0000,北京,2020-07-15
CUST-32,Aperture-131,ACCT131@CORP.NET,139-1031-0001,上海,2020-08-15
CUST-33,Massive Dynamic-132,acct132@biz.org,139-1032-0002,广州,2020-09-15
CUST-34,Hooli-133,ACCT133@EXAMPLE.COM,139-1033-0003,深圳,2020-10-15
CUST-35,Hooli-134,acct134@corp.net,139-1034-0004,杭州,2020-11-15
CUST-36,Umbrella Co-135,ACCT135@BIZ.ORG,139-1035-0005,成都,2020-12-15
CUST-37,Tyrell Corp-136,acct136@example.com,139-1036-0006,武汉,2020-01-15
CUST-38,Globex-137,ACCT137@CORP.NET,139-1037-0007,南京,2020-02-15
CUST-39,Acme Corp-138,acct138@biz.org,139-1038-0008,西安,2020-03-15
CUST-40,Stark Industries-139,ACCT139@EXAMPLE.COM,139-1039-0009,苏州,2020-04-15
CUST-41,Initech-140,acct140@corp.net,139-1040-0000,北京,2020-05-15
CUST-42,Hooli-141,ACCT141@BIZ.ORG,139-1041-0001,上海,2020-06-15
CUST-43,Blue Sun-142,acct142@example.com,139-1042-0002,广州,2020-07-15
CUST-44,Acme Corp-143,ACCT143@CORP.NET,139-1043-0003,深圳,2020-08-15
CUST-45,Cyberdyne-144,acct144@biz.org,139-1044-0004,杭州,2020-09-15
CUST-46,Tyrell Corp-145,ACCT145@EXAMPLE.COM,139-1045-0005,成都,2020-10-15
CUST-47,Wayne Enterprises-146,acct146@corp.net,139-1046-0006,武汉,2020-11-15
CUST-48,Hooli-147,ACCT147@BIZ.ORG,139-1047-0007,南京,2020-12-15
CUST-49,Weyland-Yutani-148,acct148@example.com,139-1048-0008,西安,2020-01-15
CUST-50,Black Mesa-149,ACCT149@CORP.NET,139-1049-0009,苏州,2020-02-15
CUST-51,Weyland-Yutani-150,acct150@biz.org,139-1050-0000,北京,2020-03-15
CUST-52,Pied Piper-151,ACCT151@EXAMPLE.COM,139-1051-0001,上海,2020-04-15
CUST-53,Weyland-Yutani-152,acct152@corp.net,139-1052-0002,广州,2020-05-15
CUST-54,Wayne Enterprises-153,ACCT153@BIZ.ORG,139-1053-0003,深圳,2020-06-15
CUST-55,Dunder Mifflin-154,acct154@example.com,139-1054-0004,杭州,2020-07-15
CUST-56,Acme Corp-155,ACCT155@CORP.NET,139-1055-0005,成都,2020-08-15
CUST-57,Umbrella Co-156,acct156@biz.org,139-1056-0006,武汉,2020-09-15
CUST-58,Wonka-157,ACCT157@EXAMPLE.COM,139-1057-0007,南京,2020-10-15
CUST-59,Acme Corp-158,acct158@corp.net,139-1058-0008,西安,2020-11-15
