inventory_id,product_id,store_id,stock,reorder_level,last_updated
INV-1,R-1083,ST-13,8000,99,2026-12-22
INV-2,R-1322,ST-2,215,51,05-04-2026
INV-3,MD-1300,ST-11,484,90,28-01-2026
INV-4,SKU1775,ST-18,306,99,2025-01-10
INV-5,REF-1677,ST-8,389,99,04-07-2026
INV-6,MD-1731,ST-4,222,28,07/15/2026
INV-7,MD-1177,ST-13,22,60,04/25/2025
INV-8,MD-1363,ST-16,8137,42,2025-11-08
INV-9,REF-1381,ST-3,342,97,2026-04-10
INV-10,REF-1729,ST-21,364,61,2025-10-04
INV-11,REF-1729,ST-25,182,83,03/28/2025
INV-12,MD-1073,ST-11,444,23,02/14/2025
INV-13,R-1637,ST-13,309,76,28-08-2026
INV-14,REF-1678,ST-1,483,27,2026-09-16
INV-15,REF-1746,ST-19,8274,38,05-11-2026
INV-16,MD-1549,ST-7,34,52,2025-06-22
INV-17,R-1359,ST-18,401,82,05/18/2025
INV-18,SKU1396,ST-23,314,81,12/20/2026
INV-19,REF-1043,ST-2,338,96,2026-04-11
INV-20,REF-1389,ST-2,307,53,06-08-2026
INV-21,REF-1051,ST-4,237,58,07-06-2026
INV-22,SKU1710,ST-11,8411,14,2026-10-01
INV-23,MD-1081,ST-23,198,66,12-08-2026
INV-24,R-1090,ST-23,12,78,04-09-2025
INV-25,R-1090,ST-13,372,33,09/08/2026
INV-26,R-1372,ST-11,425,100,2025-03-22
INV-27,SKU1626,ST-2,380,16,10/11/2025
INV-28,REF-1483,ST-10,498,62,2025-12-04
INV-29,SKU1176,ST-14,8548,72,01/22/2026
INV-30,REF-1086,ST-20,50,19,2025-01-25
INV-31,SKU1481,ST-1,124,71,11/18/2025
INV-32,SKU1709,ST-22,58,63,10/22/2025
INV-33,REF-1665,ST-5,109,82,24-08-2025
INV-34,SKU1466,ST-2,180,68,2026-07-07
INV-35,SKU1145,ST-22,162,13,12/16/2026
INV-36,REF-1105,ST-5,8685,46,2025-01-05
INV-37,REF-1071,ST-15,170,74,16-06-2026
INV-38,REF-1437,ST-25,57,62,2026-02-05
INV-39,REF-1467,ST-18,153,99,01-11-2025
INV-40,MD-1693,ST-11,456,14,03/26/2026
INV-41,MD-1624,ST-3,351,94,2025-09-06
INV-42,MD-1617,ST-10,453,68,2025-07-23
INV-43,R-1410,ST-15,8822,62,2026-10-19
INV-44,MD-1647,ST-18,119,86,2026-05-14
INV-45,REF-1154,ST-12,111,90,03/12/2025
INV-46,REF-1689,ST-18,223,55,2026-04-26
INV-47,MD-1210,ST-5,317,83,2025-12-01
INV-48,R-1527,ST-3,92,75,01/23/2025
INV-49,REF-1059,ST-12,58,35,2025-10-20
INV-50,MD-1261,ST-2,8959,83,04/09/2025
INV-51,R-1622,ST-18,317,52,2026-03-12
INV-52,SKU1091,ST-10,356,99,09/19/2026
INV-53,R-1127,ST-2,457,49,2026-10-25
INV-54,REF-1406,ST-13,333,11,04/15/2025
INV-55,R-1072,ST-14,477,53,2026-01-01
INV-56,R-1695,ST-7,293,82,2026-05-15
INV-57,SKU1167,ST-7,9096,77,03/19/2025
INV-58,MD-1313,ST-3,62,54,2026-04-01
INV-59,R-1506,ST-2,261,76,08/14/2025
INV-60,SKU1203,ST-16,244,57,2025-09-21
INV-61,R-1707,ST-9,220,27,2025-04-01
INV-62,SKU1297,ST-21,104,17,03-02-2025
INV-63,REF-1148,ST-23,210,23,09/16/2026
INV-64,SKU1078,ST-6,9233,74,2025-01-01
INV-65,SKU1365,ST-9,127,63,2026-09-19
INV-66,SKU1374,ST-12,101,98,07-10-2026
INV-67,MD-1205,ST-15,184,39,2026-01-21
INV-68,MD-1496,ST-12,363,49,2026-06-27
INV-69,MD-1581,ST-25,397,57,04-07-2025
INV-70,SKU1361,ST-22,192,44,2025-08-13
INV-71,R-1659,ST-23,9370,10,2026-11-25
INV-72,REF-1086,ST-23,251,86,12-09-2025
INV-73,SKU1538,ST-6,41,33,2026-11-10
INV-74,MD-1345,ST-1,68,96,2025-08-20
INV-75,SKU1214,ST-6,357,16,26-04-2026
INV-76,SKU1702,ST-10,274,92,25-08-2026
INV-77,R-1238,ST-6,152,46,2025-04-04
INV-78,SKU1440,ST-7,9507,95,07/22/2025
INV-79,SKU1214,ST-12,108,100,2026-04-17
INV-80,MD-1731,ST-10,379,48,2026-04-08
INV-81,MD-1581,ST-13,419,29,2025-11-07
