membership_id,customer_id,level,points
M-1,CUST-4692,silver,22865
M-2,CUST-1623,SILVER,35779
M-3,CUST-4877,GOLD,4980
M-4,CUST-3553,bronze,23265
M-5,CUST-2873,bronze,39579
M-6,CUST-4194,gold,29538
M-7,CUST-1097,Gold,40640
M-8,CUST-624,gold,22769
M-9,CUST-3731,GOLD,12947
M-10,CUST-4505,SILVER,11264
M-11,CUST-469,Gold,17960
M-12,CUST-3723,Gold,45733
M-13,CUST-2641,Gold,22570
M-14,CUST-2976,gold,31130
M-15,CUST-1286,silver,710
M-16,CUST-1781,silver,36937
M-17,CUST-1700,silver,30851
M-18,CUST-2943,bronze,47779
M-19,CUST-2537,Gold,26466
M-20,CUST-4467,SILVER,11782
M-21,CUST-4849,SILVER,7795
M-22,CUST-514,Gold,12639
M-23,CUST-4383,SILVER,38469
M-24,CUST-4659,GOLD,2000
M-25,CUST-28,bronze,19572
M-26,CUST-171,Gold,35255
M-27,CUST-2632,GOLD,39310
M-28,CUST-1966,SILVER,36967
M-29,CUST-994,silver,45523
M-30,CUST-878,Gold,20840
M-31,CUST-2506,gold,48943
M-32,CUST-110,gold,6341
M-33,CUST-1163,gold,20808
M-34,CUST-2410,SILVER,27292
M-35,CUST-775,gold,27989
M-36,CUST-2219,SILVER,26769
M-37,CUST-695,GOLD,21870
M-38,CUST-4644,Gold,38585
M-39,CUST-4599,SILVER,5404
M-40,CUST-4613,Gold,40391
M-41,CUST-2169,SILVER,48839
M-42,CUST-2391,bronze,14208
M-43,CUST-2620,SILVER,49220
M-44,CUST-3856,bronze,15593
M-45,CUST-1752,silver,19823
M-46,CUST-1194,gold,38764
M-47,CUST-471,GOLD,9301
M-48,CUST-3857,silver,47448
M-49,CUST-3120,Gold,44980
M-50,CUST-1267,SILVER,31277
M-51,CUST-4572,Gold,36850
M-52,CUST-4150,SILVER,8609
M-53,CUST-1353,Gold,22708
M-54,CUST-4011,bronze,45459
M-55,CUST-4758,SILVER,10299
M-56,CUST-1825,SILVER,14965
M-57,CUST-2333,GOLD,41921
M-58,CUST-4173,Gold,26640
M-59,CUST-2898,GOLD,9305
M-60,CUST-1686,Gold,40205
M-61,CUST-2205,silver,2107
M-62,CUST-4846,silver,45679
M-63,CUST-2631,GOLD,42548
M-64,CUST-4940,bronze,12256
M-65,CUST-80,silver,47431
M-66,CUST-4035,silver,6380
M-67,CUST-3302,gold,26392
M-68,CUST-3667,bronze,47245
M-69,CUST-409,silver,16574
M-70,CUST-4713,silver,953
M-71,CUST-144,Gold,3814
M-72,CUST-1467,bronze,9015
M-73,CUST-2015,Gold,27223
M-74,CUST-1901,silver,44720
M-75,CUST-303,silver,14727
M-76,CUST-2932,Gold,11294
M-77,CUST-2010,silver,21332
