item_id,order_id,product_id,quantity,unit_price,subtotal
OI-1,ORD-3480,REF-1511,-1,5120,"$19,361.00"
OI-2,ORD-7593,R-1078,2,2331,21677
OI-3,ORD-6664,SKU1265,9,1361,18961
OI-4,ORD-11020,SKU1254,9,2014,34 633
OI-5,ORD-11299,MD-1553,10,"1 890,00",799
OI-6,ORD-13999,REF-1256,7,495,38227
OI-7,ORD-13746,REF-1176,7,4 892,"$46,046.00"
OI-8,ORD-6631,REF-1559,4,"$2,973.00","$30,644.00"
OI-9,ORD-11104,REF-1769,10,3 559,17077
OI-10,ORD-3548,SKU1032,6,"$4,150.00",21136
OI-11,ORD-10517,SKU1582,2,"$3,930.00","18 747,00"
OI-12,ORD-981,SKU1722,1,1 407,"$15,253.00"
OI-13,ORD-4518,SKU1607,7,801,"45 940,00"
OI-14,ORD-10396,R-1377,8,3483,"27 930,00"
OI-15,ORD-12511,MD-1509,8,"3 786,00",32878
OI-16,ORD-8471,REF-1741,3,"$4,456.00",47948
OI-17,ORD-6325,SKU1585,10,3745,"$47,596.00"
OI-18,ORD-7438,MD-1204,2,$298.00,7564
OI-19,ORD-12165,SKU1750,3,$786.00,12192
OI-20,ORD-5299,R-1301,8,"$2,274.00",47530
OI-21,ORD-11140,R-1523,2,1406,"$38,895.00"
OI-22,ORD-2639,MD-1411,1,"$1,615.00","$46,725.00"
OI-23,ORD-14927,SKU1764,6,2 293,37 565
OI-24,ORD-5275,R-1215,3,4620,"$27,222.00"
OI-25,ORD-11899,SKU1459,5,3964,"$33,665.00"
OI-26,ORD-13615,R-1340,3,992,"41 824,00"
OI-27,ORD-9977,R-1330,4,4610,46758
OI-28,ORD-14451,REF-1232,4,1367,"$2,631.00"
OI-29,ORD-14527,MD-1246,9,863,"$5,114.00"
OI-30,ORD-12348,SKU1762,3,27,"28 220,00"
OI-31,ORD-11003,SKU1712,8,$231.00,"$33,227.00"
OI-32,ORD-7674,SKU1459,1,"$3,226.00",38 496
OI-33,ORD-11133,SKU1192,7,2183,29041
OI-34,ORD-4978,REF-1226,7,3 284,"$39,556.00"
OI-35,ORD-2296,REF-1728,2,87,34574
OI-36,ORD-5592,SKU1525,6,"$2,103.00","$25,239.00"
OI-37,ORD-2205,MD-1625,5,"$3,648.00",26967
OI-38,ORD-3764,MD-1374,10,"2 239,00","$36,361.00"
OI-39,ORD-6253,SKU1032,2,"$1,026.00",2880
OI-40,ORD-7600,REF-1232,3,2452,40 890
OI-41,ORD-14126,REF-1111,5,2400,"45 506,00"
OI-42,ORD-8809,MD-1304,6,5 017,5781
OI-43,ORD-7085,MD-1064,2,2537,"$31,628.00"
OI-44,ORD-9750,MD-1224,10,704,33843
OI-45,ORD-1256,REF-1141,2,$255.00,"$43,465.00"
OI-46,ORD-12534,MD-1789,6,1991,"$49,712.00"
OI-47,ORD-1734,SKU1260,8,4651,18154
OI-48,ORD-4548,SKU1395,7,"$2,999.00",49 334
OI-49,ORD-14728,SKU1254,10,1580,734
OI-50,ORD-9019,R-1050,10,4665,23 452
OI-51,ORD-3208,REF-1325,5,"$4,467.00",36679
OI-52,ORD-2091,SKU1733,7,2696,"$33,586.00"
OI-53,ORD-9196,REF-1116,1,3286,$30.00
OI-54,ORD-7591,R-1606,5,"$4,869.00","$24,160.00"
