order_id,customer_id,store_id,coupon_id,order_date,status,total_amount
ORD-1,CUST-99999,ST-8,,08-12-2025,ACTIVE,"$14,636.00"
ORD-2,CUST-168,ST-13,,2026-12-20,closed,13322
ORD-3,CUST-1471,ST-11,,2025-02-22,CLOSED,"$11,189.00"
ORD-4,CUST-2504,ST-15,,2025-06-05,CLOSED,"17 337,00"
ORD-5,CUST-3971,ST-21,CP-162,12/09/2024, Active ,15225
ORD-6,CUST-3677,ST-17,,2024-01-14, Active ,"$16,855.00"
ORD-7,CUST-3734,ST-1,,2025-05-04,closed,2569
ORD-8,CUST-2979,ST-4,,18-08-2025, Active ,1177
ORD-9,CUST-2271,ST-15,,08/18/2026,PENDING,6453
ORD-10,CUST-1382,ST-21,,2025-07-16,ACTIVE,"$7,044.00"
ORD-11,CUST-386,ST-17,CP-60,2026-09-10,pending,"$8,053.00"
ORD-12,CUST-2095,ST-12,,2025-06-23,closed,"$3,445.00"
ORD-13,CUST-4566,ST-18,CP-103,15-06-2024,CLOSED,13033
ORD-14,CUST-99999,ST-4,CP-133,12/01/2024,ACTIVE,4600
ORD-15,CUST-340,ST-15,,2024-12-03,PENDING,18 250
ORD-16,CUST-4934,ST-20,,2026-08-27,active,15 869
ORD-17,CUST-3702,ST-12,,2025-07-13,ACTIVE,17378
ORD-18,CUST-4332,ST-8,,21-04-2026,ACTIVE,14725
ORD-19,CUST-613,ST-12,,2024-01-01,CLOSED,3086
ORD-20,CUST-248,ST-17,CP-24,2024-02-18,CLOSED,"7 864,00"
ORD-21,CUST-2707,ST-10,CP-173,16-01-2025, Active ,13495
ORD-22,CUST-882,ST-23,,2026-03-07,active,"$6,292.00"
ORD-23,CUST-3222,ST-7,,03/19/2024,active,"$9,876.00"
ORD-24,CUST-435,ST-1,,12/08/2024,CLOSED,16130
ORD-25,CUST-3429,ST-11,,13-12-2024,PENDING,"$17,649.00"
ORD-26,CUST-1640,ST-6,,2026-07-16, Active ,4636
ORD-27,CUST-99999,ST-15,CP-50,2024-10-16,active,"$3,891.00"
ORD-28,CUST-4279,ST-8,,2024-06-16,ACTIVE,"$7,528.00"
ORD-29,CUST-4755,ST-14,,12/03/2026,ACTIVE,2950
ORD-30,CUST-4723,ST-24,,08/28/2024,closed,17030
ORD-31,CUST-1493,ST-19,CP-101,09-06-2024,ACTIVE,"8 878,00"
ORD-32,CUST-679,ST-1,,01/18/2026,CLOSED,"$5,878.00"
ORD-33,CUST-424,ST-13,,01/11/2026,PENDING,12917
ORD-34,CUST-1016,ST-20,CP-153,03/09/2025,closed,3486
ORD-35,CUST-1954,ST-10,,2026-06-04,ACTIVE,3048
ORD-36,CUST-3370,ST-2,CP-196,2026-09-04,closed,13370
ORD-37,CUST-1737,ST-5,,06/06/2026, Active ,7 118
ORD-38,CUST-2498,ST-16,,2026-11-04,ACTIVE,"17 059,00"
ORD-39,CUST-2054,ST-20,,07-05-2026,ACTIVE,"$16,256.00"
ORD-40,CUST-99999,ST-8,CP-84,01/15/2026,CLOSED,"$17,572.00"
ORD-41,CUST-3160,ST-9,,02-09-2024, Active ,10579
ORD-42,CUST-1428,ST-12,,08/22/2025,closed,"$11,088.00"
ORD-43,CUST-4755,ST-12,,2026-02-07,ACTIVE,12170
ORD-44,CUST-2527,ST-23,CP-149,2024-02-24,pending,8432
ORD-45,CUST-2746,ST-10,,09-05-2026,closed,644
ORD-46,CUST-2362,ST-20,CP-116,03/15/2026, Active ,10441
ORD-47,CUST-4753,ST-6,CP-17,04/13/2026,pending,5264
ORD-48,CUST-4288,ST-2,,2026-07-13,CLOSED,12835
ORD-49,CUST-3604,ST-12,,2026-05-21,CLOSED,"$18,842.00"
ORD-50,CUST-4085,ST-14,CP-54,2025-06-16,CLOSED,8419
ORD-51,CUST-3168,ST-3,,2024-07-24,CLOSED,12589
ORD-52,CUST-628,ST-13,,2025-10-07,CLOSED,4 496
ORD-53,CUST-99999,ST-16,,2025-09-27,CLOSED,19 875
ORD-54,CUST-4987,ST-10,CP-138,01/03/2026,PENDING,7 680
ORD-55,CUST-4433,ST-20,CP-74,08-07-2024,ACTIVE,2266
ORD-56,CUST-2058,ST-21,CP-152,25-12-2026,CLOSED,"$8,208.00"
ORD-57,CUST-1408,ST-19,,2026-10-19,active,"6 981,00"
ORD-58,CUST-1899,ST-11,CP-165,2025-03-26,pending,11433
ORD-59,CUST-4869,ST-1,CP-167,08/16/2024,ACTIVE,"$11,970.00"
ORD-60,CUST-3122,ST-17,CP-171,2024-08-03,PENDING,"6 163,00"
ORD-61,CUST-4192,ST-12,,2024-03-26,ACTIVE,"2 096,00"
ORD-62,CUST-576,ST-22,,2025-12-23, Active ,8365
ORD-63,CUST-1633,ST-8,,02/02/2024,closed,"$14,211.00"
ORD-64,CUST-3157,ST-9,CP-162,2025-11-05,ACTIVE,"2 706,00"
ORD-65,CUST-1820,ST-1,,04/27/2025,CLOSED,407
ORD-66,CUST-99999,ST-2,CP-25,11-02-2025,PENDING,"$18,017.00"
ORD-67,CUST-4275,ST-11,,08/18/2026,pending,13706
ORD-68,CUST-2734,ST-14,,07/16/2026,CLOSED,12 319
ORD-69,CUST-2543,ST-16,CP-13,2024-02-07,closed,"19 600,00"
ORD-70,CUST-1698,ST-12,CP-157,2024-05-05,closed,17843
ORD-71,CUST-1076,ST-14,CP-107,2025-06-08,ACTIVE,17767
ORD-72,CUST-109,ST-21,,11-08-2026,active,18562
ORD-73,CUST-418,ST-15,,2024-04-11,active,4781
ORD-74,CUST-1428,ST-16,,2025-07-08,PENDING,"$11,759.00"
ORD-75,CUST-3122,ST-4,,01/07/2024,ACTIVE,"18 295,00"
ORD-76,CUST-3790,ST-16,CP-179,2025-07-04,ACTIVE,"1 614,00"
ORD-77,CUST-2291,ST-10,CP-87,2024-12-03,active,14741
ORD-78,CUST-4862,ST-9,,01/19/2024,closed,"$13,160.00"
ORD-79,CUST-99999,ST-7,,12/25/2025,closed,"$9,890.00"
ORD-80,CUST-4329,ST-6,CP-48,09/22/2025,PENDING,"$10,517.00"
ORD-81,CUST-1129,ST-21,,19-12-2024, Active ,3518
ORD-82,CUST-1780,ST-13,,04/16/2024,PENDING,"$18,088.00"
ORD-83,CUST-4181,ST-19,,2026-08-22,PENDING,10033
ORD-84,CUST-577,ST-11,CP-141,2024-07-18,PENDING,13 896
ORD-85,CUST-3008,ST-15,,2024-12-09,closed,18904
ORD-86,CUST-1222,ST-16,,2025-10-20,active,1170
ORD-87,CUST-2877,ST-7,CP-135,08/09/2024,active,"$9,584.00"
ORD-88,CUST-4766,ST-23,,2026-01-08, Active ,10708
ORD-89,CUST-4013,ST-6,,11/04/2026,PENDING,"1 599,00"
ORD-90,CUST-3634,ST-19,,2025-10-21,ACTIVE,3889
ORD-91,CUST-4462,ST-9,,2025-04-16,pending,17302
ORD-92,CUST-99999,ST-3,,2024-09-09,closed,"$6,997.00"
ORD-93,CUST-2043,ST-20,,10/21/2025,active,$766.00
ORD-94,CUST-715,ST-7,,18-12-2026,ACTIVE,12 258
ORD-95,CUST-2017,ST-10,CP-62,2026-12-01,pending,4898
ORD-96,CUST-2690,ST-9,,10/04/2024,pending,10881
ORD-97,CUST-4030,ST-8,CP-95,2026-05-14, Active ,16 974
ORD-98,CUST-4464,ST-24,CP-20,23-05-2024,PENDING,"$19,257.00"
ORD-99,CUST-2335,ST-23,,06/21/2026,pending,"$2,713.00"
ORD-100,CUST-2737,ST-20,,13-09-2026,closed,"$3,621.00"
ORD-101,CUST-1699,ST-1,,2025-10-19,closed,3203
ORD-102,CUST-2199,ST-12,,02/25/2024,active,"$15,780.00"
ORD-103,CUST-2090,ST-25,,04-06-2024,active,3545
ORD-104,CUST-4659,ST-4,CP-91,2024-12-02,pending,10521
ORD-105,CUST-99999,ST-6,,18-10-2024,ACTIVE,19725
ORD-106,CUST-2243,ST-5,,2024-02-03,pending,18528
ORD-107,CUST-4785,ST-4,CP-182,06/14/2024, Active ,"15 852,00"
ORD-108,CUST-3795,ST-6,,2026-07-24, Active ,"$12,674.00"
ORD-109,CUST-1185,ST-19,,2026-02-09,PENDING,"11 273,00"
ORD-110,CUST-4929,ST-18,,11/06/2025, Active ,"$14,315.00"
ORD-111,CUST-462,ST-17,,2024-10-19,closed,6981
ORD-112,CUST-1804,ST-13,,26-06-2026,closed,"11 475,00"
ORD-113,CUST-3543,ST-1,,11-12-2026,closed,19391
ORD-114,CUST-1467,ST-13,,2026-03-13,CLOSED,"$15,995.00"
ORD-115,CUST-119,ST-12,,14-01-2024, Active ,12963
ORD-116,CUST-4773,ST-6,,2024-08-20,ACTIVE,5918
ORD-117,CUST-3953,ST-8,,11/15/2024,active,"14 323,00"
ORD-118,CUST-99999,ST-13,CP-33,2026-08-27,ACTIVE,8655
ORD-119,CUST-2003,ST-7,,2025-02-10,active,"13 969,00"
ORD-120,CUST-850,ST-7,,2025-12-28,CLOSED,"$11,894.00"
ORD-121,CUST-2764,ST-22,CP-85,2025-03-01,CLOSED,9880
ORD-122,CUST-1653,ST-1,,2026-09-07,PENDING,1247
ORD-123,CUST-4978,ST-16,,2024-12-18,pending,13001
ORD-124,CUST-3269,ST-5,,02/08/2026,CLOSED,"$19,782.00"
ORD-125,CUST-406,ST-24,,2026-10-22,active,"$4,821.00"
ORD-126,CUST-1605,ST-23,,2024-08-12,pending,"$11,783.00"
ORD-127,CUST-1123,ST-11,,09/11/2025,ACTIVE,7099
ORD-128,CUST-4719,ST-19,,08/14/2025,active,"$9,436.00"
ORD-129,CUST-1759,ST-16,,12/18/2024,PENDING,3935
ORD-130,CUST-2619,ST-8,,2025-11-24,closed,15968
ORD-131,CUST-99999,ST-6,,04/17/2026,active,5956
ORD-132,CUST-1602,ST-8,,2026-10-23,ACTIVE,10614
ORD-133,CUST-3798,ST-23,,2025-06-27,ACTIVE,14547
ORD-134,CUST-4875,ST-25,,2026-03-13,closed,"$6,886.00"
ORD-135,CUST-616,ST-20,,2025-11-11,closed,19292
ORD-136,CUST-817,ST-10,CP-134,17-12-2025,ACTIVE,6 879
ORD-137,CUST-3244,ST-19,,2026-02-06,ACTIVE,"19 097,00"
ORD-138,CUST-415,ST-2,CP-174,2026-12-18,active,"$2,245.00"
ORD-139,CUST-203,ST-6,CP-50,10/12/2025,closed,"$10,208.00"
ORD-140,CUST-3185,ST-22,CP-73,04/14/2025,pending,6 539
ORD-141,CUST-4399,ST-3,,2025-05-04,active,"2 191,00"
ORD-142,CUST-4494,ST-20,CP-65,2024-01-28,ACTIVE,13 716
ORD-143,CUST-1535,ST-22,CP-195,2024-02-05,active,"$10,622.00"
ORD-144,CUST-99999,ST-25,CP-170,2025-09-01,pending,"$6,186.00"
ORD-145,CUST-2754,ST-19,CP-137,16-05-2026,closed,"$3,330.00"
ORD-146,CUST-475,ST-16,,16-03-2024,pending,"$7,704.00"
ORD-147,CUST-885,ST-13,,2024-08-19,PENDING,$129.00
ORD-148,CUST-4312,ST-6,CP-165,13-10-2026,ACTIVE,4947
ORD-149,CUST-1901,ST-8,,2024-11-18,ACTIVE,"$12,247.00"
ORD-150,CUST-819,ST-18,CP-127,2024-10-21,active,8186
ORD-151,CUST-1261,ST-2,,2024-12-04,active,4 586
ORD-152,CUST-3798,ST-9,CP-143,2025-02-06,PENDING,14640
ORD-153,CUST-1070,ST-25,,18-02-2025, Active ,14905
ORD-154,CUST-3006,ST-11,,2026-06-22,pending,"13 479,00"
ORD-155,CUST-1736,ST-7,,2026-02-24, Active ,"17 344,00"
ORD-156,CUST-963,ST-3,,03/23/2025,PENDING,12587
ORD-157,CUST-99999,ST-6,,04-09-2025,ACTIVE,"$12,288.00"
ORD-158,CUST-2518,ST-22,CP-75,2024-12-13,pending,"$9,381.00"
ORD-159,CUST-4497,ST-21,,07/20/2025,CLOSED,"9 718,00"
ORD-160,CUST-3387,ST-1,,2025-04-04,CLOSED,10160
ORD-161,CUST-3594,ST-6,CP-136,2025-03-10,PENDING,12272
ORD-162,CUST-758,ST-25,,05/14/2026,active,19448
