payment_id,order_id,amount,method,status,paid_date
PAY-1,ORD-11656,8409,alipay,SUCCESS,2024-04-05
PAY-2,ORD-6354,"16,680.00",alipay,pending,2026-10-11
PAY-3,ORD-14264,14417,card,success,2026-08-17
PAY-4,ORD-6124,806.00,card,success,2024-07-12
PAY-5,ORD-4855,1147,card,success,2025-09-12
PAY-6,ORD-12408,10918,card,pending,12/06/2025
PAY-7,ORD-1443,"$15,336.00",alipay,pending,2026-07-15
PAY-8,ORD-13253,"$1,886.00",alipay,pending,11-04-2026
PAY-9,ORD-1686,"$17,555.00",card,pending,2025-01-21
PAY-10,ORD-9466,15989,alipay,SUCCESS,22-08-2026
PAY-11,ORD-3993,"$18,846.00",COD,success,01/26/2026
PAY-12,ORD-9617,"$1,241.00",COD,failed,2025-07-06
PAY-13,ORD-9055,4804,alipay,success,2024-02-12
PAY-14,ORD-8593,6695,alipay,SUCCESS,2026-12-21
PAY-15,ORD-14194,4232,COD,pending,10/12/2025
PAY-16,ORD-10533,18878,COD,pending,08/25/2026
PAY-17,ORD-2291,1332,wechat,SUCCESS,10/19/2024
PAY-18,ORD-10767,"18,334.00",card,SUCCESS,06/18/2026
PAY-19,ORD-14598,"$4,235.00",alipay,pending,2025-09-26
PAY-20,ORD-13090,"4,994.00",alipay,pending,11/10/2025
PAY-21,ORD-10847,"14,050.00",COD,pending,28-07-2026
PAY-22,ORD-13416,5519,alipay,success,2026-01-11
PAY-23,ORD-942,"1,598.00",alipay,pending,2025-11-16
PAY-24,ORD-12880,10879,COD,pending,02/19/2024
PAY-25,ORD-9241,14512,alipay,success,2026-08-24
PAY-26,ORD-7229,4205,wechat,success,2025-11-25
PAY-27,ORD-737,"$8,746.00",COD,SUCCESS,2026-03-23
PAY-28,ORD-13942,5769,wechat,SUCCESS,10/12/2025
PAY-29,ORD-7234,"$5,788.00",COD,success,2025-02-24
PAY-30,ORD-12510,"$8,829.00",wechat,SUCCESS,03/08/2024
PAY-31,ORD-775,14263,COD,SUCCESS,2026-03-17
PAY-32,ORD-786,"16,026.00",wechat,SUCCESS,23-10-2025
PAY-33,ORD-13567,"15,876.00",alipay,pending,08/15/2026
PAY-34,ORD-11999,6542,card,pending,24-08-2026
PAY-35,ORD-3934,18227,alipay,SUCCESS,02/04/2026
PAY-36,ORD-1321,"1,443.00",wechat,SUCCESS,11/22/2024
PAY-37,ORD-6782,5075,alipay,SUCCESS,17-09-2024
PAY-38,ORD-12934,"$2,578.00",alipay,success,23-01-2026
PAY-39,ORD-2311,"$18,730.00",wechat,pending,2025-03-11
PAY-40,ORD-7431,"$9,182.00",wechat,pending,2025-02-27
PAY-41,ORD-2025,"$2,352.00",alipay,failed,2024-06-24
PAY-42,ORD-13635,16818,COD,pending,2025-05-05
PAY-43,ORD-6822,"$7,273.00",alipay,SUCCESS,2026-11-18
PAY-44,ORD-13926,"$14,227.00",card,pending,10/21/2025
PAY-45,ORD-5245,"$11,080.00",wechat,SUCCESS,02/16/2025
PAY-46,ORD-3113,8190,card,success,2025-03-13
PAY-47,ORD-10474,"$5,990.00",alipay,SUCCESS,05/08/2024
PAY-48,ORD-3146,16238,wechat,SUCCESS,07/18/2026
PAY-49,ORD-9462,9838,alipay,pending,15-12-2024
PAY-50,ORD-11284,17358,COD,success,03-05-2026
PAY-51,ORD-338,5807,card,SUCCESS,18-02-2025
PAY-52,ORD-8741,18333,COD,pending,04/28/2025
PAY-53,ORD-14733,"$13,299.00",wechat,SUCCESS,02-05-2026
PAY-54,ORD-7087,16861,wechat,failed,2024-01-10
PAY-55,ORD-4338,"$17,655.00",alipay,pending,23-02-2024
PAY-56,ORD-13825,14503,COD,success,09-08-2026
PAY-57,ORD-5849,"$14,526.00",card,success,2025-02-19
PAY-58,ORD-101,"3,037.00",card,SUCCESS,18-05-2025
PAY-59,ORD-10149,4646,alipay,pending,02/01/2026
PAY-60,ORD-13116,"18,294.00",COD,pending,08/12/2025
PAY-61,ORD-10810,17945,wechat,success,05-08-2024
PAY-62,ORD-5417,11417,alipay,pending,2024-08-07
PAY-63,ORD-534,"5,931.00",COD,SUCCESS,2025-08-09
PAY-64,ORD-14177,705,COD,failed,19-07-2024
PAY-65,ORD-7792,4595,alipay,success,2025-06-10
PAY-66,ORD-12072,5697,card,SUCCESS,11/25/2026
PAY-67,ORD-13963,"7,905.00",alipay,success,2025-09-22
PAY-68,ORD-10111,3729,wechat,SUCCESS,09/13/2024
PAY-69,ORD-8001,17726,wechat,success,2024-05-09
PAY-70,ORD-3529,"4,134.00",wechat,SUCCESS,2026-12-21
PAY-71,ORD-2592,"6,195.00",wechat,SUCCESS,01/26/2024
PAY-72,ORD-9527,11384,alipay,failed,2024-06-16
PAY-73,ORD-4666,"$3,328.00",COD,success,04/16/2026
PAY-74,ORD-14262,"8,432.00",alipay,pending,17-03-2025
