price_id,product_id,effective_date,price
PR-1,REF-1696,12-01-2024,955
PR-2,R-1209,17-08-2026,"$4,144.00"
PR-3,MD-1196,2026-08-02,"$4,672.00"
PR-4,REF-1244,2026-04-20,2 133
PR-5,REF-1461,09-02-2025,5 032
PR-6,REF-1058,2024-12-16,"$4,180.00"
PR-7,REF-1266,2026-09-20,1397
PR-8,REF-1799,04/25/2026,1939
PR-9,MD-1375,2024-10-24,"$4,274.00"
PR-10,SKU1332,27-06-2026,"$4,012.00"
PR-11,R-1320,08/11/2025,"$1,341.00"
PR-12,REF-1101,02/13/2025,62
PR-13,SKU1314,01/03/2024,35
PR-14,MD-1049,2025-10-25,154
PR-15,REF-1323,22-01-2025,1933
PR-16,REF-1715,10/27/2025,109
PR-17,SKU1084,2026-11-23,1995
PR-18,REF-1765,2024-08-10,3096
PR-19,R-1657,05-10-2024,4885
PR-20,R-1592,2024-06-02,316
PR-21,SKU1406,2026-09-15,4269
PR-22,MD-1686,07/07/2024,920
PR-23,MD-1716,2025-04-19,2471
PR-24,REF-1163,2024-05-01,4865
PR-25,R-1420,06-02-2024,4186
PR-26,SKU1452,02/23/2026,"$1,077.00"
PR-27,R-1164,2026-06-23,4013
PR-28,SKU1088,09/26/2026,4987
PR-29,REF-1393,2026-04-09,30
PR-30,SKU1051,2026-01-26,2662
PR-31,SKU1253,12/04/2024,"$2,704.00"
PR-32,SKU1740,12/17/2026,1379
PR-33,R-1408,2026-03-18,4862
PR-34,REF-1171,08/17/2026,"3 071,00"
PR-35,SKU1084,2026-01-01,"4 438,00"
PR-36,SKU1251,2025-06-22,"$1,695.00"
PR-37,MD-1004,2026-02-20,1397
PR-38,SKU1085,05/17/2026,"$1,196.00"
PR-39,SKU1029,2024-07-09,$557.00
PR-40,MD-1686,2024-03-18,"$1,764.00"
PR-41,R-1441,2025-11-26,4253
PR-42,R-1415,06/22/2026,4 836
PR-43,SKU1619,2024-04-10,"$4,238.00"
PR-44,SKU1031,07/26/2025,1576
PR-45,R-1237,2024-03-13,3850
PR-46,REF-1655,09/18/2026,"$1,351.00"
PR-47,SKU1653,2024-05-27,1769
PR-48,REF-1714,01/07/2024,2787
PR-49,SKU1066,2026-03-24,"$4,920.00"
PR-50,MD-1492,2024-10-17,2174
PR-51,SKU1462,05/09/2025,652
PR-52,MD-1202,11/06/2026,"$1,465.00"
PR-53,REF-1541,2024-05-24,"$4,243.00"
PR-54,SKU1750,2026-05-27,"$3,904.00"
PR-55,R-1034,2024-10-25,"$2,219.00"
PR-56,REF-1287,09/21/2025,4942
PR-57,R-1353,2025-09-02,1503
PR-58,SKU1114,12/08/2024,"2 299,00"
PR-59,SKU1095,09-07-2026,"$2,814.00"
PR-60,MD-1150,2026-04-23,1 062
PR-61,SKU1248,22-12-2024,838
PR-62,REF-1137,09/07/2024,4167
PR-63,MD-1091,2025-02-11,"$2,575.00"
PR-64,SKU1673,10/05/2025,3 135
PR-65,R-1748,2024-06-17,3 383
PR-66,SKU1691,2026-02-08,"$2,397.00"
PR-67,SKU1740,09/08/2026,"$2,107.00"
PR-68,REF-1644,05/17/2024,"$4,312.00"
PR-69,R-1019,20-06-2024,2397
PR-70,SKU1095,2024-01-19,"$1,741.00"
PR-71,MD-1270,2026-01-26,$148.00
PR-72,MD-1442,2024-03-15,217
PR-73,SKU1406,12-06-2025,"$3,950.00"
PR-74,SKU1040,2024-01-28,"$3,923.00"
PR-75,R-1047,2026-04-19,4028
PR-76,MD-1659,2025-04-11,"$1,809.00"
PR-77,R-1330,2026-04-02,"$2,525.00"
PR-78,SKU1742,2025-04-04,"$2,732.00"
PR-79,REF-1684,2026-12-02,3 010
PR-80,REF-1738,2025-07-04,968
PR-81,REF-1307,2025-05-26,3625
PR-82,SKU1484,2024-04-17,5123
PR-83,REF-1412,10/04/2026,"$2,270.00"
PR-84,R-1295,11/02/2024,2309
PR-85,REF-1403,2024-10-15,1757
PR-86,R-1288,04/19/2026,2279
PR-87,SKU1139,06/24/2026,$388.00
PR-88,R-1499,2025-10-03,4113
PR-89,SKU1198,2024-04-26,"261,00"
PR-90,R-1494,10-12-2025,2188
PR-91,REF-1382,12/15/2026,3139
PR-92,R-1104,2026-09-26,4489
PR-93,SKU1198,12-06-2025,5100
PR-94,MD-1149,2026-03-12,4444
PR-95,R-1545,27-07-2025,"$1,732.00"
PR-96,R-1293,19-01-2025,1 114
PR-97,MD-1581,2026-12-27,1 142
PR-98,REF-1103,09/09/2025,"$5,099.00"
PR-99,MD-1427,13-12-2025,4190
PR-100,SKU1778,03-02-2025,2574
PR-101,SKU1172,2026-09-03,4069
PR-102,SKU1755,27-04-2026,"$2,475.00"
PR-103,REF-1719,26-11-2026,"$1,855.00"
PR-104,MD-1380,2024-11-09,$677.00
PR-105,R-1179,2026-12-06,"$3,687.00"
PR-106,SKU1766,09-06-2024,4872
PR-107,MD-1258,12/26/2026,4042
PR-108,MD-1782,2026-03-14,"$3,542.00"
PR-109,REF-1654,2024-12-18,2855
PR-110,MD-1551,02/10/2025,1528
PR-111,REF-1054,2024-05-18,4381
PR-112,REF-1669,2025-07-11,525
PR-113,R-1443,03-12-2024,5042
PR-114,MD-1557,2026-11-13,"$2,347.00"
PR-115,R-1440,13-08-2025,"$3,924.00"
PR-116,R-1189,2025-05-05,1 341
PR-117,R-1330,2026-03-05,"$1,945.00"
PR-118,SKU1398,2026-02-23,$854.00
