product_id,name,category_id,supplier_id,unit_price
R-1000,便携音箱-0,CAT-26,SR-33,4739
MD-1001,经典手机壳-1,CAT-18,SR-58,"1,537.00"
REF-1002,标准手表-2,CAT-4,SR-28,4112
R-1003,智能背包-3,CAT-5,SR-64,$26.00
REF-1004,智能耳机-4,CAT-15,SR-70,78
SKU1005,便携键盘-5,CAT-4,SR-32,756
MD-1006,豪华键盘-6,CAT-3,SR-45,"1,610.00"
SKU1007,便携手机壳-7,CAT-7,SR-12,1974
SKU1008,mini耳机-8,CAT-4,SR-64,"$1,752.00"
MD-1009,智能手表-9,CAT-2,SR-53,"4,804.00"
R-1010,豪华台灯-10,CAT-2,SR-59,"$1,732.00"
MD-1011,标准音箱-11,CAT-11,SR-55,582.00
SKU1012,mini水杯-12,CAT-24,SR-75,"$2,173.00"
MD-1013,智能手机壳-13,CAT-7,SR-55,"3,390.00"
MD-1014,经典台灯-14,CAT-12,SR-10,"$2,609.00"
SKU1015,智能耳机-15,CAT-3,SR-49,"$4,857.00"
R-1016,豪华耳机-16,CAT-21,SR-3,1774
MD-1017,mini手机壳-17,CAT-27,SR-35,1693
SKU1018,标准台灯-18,CAT-8,SR-9,$571.00
R-1019,mini手表-19,CAT-21,SR-71,4694
MD-1020,mini音箱-20,CAT-7,SR-51,2632
REF-1021,标准背包-21,CAT-5,SR-76,35
R-1022,便携耳机-22,CAT-4,SR-59,"2,506.00"
R-1023,标准音箱-23,CAT-23,SR-35,"$3,821.00"
REF-1024,智能手表-24,CAT-5,SR-11,"$2,936.00"
R-1025,便携键盘-25,CAT-15,SR-8,$406.00
SKU1026,经典音箱-26,CAT-14,SR-77,2504
MD-1027,经典手机壳-27,CAT-2,SR-9,"$2,603.00"
MD-1028,豪华键盘-28,CAT-12,SR-28,1501
SKU1029,经典台灯-29,CAT-2,SR-58,"$3,829.00"
REF-1030,智能水杯-30,CAT-9,SR-28,"3,708.00"
R-1031,豪华手表-31,CAT-4,SR-14,"$3,833.00"
REF-1032,标准手表-32,CAT-3,SR-28,3624
SKU1033,标准手表-33,CAT-8,SR-66,1645
SKU1034,mini台灯-34,CAT-12,SR-68,"1,293.00"
MD-1035,智能水杯-35,CAT-2,SR-62,"$3,286.00"
SKU1036,智能手机壳-36,CAT-22,SR-40,2236
MD-1037,便携键盘-37,CAT-24,SR-60,3137
MD-1038,便携背包-38,CAT-30,SR-61,$501.00
REF-1039,经典手机壳-39,CAT-21,SR-1,4505
SKU1040,标准手机壳-40,CAT-6,SR-11,1049
MD-1041,mini耳机-41,CAT-5,SR-65,"$1,427.00"
REF-1042,智能台灯-42,CAT-11,SR-45,643.00
REF-1043,标准耳机-43,CAT-16,SR-7,2987
REF-1044,便携键盘-44,CAT-12,SR-20,2980
SKU1045,智能键盘-45,CAT-19,SR-9,3479
MD-1046,标准水杯-46,CAT-28,SR-59,647
MD-1047,便携手表-47,CAT-14,SR-13,"$3,093.00"
R-1048,豪华音箱-48,CAT-1,SR-21,"4,775.00"
MD-1049,智能手表-49,CAT-6,SR-58,1078
SKU1050,标准音箱-0,CAT-12,SR-62,"2,792.00"
REF-1051,经典背包-1,CAT-9,SR-56,4098
REF-1052,豪华水杯-2,CAT-26,SR-57,83
MD-1053,标准键盘-3,CAT-7,SR-30,"$1,110.00"
REF-1054,mini背包-4,CAT-7,SR-76,4803
REF-1055,豪华水杯-5,CAT-6,SR-80,"1,681.00"
SKU1056,标准手机壳-6,CAT-8,SR-78,4355
SKU1057,经典音箱-7,CAT-8,SR-75,458.00
REF-1058,便携手表-8,CAT-23,SR-35,"$3,293.00"
REF-1059,智能耳机-9,CAT-6,SR-16,3304
SKU1060,豪华手机壳-10,CAT-2,SR-29,1178
REF-1061,经典键盘-11,CAT-19,SR-38,4518
R-1062,智能音箱-12,CAT-4,SR-5,"$1,408.00"
REF-1063,豪华手表-13,CAT-13,SR-55,"$4,594.00"
R-1064,智能手表-14,CAT-24,SR-15,1705
R-1065,标准音箱-15,CAT-7,SR-66,4145
REF-1066,mini背包-16,CAT-25,SR-60,$304.00
R-1067,豪华台灯-17,CAT-17,SR-67,475
SKU1068,智能背包-18,CAT-7,SR-45,"$4,729.00"
SKU1069,智能手表-19,CAT-17,SR-75,$115.00
REF-1070,mini手表-20,CAT-7,SR-2,3346
REF-1071,mini手机壳-21,CAT-12,SR-13,2555
R-1072,标准台灯-22,CAT-20,SR-45,"$3,277.00"
MD-1073,经典背包-23,CAT-16,SR-36,"$2,243.00"
MD-1074,便携水杯-24,CAT-26,SR-77,"2,721.00"
MD-1075,豪华台灯-25,CAT-27,SR-20,3949
REF-1076,智能手机壳-26,CAT-28,SR-11,61
REF-1077,豪华耳机-27,CAT-27,SR-26,4939
SKU1078,经典手机壳-28,CAT-30,SR-7,1017
R-1079,便携水杯-29,CAT-1,SR-21,2452
R-1080,智能键盘-30,CAT-1,SR-7,2716
MD-1081,mini背包-31,CAT-25,SR-3,"$4,150.00"
R-1082,智能音箱-32,CAT-6,SR-74,"$4,896.00"
R-1083,便携水杯-33,CAT-29,SR-79,686
SKU1084,经典手机壳-34,CAT-22,SR-70,"$1,718.00"
SKU1085,经典键盘-35,CAT-8,SR-7,$751.00
REF-1086,标准水杯-36,CAT-23,SR-63,"3,849.00"
REF-1087,智能手表-37,CAT-29,SR-59,"3,484.00"
REF-1088,mini手机壳-38,CAT-9,SR-32,2238
SKU1089,标准音箱-39,CAT-25,SR-28,$367.00
R-1090,mini手机壳-40,CAT-13,SR-58,"1,161.00"
SKU1091,经典耳机-41,CAT-14,SR-1,4268
REF-1092,豪华背包-42,CAT-24,SR-43,1236
MD-1093,智能手机壳-43,CAT-1,SR-61,"$2,849.00"
SKU1094,便携键盘-44,CAT-19,SR-74,3051
SKU1095,标准手表-45,CAT-27,SR-60,"2,014.00"
REF-1096,标准台灯-46,CAT-27,SR-15,$734.00
MD-1097,标准背包-47,CAT-3,SR-24,1273
R-1098,经典耳机-48,CAT-27,SR-49,714.00
R-1099,智能耳机-49,CAT-17,SR-14,"$2,806.00"
REF-1100,标准手表-0,CAT-19,SR-63,3211
MD-1101,智能水杯-1,CAT-22,SR-73,"$3,407.00"
REF-1102,豪华耳机-2,CAT-6,SR-77,$489.00
MD-1103,经典手表-3,CAT-13,SR-27,3527
MD-1104,经典键盘-4,CAT-10,SR-36,2149
REF-1105,mini音箱-5,CAT-16,SR-27,3896
REF-1106,经典手表-6,CAT-2,SR-11,"$2,829.00"
MD-1107,标准音箱-7,CAT-19,SR-15,"3,161.00"
R-1108,标准音箱-8,CAT-6,SR-52,3861
R-1109,豪华台灯-9,CAT-11,SR-16,"4,909.00"
MD-1110,便携手机壳-10,CAT-15,SR-50,"1,056.00"
MD-1111,豪华手机壳-11,CAT-22,SR-42,3773
MD-1112,经典水杯-12,CAT-10,SR-57,$854.00
R-1113,mini耳机-13,CAT-2,SR-65,691
REF-1114,豪华键盘-14,CAT-23,SR-19,"4,905.00"
R-1115,mini耳机-15,CAT-19,SR-43,"4,153.00"
REF-1116,mini背包-16,CAT-18,SR-4,2923
REF-1117,标准台灯-17,CAT-26,SR-38,3004
MD-1118,智能台灯-18,CAT-24,SR-54,2272
REF-1119,标准耳机-19,CAT-13,SR-4,"2,294.00"
R-1120,经典手表-20,CAT-14,SR-34,1667
R-1121,经典背包-21,CAT-22,SR-23,"$1,299.00"
R-1122,智能耳机-22,CAT-19,SR-24,323.00
R-1123,豪华水杯-23,CAT-24,SR-58,"1,569.00"
R-1124,mini音箱-24,CAT-11,SR-74,1923
REF-1125,便携背包-25,CAT-4,SR-62,225
SKU1126,经典背包-26,CAT-21,SR-43,"3,075.00"
R-1127,智能手机壳-27,CAT-27,SR-12,2305
R-1128,经典手表-28,CAT-12,SR-58,"3,118.00"
R-1129,经典手机壳-29,CAT-6,SR-24,1730
REF-1130,mini台灯-30,CAT-1,SR-31,371
MD-1131,标准水杯-31,CAT-28,SR-77,1855
R-1132,标准音箱-32,CAT-1,SR-76,2989
SKU1133,豪华水杯-33,CAT-1,SR-42,3782
R-1134,经典耳机-34,CAT-29,SR-77,689.00
R-1135,mini水杯-35,CAT-4,SR-33,2364
MD-1136,经典手机壳-36,CAT-3,SR-66,"2,940.00"
R-1137,mini背包-37,CAT-18,SR-67,"$3,078.00"
REF-1138,标准背包-38,CAT-28,SR-30,"3,608.00"
REF-1139,经典台灯-39,CAT-11,SR-62,3544
REF-1140,豪华耳机-40,CAT-25,SR-68,"$3,650.00"
REF-1141,便携手表-41,CAT-11,SR-65,1982
MD-1142,豪华背包-42,CAT-28,SR-73,1304
MD-1143,便携水杯-43,CAT-6,SR-27,"$1,908.00"
SKU1144,豪华水杯-44,CAT-22,SR-30,"1,824.00"
SKU1145,经典背包-45,CAT-11,SR-36,"$3,684.00"
SKU1146,豪华水杯-46,CAT-28,SR-62,"$4,203.00"
R-1147,经典手表-47,CAT-14,SR-19,$360.00
REF-1148,便携手表-48,CAT-17,SR-7,"1,786.00"
MD-1149,豪华键盘-49,CAT-12,SR-72,2210
REF-1150,智能背包-0,CAT-22,SR-39,1876
SKU1151,便携手机壳-1,CAT-16,SR-41,1293
REF-1152,标准耳机-2,CAT-26,SR-30,3381
SKU1153,便携音箱-3,CAT-5,SR-26,"$3,418.00"
REF-1154,智能音箱-4,CAT-27,SR-44,"$1,968.00"
REF-1155,经典手表-5,CAT-9,SR-40,1703
SKU1156,豪华耳机-6,CAT-8,SR-49,"1,097.00"
R-1157,智能台灯-7,CAT-24,SR-28,"$3,431.00"
MD-1158,经典背包-8,CAT-21,SR-8,"$1,801.00"
MD-1159,经典手机壳-9,CAT-18,SR-13,3869
MD-1160,便携水杯-10,CAT-15,SR-32,4947
MD-1161,智能手机壳-11,CAT-17,SR-6,2284
REF-1162,标准背包-12,CAT-1,SR-8,"$3,984.00"
MD-1163,豪华背包-13,CAT-20,SR-67,"$2,187.00"
MD-1164,豪华背包-14,CAT-1,SR-2,4851
SKU1165,便携手表-15,CAT-3,SR-20,105
REF-1166,mini台灯-16,CAT-23,SR-58,3981
SKU1167,智能水杯-17,CAT-12,SR-66,"4,575.00"
R-1168,标准手机壳-18,CAT-22,SR-78,4406
R-1169,标准手机壳-19,CAT-19,SR-72,870
SKU1170,标准手表-20,CAT-11,SR-70,3365
R-1171,标准音箱-21,CAT-6,SR-32,"$4,121.00"
MD-1172,标准音箱-22,CAT-19,SR-25,1822
R-1173,便携音箱-23,CAT-25,SR-19,$185.00
MD-1174,标准手表-24,CAT-10,SR-41,2206
R-1175,mini手表-25,CAT-6,SR-14,"2,677.00"
SKU1176,智能手机壳-26,CAT-3,SR-4,"$3,003.00"
MD-1177,标准耳机-27,CAT-3,SR-64,2870
REF-1178,标准台灯-28,CAT-4,SR-2,"$1,689.00"
REF-1179,标准耳机-29,CAT-24,SR-11,385.00
SKU1180,mini键盘-30,CAT-5,SR-24,261
R-1181,mini背包-31,CAT-6,SR-19,"4,547.00"
MD-1182,豪华台灯-32,CAT-20,SR-58,"3,962.00"
R-1183,豪华耳机-33,CAT-26,SR-17,712.00
R-1184,智能音箱-34,CAT-3,SR-39,"$1,141.00"
REF-1185,便携手表-35,CAT-20,SR-12,2715
REF-1186,mini手表-36,CAT-16,SR-17,"1,931.00"
SKU1187,豪华水杯-37,CAT-25,SR-31,"1,751.00"
REF-1188,便携台灯-38,CAT-24,SR-34,3113
MD-1189,mini背包-39,CAT-13,SR-45,"$2,563.00"
SKU1190,经典水杯-40,CAT-18,SR-51,1108
REF-1191,经典耳机-41,CAT-26,SR-26,795
MD-1192,标准耳机-42,CAT-22,SR-48,"$3,892.00"
R-1193,经典背包-43,CAT-24,SR-25,3446
R-1194,豪华音箱-44,CAT-3,SR-67,"3,807.00"
R-1195,豪华水杯-45,CAT-22,SR-52,"$4,648.00"
REF-1196,标准台灯-46,CAT-7,SR-77,"3,897.00"
MD-1197,豪华台灯-47,CAT-29,SR-27,"$3,149.00"
R-1198,mini手机壳-48,CAT-28,SR-1,1475
R-1199,经典手表-49,CAT-23,SR-73,"3,371.00"
SKU1200,智能音箱-0,CAT-4,SR-70,593
SKU1201,智能键盘-1,CAT-8,SR-72,2696
MD-1202,mini台灯-2,CAT-10,SR-50,3159
SKU1203,便携音箱-3,CAT-29,SR-3,"$3,378.00"
SKU1204,mini台灯-4,CAT-23,SR-40,$681.00
MD-1205,经典音箱-5,CAT-29,SR-26,"4,679.00"
MD-1206,标准音箱-6,CAT-11,SR-62,"$4,129.00"
MD-1207,智能耳机-7,CAT-20,SR-31,"$2,398.00"
SKU1208,mini耳机-8,CAT-12,SR-73,490
SKU1209,mini水杯-9,CAT-23,SR-9,"1,938.00"
MD-1210,标准水杯-10,CAT-1,SR-60,497
