purchase_item_id,purchase_id,product_id,quantity,unit_cost
PI-1,PC-540,MD-1392,1233,826
PI-2,PC-697,REF-1057,215,1479
PI-3,PC-1347,SKU1114,211,1159
PI-4,PC-632,REF-1530,552,"2 566,00"
PI-5,PC-1313,R-1014,1834,2 919
PI-6,PC-106,MD-1065,586,1290
PI-7,PC-1498,MD-1482,1475,2 876
PI-8,PC-1443,REF-1216,503,371
PI-9,PC-1099,REF-1279,43,701
PI-10,PC-52,R-1328,1800,2279
PI-11,PC-957,SKU1222,346,2594
PI-12,PC-315,R-1239,1978,600
PI-13,PC-1208,SKU1376,1147,86
PI-14,PC-1084,REF-1432,1286,2 157
PI-15,PC-416,MD-1581,1554,"$2,640.00"
PI-16,PC-998,MD-1065,1690,1 205
PI-17,PC-1217,SKU1059,659,2737
PI-18,PC-173,MD-1210,1121,2618
PI-19,PC-552,SKU1247,1971,"$1,370.00"
PI-20,PC-1152,SKU1044,298,"$1,323.00"
PI-21,PC-1093,R-1500,1746,"$1,121.00"
PI-22,PC-975,MD-1258,1382,494
PI-23,PC-773,R-1563,194,"$1,930.00"
PI-24,PC-138,R-1771,1747,940
PI-25,PC-913,MD-1504,832,294
PI-26,PC-515,MD-1449,1796,"$2,179.00"
PI-27,PC-593,SKU1480,1498,253
PI-28,PC-171,R-1027,767,$16.00
PI-29,PC-391,REF-1344,1327,$395.00
PI-30,PC-952,SKU1381,1588,"421,00"
PI-31,PC-815,SKU1462,1025,1 898
PI-32,PC-161,R-1499,214,347
PI-33,PC-469,SKU1572,522,$842.00
PI-34,PC-399,MD-1249,1066,1871
PI-35,PC-713,SKU1574,28,$88.00
PI-36,PC-484,SKU1260,667,2834
PI-37,PC-463,SKU1031,1439,1927
PI-38,PC-612,MD-1202,437,35
PI-39,PC-1017,REF-1622,1277,$949.00
PI-40,PC-918,SKU1084,355,1087
PI-41,PC-620,R-1035,1681,"$2,016.00"
PI-42,PC-796,R-1130,1052,887
PI-43,PC-187,MD-1627,361,904
PI-44,PC-138,REF-1008,1618,"$1,451.00"
PI-45,PC-1088,R-1437,1057,"$1,753.00"
PI-46,PC-1273,R-1336,961,$904.00
PI-47,PC-747,REF-1591,1234,724
PI-48,PC-729,R-1420,451,2086
PI-49,PC-920,R-1383,463,551
PI-50,PC-1177,SKU1395,197,1824
PI-51,PC-1317,MD-1169,761,1902
PI-52,PC-853,MD-1168,1093,$641.00
PI-53,PC-1014,SKU1085,331,1774
PI-54,PC-1499,REF-1373,800,"$1,806.00"
PI-55,PC-1307,MD-1196,1043,"$1,097.00"
PI-56,PC-466,R-1301,55,1612
PI-57,PC-1300,R-1602,1315,"$2,707.00"
PI-58,PC-963,SKU1768,1440,"1 325,00"
PI-59,PC-439,REF-1706,907,$774.00
PI-60,PC-1489,MD-1433,222,$357.00
PI-61,PC-697,SKU1607,118,2311
PI-62,PC-785,MD-1122,383,2365
PI-63,PC-516,SKU1222,885,"$1,834.00"
PI-64,PC-858,R-1119,1990,2384
PI-65,PC-1207,MD-1107,993,"358,00"
PI-66,PC-158,R-1110,305,$625.00
PI-67,PC-595,R-1015,1004,498
PI-68,PC-748,SKU1308,312,137
PI-69,PC-275,SKU1486,1862,"$2,721.00"
PI-70,PC-867,SKU1764,1193,42
PI-71,PC-1399,REF-1743,1838,759
PI-72,PC-432,MD-1250,1300,"$1,755.00"
PI-73,PC-1198,SKU1118,860,"463,00"
PI-74,PC-73,MD-1479,1070,"2 903,00"
PI-75,PC-1018,SKU1327,1751,954
PI-76,PC-1085,REF-1071,649,289
PI-77,PC-550,SKU1469,1110,1737
PI-78,PC-1173,R-1512,696,1344
PI-79,PC-765,MD-1142,1930,462
PI-80,PC-777,MD-1220,708,2484
PI-81,PC-945,SKU1326,1823,1 597
PI-82,PC-1421,REF-1273,1555,2997
PI-83,PC-668,REF-1138,144,1962
PI-84,PC-346,R-1446,1280,1465
PI-85,PC-581,SKU1773,87,937
PI-86,PC-304,MD-1615,19,$302.00
PI-87,PC-886,REF-1273,1859,697
PI-88,PC-789,SKU1642,307,"1 392,00"
PI-89,PC-1406,R-1188,526,1917
PI-90,PC-584,SKU1321,26,1695
PI-91,PC-778,REF-1624,359,$687.00
PI-92,PC-911,MD-1528,426,"$1,776.00"
PI-93,PC-35,MD-1664,613,"2 891,00"
PI-94,PC-1200,REF-1257,376,"1 487,00"
PI-95,PC-1180,REF-1400,199,2474
PI-96,PC-1264,MD-1006,749,"$1,647.00"
PI-97,PC-849,R-1179,667,32
PI-98,PC-464,MD-1282,456,"$1,517.00"
PI-99,PC-1326,SKU1178,130,2825
PI-100,PC-328,SKU1424,1550,735
PI-101,PC-709,MD-1052,1566,"1 511,00"
PI-102,PC-1394,SKU1248,45,1517
PI-103,PC-254,SKU1620,1345,2495
PI-104,PC-287,R-1340,283,$645.00
PI-105,PC-1282,MD-1683,1779,"$2,282.00"
PI-106,PC-1451,R-1290,1689,1024
PI-107,PC-982,REF-1137,1497,"$1,204.00"
PI-108,PC-251,SKU1029,1171,"$1,784.00"
PI-109,PC-632,MD-1434,95,"841,00"
PI-110,PC-135,SKU1183,1198,"$2,710.00"
PI-111,PC-370,REF-1540,1036,2797
PI-112,PC-1248,MD-1526,426,2783
PI-113,PC-888,REF-1515,1060,482
PI-114,PC-442,REF-1514,1914,"$2,890.00"
PI-115,PC-885,REF-1079,244,2723
