purchase_id,supplier_id,order_date,arrival_date,lead_time_days,status
PC-1,SR-50,08/09/2025,2026-12-13,7,received
PC-2,SR-74,05-01-2026,22-11-2025,9,received
PC-3,SR-35,2025-09-19,2024-06-08,16,overdue
PC-4,SR-41,08/13/2026,03/19/2025,14,pending
PC-5,SR-7,09/25/2026,05-11-2024,9,RECEIVED
PC-6,SR-60,2026-12-26,03/26/2024,2,RECEIVED
PC-7,SR-22,2025-07-19,2025-05-22,2,pending
PC-8,SR-71,20-06-2026,2024-09-07,20,RECEIVED
PC-9,SR-66,2024-10-15,08-09-2024,4,pending
PC-10,SR-66,2026-02-22,12-05-2025,20,overdue
PC-11,SR-56,2026-01-26,2024-02-06,18,received
PC-12,SR-19,2024-02-18,11/14/2024,3,RECEIVED
PC-13,SR-35,05/28/2025,22-02-2025,11,received
PC-14,SR-28,09/22/2024,06/27/2024,83,overdue
PC-15,SR-56,22-09-2025,04/05/2025,12,overdue
PC-16,SR-51,16-02-2025,06/06/2024,9,overdue
PC-17,SR-73,07/02/2025,2024-01-27,19,pending
PC-18,SR-60,2026-03-20,2026-03-22,14,pending
PC-19,SR-37,03/18/2026,02/12/2025,14,pending
PC-20,SR-29,2024-03-02,2026-11-19,2,overdue
PC-21,SR-80,2024-06-14,01/16/2026,10,pending
PC-22,SR-72,10/05/2025,2024-10-15,6,pending
PC-23,SR-22,03/25/2024,2025-12-04,44,received
PC-24,SR-51,2024-01-03,2025-05-07,45,RECEIVED
PC-25,SR-38,16-04-2026,2025-02-15,8,overdue
PC-26,SR-25,02/22/2025,03/17/2025,3,received
PC-27,SR-58,2025-07-05,2025-07-26,4,overdue
PC-28,SR-47,09-01-2025,2024-05-09,7,received
PC-29,SR-31,13-03-2025,2024-11-18,11,pending
PC-30,SR-77,04/26/2024,2024-08-23,17,overdue
PC-31,SR-54,2025-01-18,2024-11-02,38,pending
PC-32,SR-13,01/19/2025,2026-05-11,15,received
PC-33,SR-55,2026-02-28,04/19/2026,11,RECEIVED
PC-34,SR-73,13-06-2024,2024-10-07,20,overdue
PC-35,SR-80,10-10-2025,27-08-2026,13,RECEIVED
PC-36,SR-53,2024-09-12,10/19/2024,12,received
PC-37,SR-27,01/16/2025,14-03-2024,8,overdue
PC-38,SR-49,05-09-2025,07-08-2025,3,RECEIVED
PC-39,SR-37,2026-08-02,2024-04-14,11,overdue
PC-40,SR-40,2026-02-17,10/16/2024,16,pending
PC-41,SR-31,2026-08-18,10/02/2024,19,overdue
PC-42,SR-17,05/11/2025,08/25/2026,3,overdue
