return_id,order_id,product_id,return_date,reason,refund_amount
RT-1,ORD-2527,REF-1116,26-06-2025,破损,"4,034.00"
RT-2,ORD-12079,R-1134,12/12/2025,质量问题,"$4,214.00"
RT-3,ORD-8004,R-1016,17-04-2025,发错货,2951
RT-4,ORD-2686,R-1518,2025-07-25,尺寸不符,4129
RT-5,ORD-12326,R-1134,09/17/2025,发错货,"$1,673.00"
RT-6,ORD-3857,REF-1287,24-06-2026,发错货,"1,338.00"
RT-7,ORD-12857,MD-1136,2025-03-13,破损,"$2,713.00"
RT-8,ORD-9068,MD-1601,2025-09-13,质量问题,4589
RT-9,ORD-10527,R-1383,2025-10-26,质量问题,"$3,926.00"
RT-10,ORD-9117,REF-1086,01-08-2026,破损,1352
RT-11,ORD-7171,R-1675,06/07/2026,破损,$32.00
RT-12,ORD-8134,MD-1732,18-06-2024,尺寸不符,3761
RT-13,ORD-7399,SKU1422,2026-10-28,质量问题,1932
RT-14,ORD-10532,REF-1464,2025-12-23,不喜欢,3881
RT-15,ORD-601,REF-1275,11/11/2026,破损,3133
RT-16,ORD-8781,REF-1077,08/22/2024,尺寸不符,"$2,406.00"
RT-17,ORD-615,REF-1329,27-02-2025,发错货,"3,757.00"
RT-18,ORD-2290,R-1449,2024-11-24,破损,"$3,684.00"
RT-19,ORD-89,SKU1772,01/05/2025,破损,3758
RT-20,ORD-13693,REF-1668,19-10-2024,发错货,"$3,528.00"
RT-21,ORD-1992,R-1250,2026-03-09,质量问题,"$1,705.00"
RT-22,ORD-11893,R-1090,01/27/2024,破损,"$1,575.00"
RT-23,ORD-5985,REF-1024,2025-06-08,不喜欢,4526
RT-24,ORD-6618,SKU1045,09/04/2025,破损,320
RT-25,ORD-12189,REF-1162,2025-08-13,质量问题,2375
RT-26,ORD-9639,R-1698,07-03-2026,发错货,2547
RT-27,ORD-3746,SKU1180,09-07-2024,破损,"$4,718.00"
RT-28,ORD-5965,MD-1229,2025-03-16,破损,"$2,205.00"
RT-29,ORD-6747,REF-1687,08-05-2025,发错货,$774.00
RT-30,ORD-9088,R-1129,01-07-2026,尺寸不符,"$1,022.00"
RT-31,ORD-2989,R-1401,2024-08-12,发错货,1893
RT-32,ORD-11745,R-1513,2025-05-13,破损,"$4,247.00"
RT-33,ORD-6369,SKU1568,03/06/2026,尺寸不符,568
RT-34,ORD-2439,R-1788,2025-01-08,尺寸不符,"$2,367.00"
RT-35,ORD-5876,MD-1633,2026-02-15,质量问题,1183
RT-36,ORD-10404,REF-1632,2025-04-24,质量问题,2097
RT-37,ORD-9061,MD-1164,2025-04-07,质量问题,"2,542.00"
RT-38,ORD-176,SKU1057,2025-09-20,破损,$548.00
RT-39,ORD-5153,REF-1166,23-03-2025,发错货,2479
RT-40,ORD-14895,MD-1543,2026-03-24,尺寸不符,$797.00
RT-41,ORD-14639,REF-1514,2024-08-16,破损,"$3,785.00"
RT-42,ORD-10275,MD-1103,2025-12-13,质量问题,"4,996.00"
RT-43,ORD-10115,MD-1699,11/28/2025,发错货,389
RT-44,ORD-500,REF-1371,2025-01-18,尺寸不符,2590
RT-45,ORD-14693,REF-1429,2024-03-10,发错货,2205
RT-46,ORD-1250,R-1634,08/05/2024,不喜欢,134
RT-47,ORD-2382,SKU1579,2026-10-20,不喜欢,"$2,908.00"
RT-48,ORD-13115,R-1282,06/06/2025,发错货,"2,348.00"
RT-49,ORD-7011,REF-1066,08-07-2024,发错货,"1,604.00"
RT-50,ORD-1700,R-1519,2024-02-26,尺寸不符,"4,981.00"
RT-51,ORD-2002,REF-1429,2026-02-14,质量问题,"$3,438.00"
RT-52,ORD-10721,MD-1666,04/28/2024,发错货,"2,630.00"
RT-53,ORD-9245,REF-1054,2024-10-04,发错货,1484
RT-54,ORD-1388,MD-1706,2025-06-09,不喜欢,2778
RT-55,ORD-5807,MD-1143,2025-03-01,破损,"3,300.00"
RT-56,ORD-2928,R-1528,25-08-2025,发错货,1515
RT-57,ORD-3855,R-1721,2024-06-27,尺寸不符,"$4,363.00"
RT-58,ORD-5370,R-1122,2024-06-13,质量问题,"2,005.00"
RT-59,ORD-10788,R-1528,08/02/2024,尺寸不符,1215
RT-60,ORD-2389,SKU1488,2024-07-18,发错货,1095
RT-61,ORD-6558,SKU1167,14-09-2024,发错货,620
RT-62,ORD-10015,SKU1682,09/13/2026,不喜欢,"3,186.00"
RT-63,ORD-2535,MD-1272,2024-02-16,发错货,2240
RT-64,ORD-6782,MD-1564,18-08-2024,发错货,"4,453.00"
RT-65,ORD-2839,REF-1602,2026-09-04,破损,4961
RT-66,ORD-14707,REF-1677,10/03/2025,破损,2866
RT-67,ORD-10235,R-1478,04/22/2026,破损,4653
RT-68,ORD-13221,SKU1773,17-12-2024,不喜欢,2335
RT-69,ORD-9380,REF-1694,25-12-2024,破损,"$4,539.00"
RT-70,ORD-5324,SKU1292,2025-04-04,破损,"$2,579.00"
RT-71,ORD-1471,R-1337,2024-12-09,不喜欢,"1,938.00"
RT-72,ORD-12792,MD-1700,2025-10-03,尺寸不符,4861
RT-73,ORD-3857,SKU1466,01/10/2026,尺寸不符,1920
RT-74,ORD-2396,REF-1389,02/17/2024,质量问题,3909
RT-75,ORD-747,REF-1236,2025-07-21,尺寸不符,4809
RT-76,ORD-2297,REF-1058,06-03-2024,发错货,1369
RT-77,ORD-872,REF-1076,02/23/2025,发错货,"$3,377.00"
RT-78,ORD-5601,MD-1779,05/16/2024,不喜欢,"$2,200.00"
RT-79,ORD-11303,REF-1613,25-01-2026,破损,"1,451.00"
RT-80,ORD-13837,R-1302,2025-12-25,破损,"$4,692.00"
RT-81,ORD-733,REF-1326,06/27/2024,破损,"$1,837.00"
RT-82,ORD-6967,MD-1278,09-02-2026,质量问题,"$2,803.00"
RT-83,ORD-6070,REF-1378,04-11-2024,不喜欢,"$2,867.00"
RT-84,ORD-2141,MD-1164,12/14/2025,破损,1034
RT-85,ORD-11621,R-1412,2026-12-28,质量问题,2228
RT-86,ORD-490,R-1168,05/05/2025,发错货,446
RT-87,ORD-14790,MD-1455,2024-08-25,不喜欢,2788
RT-88,ORD-9938,SKU1306,09/17/2026,发错货,"1,728.00"
RT-89,ORD-8511,MD-1049,11-09-2025,发错货,"$1,231.00"
RT-90,ORD-11832,REF-1139,2024-05-22,质量问题,4186
RT-91,ORD-5940,REF-1125,06/17/2024,不喜欢,2943
RT-92,ORD-4363,MD-1442,14-02-2025,质量问题,2449
RT-93,ORD-8639,REF-1618,08-02-2024,不喜欢,$394.00
RT-94,ORD-3366,R-1482,25-04-2025,不喜欢,761.00
RT-95,ORD-3038,SKU1262,01/18/2024,不喜欢,"$1,088.00"
RT-96,ORD-13333,MD-1651,27-01-2026,质量问题,667.00
RT-97,ORD-13636,SKU1214,06/05/2024,破损,3491
RT-98,ORD-12794,SKU1292,2026-10-10,破损,1819
RT-99,ORD-8764,R-1456,2025-07-06,尺寸不符,330
RT-100,ORD-1619,SKU1153,08/13/2026,不喜欢,"4,225.00"
RT-101,ORD-6572,REF-1421,05/17/2025,发错货,685.00
RT-102,ORD-5270,R-1129,02/24/2025,质量问题,30.00
RT-103,ORD-10936,SKU1586,07/06/2025,质量问题,4718
RT-104,ORD-4941,MD-1633,2024-06-13,破损,1340
RT-105,ORD-13013,MD-1160,19-09-2026,质量问题,664
RT-106,ORD-14764,REF-1398,08-04-2024,质量问题,2167
RT-107,ORD-1390,R-1079,10/25/2026,不喜欢,1260
RT-108,ORD-11361,SKU1233,2025-04-01,不喜欢,3130
RT-109,ORD-3488,R-1500,2025-09-15,质量问题,2751
RT-110,ORD-11761,REF-1551,2026-07-07,破损,"3,000.00"
RT-111,ORD-2303,R-1659,2024-08-17,发错货,2741
RT-112,ORD-3599,R-1333,2026-07-11,质量问题,"$2,600.00"
RT-113,ORD-6418,R-1527,2024-01-11,破损,531
RT-114,ORD-1976,MD-1495,2024-08-27,尺寸不符,"$4,966.00"
RT-115,ORD-12098,R-1516,2024-12-27,质量问题,1698
RT-116,ORD-11112,REF-1191,2025-02-26,尺寸不符,602.00
RT-117,ORD-1495,REF-1616,09/09/2024,尺寸不符,528.00
RT-118,ORD-7836,SKU1763,06/10/2026,尺寸不符,3719
RT-119,ORD-1500,MD-1411,01-04-2026,不喜欢,"2,659.00"
RT-120,ORD-13784,R-1506,2024-08-18,尺寸不符,"3,055.00"
RT-121,ORD-5813,REF-1464,2024-08-05,尺寸不符,4940
RT-122,ORD-11706,MD-1771,2026-07-01,发错货,"$3,908.00"
RT-123,ORD-10848,REF-1398,2025-07-03,发错货,2198
RT-124,ORD-10357,MD-1011,2025-12-12,破损,1582
RT-125,ORD-5401,R-1284,2025-08-28,尺寸不符,1367
RT-126,ORD-13223,SKU1201,2026-08-21,尺寸不符,2962
RT-127,ORD-10387,R-1676,05/12/2026,不喜欢,"$1,194.00"
RT-128,ORD-7333,R-1173,2024-03-01,质量问题,2849
RT-129,ORD-7250,REF-1746,06/25/2024,发错货,"$2,340.00"
RT-130,ORD-3101,R-1264,07/04/2024,尺寸不符,1901
RT-131,ORD-3332,REF-1509,2024-07-12,质量问题,1964
RT-132,ORD-9465,MD-1700,06/23/2024,尺寸不符,"$4,379.00"
RT-133,ORD-44,MD-1511,2025-07-06,破损,1992
RT-134,ORD-1303,SKU1443,2026-04-11,不喜欢,"1,962.00"
RT-135,ORD-1670,REF-1715,2025-05-26,尺寸不符,759
RT-136,ORD-3099,R-1416,10/28/2024,破损,2114
RT-137,ORD-7381,MD-1666,12/06/2026,不喜欢,"4,816.00"
RT-138,ORD-9711,SKU1775,2024-04-16,质量问题,"4,094.00"
RT-139,ORD-8904,REF-1141,2025-09-09,发错货,1619
RT-140,ORD-5783,MD-1699,17-06-2026,破损,"4,367.00"
RT-141,ORD-8393,SKU1536,2026-11-13,质量问题,"1,972.00"
RT-142,ORD-14310,REF-1287,11-03-2025,不喜欢,$794.00
RT-143,ORD-3533,REF-1318,2025-06-08,质量问题,"2,554.00"
RT-144,ORD-426,R-1527,2025-09-06,尺寸不符,$343.00
RT-145,ORD-13059,R-1676,04-07-2026,不喜欢,"$4,884.00"
RT-146,ORD-12133,SKU1773,2026-08-03,尺寸不符,3216
RT-147,ORD-11405,SKU1481,2026-02-28,尺寸不符,2290
RT-148,ORD-10007,R-1788,2024-10-17,尺寸不符,"$1,631.00"
RT-149,ORD-6136,MD-1533,07-06-2025,质量问题,1492
RT-150,ORD-10142,REF-1783,05/07/2025,尺寸不符,"$4,189.00"
RT-151,ORD-3848,SKU1263,05-09-2025,不喜欢,"$1,964.00"
RT-152,ORD-11734,R-1383,08/23/2025,发错货,"$3,239.00"
RT-153,ORD-10053,MD-1379,2025-03-02,尺寸不符,"$2,808.00"
RT-154,ORD-1791,REF-1106,05/20/2024,质量问题,4032
RT-155,ORD-10217,SKU1607,2025-01-07,发错货,4096
RT-156,ORD-3698,R-1409,08/27/2024,不喜欢,"4,588.00"
RT-157,ORD-13364,MD-1511,05/04/2024,不喜欢,"$4,205.00"
RT-158,ORD-6193,SKU1589,08/05/2025,尺寸不符,1130
RT-159,ORD-8175,R-1767,2026-10-03,质量问题,823
RT-160,ORD-12418,R-1791,2024-06-21,发错货,$703.00
RT-161,ORD-8613,MD-1473,28-07-2024,破损,2162
RT-162,ORD-2078,REF-1281,2025-06-24,尺寸不符,"1,537.00"
RT-163,ORD-10035,R-1402,09-08-2024,发错货,946
RT-164,ORD-360,R-1311,05-07-2024,破损,"$1,471.00"
RT-165,ORD-10794,R-1388,2024-03-16,破损,"2,650.00"
RT-166,ORD-1920,SKU1151,05-07-2026,发错货,4345
RT-167,ORD-9906,REF-1376,2024-11-16,质量问题,1133
RT-168,ORD-14867,R-1667,2026-01-12,不喜欢,"$3,601.00"
RT-169,ORD-3773,REF-1368,2024-11-10,尺寸不符,3382
RT-170,ORD-6753,SKU1369,2024-05-11,发错货,"$3,137.00"
RT-171,ORD-11476,R-1471,2025-04-12,发错货,"4,517.00"
RT-172,ORD-10213,MD-1075,06-09-2024,不喜欢,"$3,083.00"
RT-173,ORD-5237,R-1082,2024-01-22,不喜欢,"$1,004.00"
RT-174,ORD-5148,MD-1617,03-08-2025,发错货,1836
RT-175,ORD-6460,REF-1191,2025-07-23,破损,"3,427.00"
RT-176,ORD-3730,R-1388,2024-10-26,破损,"$3,307.00"
RT-177,ORD-1819,SKU1167,2024-07-13,尺寸不符,3088
RT-178,ORD-5769,REF-1570,11-06-2024,不喜欢,1855
RT-179,ORD-12958,REF-1063,2026-03-27,质量问题,385
RT-180,ORD-12319,SKU1209,14-10-2025,不喜欢,3676
RT-181,ORD-14825,R-1387,2026-10-04,不喜欢,"1,433.00"
RT-182,ORD-2212,MD-1591,2026-05-20,破损,2947
RT-183,ORD-13608,MD-1038,10/11/2024,不喜欢,"4,285.00"
RT-184,ORD-4528,SKU1033,07-07-2026,质量问题,"$2,730.00"
