review_id,product_id,customer_id,rating,comment,review_date
RV-1,SKU1115,CUST-3226,★4,物流慢,2024-12-03
RV-2,MD-1689,CUST-848,5,,2024-03-03
RV-3,R-1448,CUST-4165,★4,,09/02/2025
RV-4,R-1606,CUST-584,4,,09/06/2024
RV-5,SKU1060,CUST-1017,3,,02/28/2026
RV-6,MD-1410,CUST-3579,1,物流慢,02/17/2025
RV-7,SKU1763,CUST-4683,★5,性价比高,2025-03-13
RV-8,REF-1790,CUST-1191,★4,,07/06/2025
RV-9,SKU1160,CUST-3489,2,物流慢,2024-06-17
RV-10,REF-1478,CUST-2254,5,物流慢,06/20/2024
RV-11,MD-1023,CUST-4832,★4,,22-05-2026
RV-12,MD-1227,CUST-43,★5,,02-03-2026
RV-13,MD-1558,CUST-1670,★5,,2024-07-09
RV-14,MD-1681,CUST-2246,★5,差评,07/24/2025
RV-15,SKU1036,CUST-3171,1,物流慢,07/01/2025
RV-16,R-1698,CUST-644,2,,09/10/2026
RV-17,SKU1575,CUST-3572,★4,,2025-10-01
RV-18,REF-1714,CUST-2765,1,,20-08-2025
RV-19,REF-1137,CUST-2180,5,,09/17/2026
RV-20,REF-1665,CUST-4913,5,,2025-11-23
RV-21,REF-1414,CUST-4556,★4,,04/14/2025
RV-22,R-1690,CUST-3475,★5,很好,10-04-2026
RV-23,REF-1068,CUST-355,★4,,2024-03-01
RV-24,MD-1107,CUST-693,5,很好,08/17/2025
RV-25,MD-1583,CUST-3595,★5,性价比高,2024-09-23
RV-26,MD-1613,CUST-4822,★4,物流慢,2024-07-10
RV-27,R-1082,CUST-3903,1,物流慢,08-08-2025
RV-28,MD-1052,CUST-1621,5,一般,2025-04-25
RV-29,R-1129,CUST-2186,5,,2024-07-02
RV-30,MD-1390,CUST-895,5,差评,2025-03-05
RV-31,MD-1089,CUST-3968,4,,2025-06-16
RV-32,MD-1165,CUST-4375,3,,03/07/2026
RV-33,R-1690,CUST-4862,2,,16-01-2025
RV-34,SKU1601,CUST-1019,2,物流慢,2024-12-20
RV-35,REF-1081,CUST-986,4,物流慢,09/07/2024
RV-36,MD-1064,CUST-4852,4,,2025-04-15
RV-37,SKU1712,CUST-4803,5,,2024-08-25
RV-38,REF-1611,CUST-1450,★4,差评,2024-04-02
RV-39,R-1383,CUST-4300,★4,一般,2024-01-23
RV-40,SKU1100,CUST-1012,2,一般,13-04-2026
