ticket_id,customer_id,subject,status,created_at,closed_at
TK-1,CUST-1782,投诉,closed,15-05-2025,04/21/2025
TK-2,CUST-4909,退换货,resolved,08/11/2026,2026-04-05
TK-3,CUST-3807,退换货,resolved,2026-12-21,2026-02-17
TK-4,CUST-2835,退换货,resolved,11-10-2026,09/11/2025
TK-5,CUST-4318,投诉,closed,02/08/2026,06/01/2025
TK-6,CUST-4361,退换货,open,11/01/2025,2026-11-08
TK-7,CUST-683,退换货,resolved,27-08-2026,11/01/2025
TK-8,CUST-3986,发票问题,OPEN,2026-07-02,09/14/2025
TK-9,CUST-2441,物流查询,resolved,2025-08-28,01/06/2025
TK-10,CUST-601,物流查询,OPEN,03/12/2026,2026-09-05
TK-11,CUST-558,售后维修,pending,2025-09-01,2025-02-15
TK-12,CUST-119,物流查询,closed,20-10-2025,03/14/2026
TK-13,CUST-2374,发票问题,OPEN,2025-10-26,2025-07-12
TK-14,CUST-2862,物流查询,open,2025-05-27,2025-06-08
TK-15,CUST-4664,发票问题,resolved,2026-08-11,07/15/2026
TK-16,CUST-1544,退换货,open,26-09-2026,01-07-2025
TK-17,CUST-4539,退换货,pending,2025-01-11,01-04-2025
TK-18,CUST-4804,发票问题,OPEN,2025-09-15,05/27/2026
TK-19,CUST-2691,退换货,resolved,02/11/2025,03/24/2026
TK-20,CUST-757,投诉,open,2026-10-06,2025-04-15
TK-21,CUST-428,物流查询,open,14-01-2025,
TK-22,CUST-918,发票问题,resolved,2026-03-01,
TK-23,CUST-2231,售后维修,resolved,2025-02-21,2025-10-15
TK-24,CUST-175,物流查询,pending,03/02/2025,
TK-25,CUST-3849,退换货,resolved,05/22/2026,2026-07-21
TK-26,CUST-433,售后维修,closed,2025-08-05,04/12/2026
TK-27,CUST-4575,投诉,open,2026-03-03,22-12-2026
TK-28,CUST-4988,物流查询,pending,2026-10-13,
TK-29,CUST-2361,退换货,pending,2025-03-04,01/11/2025
TK-30,CUST-852,发票问题,pending,05/01/2026,
TK-31,CUST-830,售后维修,OPEN,2025-10-23,2025-09-01
TK-32,CUST-1166,发票问题,resolved,03/16/2026,
TK-33,CUST-213,售后维修,closed,04-02-2025,02/18/2026
TK-34,CUST-1709,物流查询,open,16-01-2026,2025-07-14
TK-35,CUST-2051,物流查询,open,2026-05-05,2025-05-26
TK-36,CUST-2511,发票问题,open,23-09-2025,2025-06-14
TK-37,CUST-3189,发票问题,resolved,2026-11-05,2026-06-10
TK-38,CUST-1250,退换货,pending,16-06-2026,03/22/2026
TK-39,CUST-3713,投诉,closed,01/16/2026,2025-06-04
TK-40,CUST-759,物流查询,pending,03-08-2025,
TK-41,CUST-283,退换货,resolved,2026-03-24,07/14/2026
TK-42,CUST-2698,投诉,open,2026-05-23,2025-06-05
TK-43,CUST-3084,物流查询,resolved,06/08/2025,01/21/2025
TK-44,CUST-4780,发票问题,open,08-02-2025,
TK-45,CUST-3806,发票问题,resolved,2025-03-19,14-07-2026
TK-46,CUST-2717,退换货,resolved,03-01-2025,22-08-2025
TK-47,CUST-1639,发票问题,pending,2025-07-24,08/02/2025
TK-48,CUST-563,售后维修,closed,11/26/2026,12-02-2025
TK-49,CUST-3458,物流查询,open,2026-03-23,2025-12-21
TK-50,CUST-3696,退换货,closed,09/15/2025,2025-02-28
TK-51,CUST-574,售后维修,resolved,25-04-2025,2025-09-10
TK-52,CUST-4693,投诉,open,2025-11-08,2025-01-15
TK-53,CUST-779,发票问题,closed,11-11-2026,2026-03-10
TK-54,CUST-1573,售后维修,open,11/06/2025,2025-09-15
TK-55,CUST-852,发票问题,resolved,2026-12-28,
TK-56,CUST-4571,物流查询,pending,2025-02-15,
TK-57,CUST-266,投诉,pending,08-11-2026,08-09-2025
TK-58,CUST-1374,退换货,open,2026-04-28,05/23/2026
TK-59,CUST-4499,退换货,OPEN,2026-03-05,07/23/2025
TK-60,CUST-2769,退换货,closed,2026-09-26,2026-05-22
TK-61,CUST-3299,售后维修,OPEN,05/02/2025,2025-01-10
TK-62,CUST-1808,发票问题,open,2025-11-18,
TK-63,CUST-406,投诉,resolved,2025-08-11,12/09/2025
TK-64,CUST-3955,退换货,pending,2026-05-28,2026-02-12
TK-65,CUST-2217,物流查询,resolved,2026-10-16,09-11-2025
TK-66,CUST-711,发票问题,closed,2025-08-01,2025-10-04
TK-67,CUST-3979,投诉,closed,2026-07-13,2025-12-13
TK-68,CUST-4294,投诉,OPEN,05/21/2025,
TK-69,CUST-4765,投诉,OPEN,2026-11-13,
TK-70,CUST-243,物流查询,resolved,26-02-2026,06-05-2026
TK-71,CUST-3264,投诉,open,2025-02-01,08-11-2026
TK-72,CUST-477,售后维修,pending,2025-07-15,2025-01-23
TK-73,CUST-1599,发票问题,pending,2025-11-13,2025-11-25
TK-74,CUST-2253,投诉,open,2025-09-04,2026-08-17
TK-75,CUST-1073,发票问题,pending,01/07/2026,2026-10-26
TK-76,CUST-2669,退换货,closed,22-04-2026,04/21/2026
TK-77,CUST-57,售后维修,pending,2026-01-20,
TK-78,CUST-1502,售后维修,resolved,26-08-2025,2026-07-03
TK-79,CUST-2575,物流查询,resolved,08/03/2026,02/15/2026
TK-80,CUST-3579,发票问题,pending,01/19/2025,01-08-2025
TK-81,CUST-3733,发票问题,closed,2026-08-18,01/27/2025
TK-82,CUST-4878,物流查询,open,06-01-2026,
TK-83,CUST-1241,物流查询,OPEN,07/22/2025,2026-04-07
TK-84,CUST-2355,投诉,OPEN,2026-10-24,2026-12-20
