shipment_id,order_id,shipped_date,delivered_date,carrier,delivery_days
SH-1,ORD-5034,13-11-2026,08/24/2026,圆通,22
SH-2,ORD-11783,23-03-2025,2026-05-24,京东物流,4
SH-3,ORD-13854,2025-05-18,2025-04-03,顺丰,2
SH-4,ORD-13387,2024-07-14,12/07/2026,邮政,3
SH-5,ORD-616,19-10-2025,11-11-2026,中通,6
SH-6,ORD-4022,07/16/2025,2026-04-06,顺丰,6
SH-7,ORD-12879,2026-04-25,2025-10-06,圆通,5
SH-8,ORD-8826,01/09/2026,14-06-2026,中通,3
SH-9,ORD-12648,15-01-2026,2026-08-19,邮政,4
SH-10,ORD-1955,2024-10-20,2025-02-05,邮政,7
SH-11,ORD-6209,09/01/2026,2026-11-16,圆通,2
SH-12,ORD-9373,2025-04-05,2026-07-04,邮政,7
SH-13,ORD-4079,11/16/2026,04/10/2024,中通,4
SH-14,ORD-7062,2026-01-02,12/13/2025,中通,6
SH-15,ORD-1231,17-09-2024,08/20/2026,顺丰,1
SH-16,ORD-8765,2026-11-06,06/17/2026,邮政,2
SH-17,ORD-13579,02-03-2026,2025-03-02,圆通,25
SH-18,ORD-587,2026-08-23,2025-09-24,圆通,5
SH-19,ORD-9271,2025-03-22,07/12/2026,邮政,4
SH-20,ORD-3908,01/08/2026,27-03-2024,圆通,5
SH-21,ORD-7203,2026-08-04,2026-04-04,邮政,2
SH-22,ORD-6461,05-03-2025,2026-08-04,顺丰,7
SH-23,ORD-10527,02-04-2024,18-10-2024,京东物流,4
SH-24,ORD-14984,03/04/2024,2025-05-08,圆通,7
SH-25,ORD-12698,2025-09-11,02/27/2026,邮政,9
SH-26,ORD-7361,2024-03-11,17-09-2025,邮政,4
SH-27,ORD-1943,2025-08-10,2024-03-24,中通,6
SH-28,ORD-11227,2026-11-25,2024-11-15,圆通,3
SH-29,ORD-7293,28-10-2024,2026-04-03,圆通,4
SH-30,ORD-11596,2025-11-17,03/08/2025,京东物流,5
SH-31,ORD-3382,2026-04-10,19-11-2025,邮政,5
SH-32,ORD-9643,2024-07-19,01-01-2024,京东物流,2
SH-33,ORD-9846,06/06/2025,2025-06-06,邮政,5
SH-34,ORD-11860,06-09-2026,11/23/2026,顺丰,1
SH-35,ORD-8457,2025-04-04,04-03-2025,邮政,5
SH-36,ORD-12089,02/18/2026,06/21/2026,邮政,2
SH-37,ORD-2962,2026-08-02,21-12-2024,圆通,6
SH-38,ORD-460,10/28/2025,10/07/2026,京东物流,2
SH-39,ORD-13187,01/21/2024,09-02-2025,顺丰,1
SH-40,ORD-2236,04/08/2024,04/05/2026,中通,3
SH-41,ORD-1047,2026-03-17,2025-05-17,邮政,1
SH-42,ORD-3391,2025-11-06,2025-06-09,顺丰,2
SH-43,ORD-223,03/12/2024,2025-03-14,中通,3
SH-44,ORD-5380,2024-06-14,2025-11-09,邮政,2
