movement_id,product_id,store_id,quantity,movement_date,type
MV-1,SKU1575,ST-19,198,23-09-2025,in
MV-2,MD-1225,ST-8,-137,2025-12-21,in
MV-3,SKU1623,ST-16,-98,2025-07-03,In
MV-4,MD-1538,ST-10,189,07/04/2025,adjust
MV-5,REF-1054,ST-5,-119,24-02-2026,adjust
MV-6,R-1104,ST-10,16,2026-03-28,adjust
MV-7,REF-1101,ST-25,-75,2026-10-10,ADJUST
MV-8,MD-1761,ST-25,78,2026-02-02,ADJUST
MV-9,R-1444,ST-13,165,07/18/2025,OUT
MV-10,SKU1397,ST-17,-80,2026-08-21,In
MV-11,MD-1449,ST-14,-127,05/13/2025,adjust
MV-12,SKU1462,ST-20,-110,2026-02-14,In
MV-13,SKU1589,ST-22,-149,2025-10-05,ADJUST
MV-14,R-1077,ST-2,35,2025-04-24,in
MV-15,R-1425,ST-10,176,08/21/2026,adjust
MV-16,R-1730,ST-20,-97,28-05-2026,ADJUST
MV-17,R-1700,ST-14,-59,2025-10-27,adjust
MV-18,SKU1755,ST-16,139,10/22/2025,adjust
MV-19,R-1562,ST-15,196,2025-08-07,OUT
MV-20,SKU1603,ST-19,-97,2025-02-16,OUT
MV-21,SKU1084,ST-11,61,2026-07-14,in
MV-22,REF-1325,ST-13,-121,01/03/2025,in
MV-23,SKU1490,ST-22,-157,08-03-2026,OUT
MV-24,SKU1178,ST-4,-188,2025-04-21,in
MV-25,R-1568,ST-11,-99,05-08-2025,in
MV-26,R-1420,ST-10,-28,12/18/2026,adjust
MV-27,SKU1398,ST-16,-54,07/28/2026,adjust
MV-28,R-1573,ST-4,34,2026-02-05,in
MV-29,MD-1579,ST-16,-159,02/12/2026,in
MV-30,SKU1029,ST-10,-166,2025-11-07,OUT
MV-31,REF-1161,ST-11,-148,2026-01-07,adjust
MV-32,SKU1134,ST-19,-189,2026-01-15,OUT
MV-33,R-1791,ST-12,-162,10/25/2025,adjust
MV-34,MD-1086,ST-16,156,09-07-2025,in
MV-35,R-1027,ST-10,168,06/05/2026,OUT
MV-36,SKU1750,ST-19,118,27-04-2026,In
MV-37,REF-1519,ST-1,-100,2025-05-15,In
MV-38,SKU1115,ST-25,73,2025-05-01,In
MV-39,MD-1125,ST-18,57,05/22/2025,In
MV-40,MD-1004,ST-17,-156,09/03/2026,adjust
MV-41,REF-1515,ST-23,-72,2026-09-04,ADJUST
MV-42,SKU1454,ST-11,185,2026-02-03,In
MV-43,REF-1483,ST-14,-89,2025-06-27,OUT
MV-44,MD-1089,ST-5,-163,08-03-2026,adjust
MV-45,REF-1195,ST-25,6,2025-08-01,adjust
MV-46,MD-1636,ST-24,-190,2025-06-12,In
MV-47,REF-1352,ST-18,-112,03/14/2025,In
MV-48,SKU1718,ST-5,-158,10/21/2025,OUT
MV-49,REF-1068,ST-20,-120,2026-04-17,OUT
MV-50,REF-1775,ST-22,-191,08/04/2025,adjust
MV-51,R-1443,ST-10,-121,2025-11-05,ADJUST
MV-52,R-1112,ST-8,-164,07/02/2025,ADJUST
MV-53,MD-1204,ST-12,-138,2025-05-05,ADJUST
MV-54,R-1430,ST-9,157,2026-09-04,In
MV-55,SKU1060,ST-4,-163,2025-04-14,ADJUST
MV-56,MD-1616,ST-17,-139,2026-08-05,In
MV-57,REF-1155,ST-20,-115,2025-02-21,adjust
MV-58,R-1503,ST-9,-38,2026-07-01,adjust
MV-59,MD-1351,ST-22,149,06/21/2025,OUT
