supplier_id,name,region,lead_time_days,rating
SR-1,华东金属,北京,5,1
SR-2,珠江五金,上海,6,2
SR-3,北方塑胶,广州,7,3
SR-4,联科电子,深圳,8,4
SR-5,环球包装,杭州,9,5
SR-6,天成轴承,成都,10,1
SR-7,湘江化工,武汉,11,2
SR-8,青岛部件,南京,12,3
SR-9,中州电缆,西安,13,4
SR-10,远东模具,苏州,14,5
SR-11,珠江五金,成都,34,3
SR-12,珠江五金,武汉,3,1
SR-13,珠江五金,南京,37,5
SR-14,珠江五金,苏州,44,2
SR-15,珠江五金,成都,44,2
SR-16,珠江五金,武汉,5,5
SR-17,珠江五金,成都,44,2
SR-18,珠江五金,成都,3,2
SR-19,珠江五金,南京,37,4
SR-20,珠江五金,杭州,21,1
SR-21,北方塑胶,成都,28,2
SR-22,北方塑胶,北京,13,1
SR-23,北方塑胶,苏州,3,3
SR-24,北方塑胶,南京,22,5
SR-25,北方塑胶,上海,30,4
SR-26,北方塑胶,南京,27,1
SR-27,北方塑胶,深圳,44,2
SR-28,北方塑胶,南京,34,2
SR-29,北方塑胶,广州,23,5
SR-30,北方塑胶,深圳,33,1
SR-31,联科电子,深圳,34,2
SR-32,联科电子,苏州,36,2
SR-33,联科电子,成都,14,1
SR-34,联科电子,北京,32,1
SR-35,联科电子,苏州,30,5
SR-36,联科电子,西安,45,2
SR-37,联科电子,西安,33,5
SR-38,联科电子,武汉,12,4
SR-39,联科电子,杭州,16,3
SR-40,联科电子,西安,44,1
SR-41,环球包装,成都,11,5
SR-42,环球包装,上海,32,1
SR-43,环球包装,武汉,28,3
SR-44,环球包装,苏州,41,3
SR-45,环球包装,苏州,3,1
SR-46,环球包装,上海,40,4
SR-47,环球包装,上海,19,4
SR-48,环球包装,杭州,20,3
SR-49,环球包装,广州,35,3
SR-50,环球包装,南京,19,1
SR-51,天成轴承,上海,36,2
SR-52,天成轴承,广州,18,4
SR-53,天成轴承,南京,10,1
SR-54,天成轴承,上海,4,2
SR-55,天成轴承,南京,16,1
SR-56,天成轴承,杭州,43,3
SR-57,天成轴承,广州,39,4
SR-58,天成轴承,广州,30,5
SR-59,天成轴承,南京,16,5
SR-60,天成轴承,深圳,30,4
SR-61,湘江化工,武汉,39,5
SR-62,湘江化工,北京,31,3
SR-63,湘江化工,武汉,4,1
SR-64,湘江化工,苏州,32,5
SR-65,湘江化工,上海,40,1
SR-66,湘江化工,南京,22,2
SR-67,湘江化工,西安,40,4
SR-68,湘江化工,北京,9,5
SR-69,湘江化工,广州,45,1
SR-70,湘江化工,武汉,5,5
SR-71,青岛部件,成都,45,1
SR-72,青岛部件,成都,7,5
SR-73,青岛部件,苏州,26,1
SR-74,青岛部件,苏州,31,2
SR-75,青岛部件,深圳,25,2
SR-76,青岛部件,南京,32,2
SR-77,青岛部件,武汉,37,1
SR-78,青岛部件,西安,11,4
SR-79,青岛部件,广州,33,2
SR-80,青岛部件,上海,9,5
