event_id,customer_id,subscription_id,churn_date,cancel_reason
CE-1,SC-2087,SUB-4726,2026-12-03,迁移竞品
CE-2,SC-2600,SUB-118,2025-03-19,迁移竞品
CE-3,SC-1233,SUB-1575,2026-01-23,预算削减
CE-4,SC-2792,SUB-2573,2026-09-11,价格太贵
CE-5,SC-1954,SUB-3561,2025-02-16,迁移竞品
CE-6,SC-2511,SUB-3019,2026-03-07,价格太贵
CE-7,SC-2238,SUB-4333,2026-03-11,未说明
CE-8,SC-1779,SUB-1017,08-08-2026,未说明
CE-9,SC-1998,SUB-1548,04-11-2025,预算削减
CE-10,SC-61,SUB-874,2025-02-03,使用率低
CE-11,SC-2369,SUB-2194,2025-03-06,迁移竞品
CE-12,SC-2076,SUB-5762,2025-03-26,价格太贵
CE-13,SC-1250,SUB-4550,07/17/2025,功能不足
CE-14,SC-772,SUB-5100,2026-10-14,预算削减
CE-15,SC-64,SUB-587,03/19/2025,迁移竞品
CE-16,SC-1790,SUB-4468,10/16/2025,迁移竞品
CE-17,SC-858,SUB-1525,11-08-2026,价格太贵
CE-18,SC-631,SUB-1229,2026-03-24,功能不足
CE-19,SC-1898,SUB-1871,02-12-2025,迁移竞品
CE-20,SC-1818,SUB-5665,2026-11-06,预算削减
CE-21,SC-1022,SUB-2160,09/16/2026,迁移竞品
CE-22,SC-2880,SUB-3937,17-06-2026,预算削减
CE-23,SC-2135,SUB-4022,2026-04-03,使用率低
CE-24,SC-2474,SUB-4115,2025-05-03,未说明
CE-25,SC-2034,SUB-287,07/06/2025,预算削减
CE-26,SC-1075,SUB-4865,2025-11-23,使用率低
CE-27,SC-1090,SUB-5254,2025-01-21,迁移竞品
CE-28,SC-2529,SUB-4794,2025-07-08,迁移竞品
CE-29,SC-557,SUB-3694,2025-12-26,功能不足
CE-30,SC-1888,SUB-2386,2026-02-20,使用率低
CE-31,SC-2274,SUB-3267,2025-08-22,功能不足
CE-32,SC-2793,SUB-5472,11/18/2025,价格太贵
CE-33,SC-1195,SUB-324,10/02/2026,未说明
CE-34,SC-1172,SUB-3932,2025-10-03,功能不足
CE-35,SC-2913,SUB-3004,21-08-2026,功能不足
CE-36,SC-1194,SUB-5341,2025-05-07,使用率低
CE-37,SC-1920,SUB-3543,2026-03-16,未说明
CE-38,SC-2719,SUB-4619,09-07-2026,预算削减
CE-39,SC-1051,SUB-2617,06/20/2025,使用率低
CE-40,SC-1256,SUB-3089,10-11-2026,未说明
CE-41,SC-324,SUB-1744,01/16/2025,功能不足
CE-42,SC-71,SUB-2324,23-08-2026,未说明
CE-43,SC-960,SUB-1596,2025-07-17,预算削减
CE-44,SC-935,SUB-713,08/05/2026,功能不足
CE-45,SC-875,SUB-1940,2026-09-15,使用率低
CE-46,SC-2624,SUB-4540,22-09-2026,价格太贵
CE-47,SC-1089,SUB-2242,2025-05-26,价格太贵
CE-48,SC-460,SUB-2423,07/20/2025,预算削减
CE-49,SC-1317,SUB-3622,08/18/2026,使用率低
CE-50,SC-295,SUB-3417,2025-07-15,未说明
