request_id,customer_id,title,votes,created_at
FR-1,SC-482,批量操作,85,2025-02-09
FR-2,SC-2816,批量操作,53,2025-09-19
FR-3,SC-1655,SSO,170,2025-06-06
FR-4,SC-989,审计日志,42,02/11/2025
FR-5,SC-2891,报表导出,78,2026-12-04
FR-6,SC-1018,多语言,76,11/27/2025
FR-7,SC-1417,SSO,138,27-06-2026
FR-8,SC-2750,移动端,72,28-09-2026
FR-9,SC-872,移动端,19,2025-12-15
FR-10,SC-1929,API 增强,60,2026-07-24
FR-11,SC-1491,多语言,128,16-07-2025
FR-12,SC-1358,批量操作,85,05/05/2025
FR-13,SC-1293,报表导出,131,12-04-2026
FR-14,SC-1359,报表导出,76,2025-06-02
FR-15,SC-2924,SSO,123,2025-07-28
FR-16,SC-1358,API 增强,75,2026-01-07
FR-17,SC-2950,移动端,188,2025-04-02
FR-18,SC-1811,移动端,71,2025-05-23
FR-19,SC-1279,移动端,163,28-08-2025
FR-20,SC-1691,API 增强,53,03/21/2025
FR-21,SC-597,多语言,187,01/04/2025
FR-22,SC-2892,多语言,156,2026-05-03
FR-23,SC-1714,API 增强,164,06-10-2025
FR-24,SC-1882,报表导出,186,10/20/2025
FR-25,SC-863,多语言,23,2026-05-23
FR-26,SC-687,多语言,141,10/12/2025
FR-27,SC-2296,多语言,147,06/21/2026
FR-28,SC-1409,报表导出,183,02-10-2026
FR-29,SC-1290,多语言,200,12/14/2026
FR-30,SC-1312,SSO,17,2025-05-18
FR-31,SC-2250,审计日志,153,2025-03-24
FR-32,SC-1530,批量操作,153,03/27/2025
FR-33,SC-973,移动端,87,10/04/2026
FR-34,SC-1516,批量操作,156,10/28/2026
FR-35,SC-2931,批量操作,17,2026-05-11
FR-36,SC-1376,API 增强,5,2026-11-04
FR-37,SC-2745,批量操作,53,2025-10-14
FR-38,SC-2970,审计日志,78,2026-09-16
FR-39,SC-1437,审计日志,185,11/01/2026
FR-40,SC-2379,SSO,30,2025-01-20
