invoice_id,subscription_id,invoice_date,amount,status
SI-1,SUB-3349,2024-12-07,"4 260,00",overdue
SI-2,SUB-450,09/14/2026,3190,overdue
SI-3,SUB-1512,01/05/2025,3554,overdue
SI-4,SUB-5204,2025-09-17,"$3,180.00",overdue
SI-5,SUB-1103,12/06/2025,129,overdue
SI-6,SUB-1301,2025-02-20,3 295,paid
SI-7,SUB-2289,13-07-2026,2050,pending
SI-8,SUB-2184,06/14/2025,"$1,981.00",pending
SI-9,SUB-5296,21-04-2025,$669.00,PAID
SI-10,SUB-3305,06/06/2024,4338,overdue
SI-11,SUB-4065,02/05/2026,"$3,689.00",pending
SI-12,SUB-4222,2025-01-01,2839,OVERDUE
SI-13,SUB-1141,2024-09-16,2738,pending
SI-14,SUB-2398,2025-06-16,4307,pending
SI-15,SUB-169,27-12-2026,2766,PAID
SI-16,SUB-2179,2026-11-12,2405,PAID
SI-17,SUB-3143,05/26/2025,"$4,102.00",pending
SI-18,SUB-41,08/08/2025,1335,overdue
SI-19,SUB-5940,2026-02-13,"$1,494.00",overdue
SI-20,SUB-3838,26-12-2025,3075,overdue
SI-21,SUB-4384,01/10/2025,$511.00,overdue
SI-22,SUB-2580,27-04-2025,3890,PAID
SI-23,SUB-4917,2026-09-23,925,PAID
SI-24,SUB-3726,2025-12-22,2712,PAID
SI-25,SUB-3091,23-07-2024,123,pending
SI-26,SUB-2272,2025-08-18,"$1,765.00",paid
SI-27,SUB-5611,06/20/2026,"$1,906.00",paid
SI-28,SUB-3473,11/05/2024,"$2,432.00",paid
SI-29,SUB-4445,16-11-2025,4706,overdue
SI-30,SUB-5534,2025-10-05,"$4,117.00",PAID
SI-31,SUB-216,2026-07-25,1026,PAID
SI-32,SUB-5494,2024-07-15,3575,paid
SI-33,SUB-570,2026-05-07,$984.00,paid
SI-34,SUB-1093,2026-03-05,"4 718,00",overdue
SI-35,SUB-3625,2024-09-07,4304,overdue
SI-36,SUB-3163,2026-05-14,4741,overdue
SI-37,SUB-909,08-06-2024,2753,overdue
SI-38,SUB-1343,2025-08-17,558,overdue
SI-39,SUB-1553,14-04-2024,"$2,174.00",OVERDUE
SI-40,SUB-3015,2026-05-04,"4 066,00",PAID
SI-41,SUB-2520,10/20/2026,"$1,972.00",PAID
SI-42,SUB-3732,25-02-2024,"4 562,00",OVERDUE
SI-43,SUB-2788,2026-02-11,3013,OVERDUE
SI-44,SUB-5887,2025-06-28,1 598,OVERDUE
SI-45,SUB-330,2026-12-14,"$1,633.00",PAID
SI-46,SUB-711,01/14/2026,3492,PAID
SI-47,SUB-5973,04-12-2024,1395,OVERDUE
SI-48,SUB-744,10/05/2025,"$2,332.00",overdue
SI-49,SUB-4236,2026-05-28,$200.00,overdue
SI-50,SUB-1787,2024-04-15,2 540,pending
SI-51,SUB-4422,2025-04-22,288,OVERDUE
SI-52,SUB-5691,2026-02-12,"4 666,00",overdue
SI-53,SUB-3571,11-07-2026,$396.00,overdue
SI-54,SUB-3904,09/25/2024,"4 691,00",overdue
SI-55,SUB-2282,06/08/2024,"$2,313.00",overdue
SI-56,SUB-725,04/19/2024,4724,OVERDUE
SI-57,SUB-3278,2025-05-07,277,overdue
SI-58,SUB-5122,2025-09-22,2 922,OVERDUE
SI-59,SUB-544,2024-08-21,"$1,256.00",PAID
SI-60,SUB-304,11/06/2024,"809,00",paid
SI-61,SUB-2774,12/01/2025,$781.00,OVERDUE
SI-62,SUB-3055,07/13/2024,"$4,151.00",paid
SI-63,SUB-4969,2026-07-15,3339,PAID
SI-64,SUB-5783,03/04/2026,3629,pending
SI-65,SUB-3043,16-11-2024,1691,overdue
SI-66,SUB-3170,04/15/2024,"$2,643.00",OVERDUE
SI-67,SUB-4393,18-08-2024,4385,PAID
SI-68,SUB-3774,2026-08-18,4756,overdue
SI-69,SUB-2773,2024-07-14,$622.00,overdue
SI-70,SUB-167,12/18/2024,1558,overdue
SI-71,SUB-3022,20-04-2026,"3 259,00",overdue
SI-72,SUB-4101,03/24/2026,"$4,045.00",overdue
SI-73,SUB-4916,2025-02-18,4 734,PAID
