conversion_id,lead_id,customer_id,converted_at,days_to_convert
LC-1,LD-3306,SC-671,2026-10-06,45
LC-2,LD-3468,SC-1357,05/09/2025,37
LC-3,LD-4137,SC-1362,2026-10-14,1
LC-4,LD-2354,SC-489,2026-11-18,67
LC-5,LD-147,SC-1903,2026-04-12,70
LC-6,LD-1336,SC-1002,2026-05-03,82
LC-7,LD-3601,SC-409,10-07-2026,60
LC-8,LD-2978,SC-2040,24-05-2026,2
LC-9,LD-902,SC-2639,2026-09-23,29
LC-10,LD-4010,SC-2007,2025-04-01,23
LC-11,LD-4207,SC-484,24-08-2025,2
LC-12,LD-2756,SC-211,2025-07-03,27
LC-13,LD-3704,SC-2928,2026-10-25,74
LC-14,LD-3138,SC-778,20-11-2025,17
LC-15,LD-740,SC-1551,25-11-2026,52
LC-16,LD-418,SC-1499,09-05-2026,31
LC-17,LD-2685,SC-2471,2025-11-03,59
LC-18,LD-210,SC-2873,2025-11-14,14
LC-19,LD-727,SC-1578,2025-11-26,82
LC-20,LD-4871,SC-1242,06/17/2026,10
LC-21,LD-4893,SC-2562,03/05/2026,33
LC-22,LD-2092,SC-1324,11/22/2026,76
LC-23,LD-4716,SC-102,2026-04-09,43
LC-24,LD-3584,SC-2314,2026-08-03,47
LC-25,LD-2083,SC-1747,2025-01-12,8
LC-26,LD-4783,SC-1957,2025-09-06,28
LC-27,LD-2782,SC-716,2026-10-08,59
LC-28,LD-3463,SC-2252,2025-09-19,57
LC-29,LD-1796,SC-674,2026-12-08,34
LC-30,LD-4125,SC-1199,22-04-2026,3
LC-31,LD-1268,SC-2660,2025-02-23,59
LC-32,LD-2447,SC-2134,2026-06-02,75
LC-33,LD-2090,SC-2097,2026-08-21,67
LC-34,LD-1913,SC-2712,17-09-2026,26
LC-35,LD-1125,SC-1400,12/08/2026,6
LC-36,LD-2636,SC-1277,2026-08-07,65
LC-37,LD-2870,SC-624,09/15/2026,19
LC-38,LD-4424,SC-2536,2025-03-15,35
LC-39,LD-1748,SC-133,2026-11-08,71
LC-40,LD-3316,SC-1032,27-04-2026,31
LC-41,LD-2761,SC-1285,2026-01-11,43
LC-42,LD-3424,SC-1946,2026-12-20,79
LC-43,LD-4534,SC-2141,12/04/2025,39
LC-44,LD-1389,SC-267,01-02-2025,43
LC-45,LD-541,SC-2352,2026-02-28,18
LC-46,LD-1775,SC-476,2025-05-06,87
LC-47,LD-1937,SC-2240,12-09-2025,45
LC-48,LD-1554,SC-2958,28-04-2026,47
LC-49,LD-3128,SC-2419,2025-02-16,48
LC-50,LD-2267,SC-1497,11-07-2025,10
LC-51,LD-2671,SC-2272,2025-04-08,12
LC-52,LD-1147,SC-2871,05/22/2025,30
LC-53,LD-4184,SC-2336,2026-08-07,21
LC-54,LD-2027,SC-1682,06-07-2025,22
LC-55,LD-2515,SC-2371,2026-02-20,66
LC-56,LD-1387,SC-243,2025-03-18,66
LC-57,LD-2136,SC-2296,04/08/2025,22
LC-58,LD-2094,SC-911,2026-07-17,20
LC-59,LD-2613,SC-366,2025-05-09,8
LC-60,LD-2064,SC-779,27-04-2025,15
LC-61,LD-3276,SC-1350,2025-06-11,31
LC-62,LD-420,SC-1082,04/08/2025,14
LC-63,LD-1384,SC-860,07/19/2026,37
LC-64,LD-2930,SC-863,18-01-2025,1
LC-65,LD-3233,SC-1000,03/24/2025,85
LC-66,LD-2392,SC-2373,10-12-2026,56
LC-67,LD-4851,SC-1537,12/28/2025,4
LC-68,LD-3447,SC-402,15-06-2025,81
LC-69,LD-2515,SC-2079,2025-09-10,2
LC-70,LD-2521,SC-2563,2025-01-21,57
LC-71,LD-1142,SC-488,05-09-2026,41
LC-72,LD-1770,SC-1772,2026-05-25,44
LC-73,LD-2760,SC-1813,09-02-2025,84
LC-74,LD-1375,SC-179,2026-01-04,71
LC-75,LD-543,SC-837,2025-03-01,29
LC-76,LD-3977,SC-594,12-04-2025,53
LC-77,LD-3059,SC-1089,2025-07-23,22
LC-78,LD-3016,SC-2629,09/27/2025,12
LC-79,LD-4352,SC-896,02-01-2026,49
LC-80,LD-4264,SC-2021,05/24/2026,85
LC-81,LD-2777,SC-935,03/03/2026,10
LC-82,LD-1208,SC-2917,02/26/2026,61
LC-83,LD-722,SC-1478,2025-12-21,6
LC-84,LD-2062,SC-1936,2025-07-10,11
LC-85,LD-2609,SC-1364,09-05-2025,70
