payment_id,invoice_id,amount,method,status,paid_date
SP-1,SI-3298,"$4,025.00",card,success,07/11/2026
SP-2,SI-5938,4160,bank_transfer,success,27-02-2025
SP-3,SI-5251,3009,bank_transfer,success,08-02-2025
SP-4,SI-1502,425.00,alipay,success,2025-10-22
SP-5,SI-654,"$2,391.00",alipay,pending,2025-06-09
SP-6,SI-2810,1879,card,SUCCESS,05/25/2026
SP-7,SI-3130,1092,alipay,success,02/17/2024
SP-8,SI-2047,1406,bank_transfer,pending,2025-08-16
SP-9,SI-4446,"1,541.00",alipay,SUCCESS,2026-06-24
SP-10,SI-4136,"$4,436.00",wechat,SUCCESS,2024-06-26
SP-11,SI-3775,$967.00,alipay,success,2024-03-27
SP-12,SI-1329,"2,114.00",bank_transfer,success,2025-02-21
SP-13,SI-3266,"$3,335.00",alipay,success,08/25/2026
SP-14,SI-1986,"3,256.00",wechat,pending,2026-11-13
SP-15,SI-5227,"$3,565.00",bank_transfer,SUCCESS,01/01/2025
SP-16,SI-4370,3948,bank_transfer,pending,17-05-2024
SP-17,SI-4278,$462.00,alipay,SUCCESS,08/13/2024
SP-18,SI-1167,"$1,138.00",wechat,success,2025-04-11
SP-19,SI-5624,"$1,005.00",card,pending,03/03/2025
SP-20,SI-2875,"$3,724.00",wechat,pending,20-07-2024
SP-21,SI-4540,$583.00,wechat,pending,2025-03-19
SP-22,SI-3207,3266,wechat,pending,06/18/2024
SP-23,SI-1504,"$4,697.00",wechat,SUCCESS,2026-12-23
SP-24,SI-2538,"4,767.00",alipay,success,2025-03-01
SP-25,SI-772,"$3,646.00",card,success,05/18/2025
SP-26,SI-1280,4730,card,pending,2024-08-06
SP-27,SI-659,1923,bank_transfer,SUCCESS,2025-12-16
SP-28,SI-2895,3056,card,success,2026-06-09
SP-29,SI-2287,"$3,068.00",bank_transfer,pending,2025-09-19
SP-30,SI-991,3710,card,failed,03/04/2024
SP-31,SI-3390,218,alipay,pending,12/03/2026
