subscription_id,customer_id,account_id,plan_id,start_date,status,will_churn
SUB-1,SC-2943,AC-101,PLAN-6,25-04-2026,cancelled,0
SUB-2,SC-1166,AC-579,PLAN-1,2023-01-13,ACTIVE,0
SUB-3,SC-909,AC-311,PLAN-4,06-06-2024,trial,0
SUB-4,SC-2360,AC-56,PLAN-6,2023-05-01,ACTIVE,0
SUB-5,SC-1931,AC-234,PLAN-1,08/03/2022,CANCELLED,0
SUB-6,SC-196,AC-363,PLAN-4,15-03-2022,cancelled,0
SUB-7,SC-873,AC-538,PLAN-6,25-02-2021,active,1
SUB-8,SC-2919,AC-292,PLAN-6,2021-05-24,ACTIVE,0
SUB-9,SC-715,AC-476,PLAN-6,2021-11-16,cancelled,0
SUB-10,SC-1382,AC-479,PLAN-3,2023-12-11,cancelled,0
SUB-11,SC-502,AC-846,PLAN-2,2022-05-09,CANCELLED,0
SUB-12,SC-41,AC-76,PLAN-5,09/26/2022,CANCELLED,1
SUB-13,SC-2509,AC-606,PLAN-5,12/05/2022,ACTIVE,0
SUB-14,SC-2574,AC-438,PLAN-1,05-10-2021,cancelled,0
SUB-15,SC-1944,AC-786,PLAN-2,2025-02-14,active,0
SUB-16,SC-116,AC-736,PLAN-3,2023-04-03,CANCELLED,0
SUB-17,SC-1575,AC-738,PLAN-5,2026-08-05,active,0
SUB-18,SC-632,AC-833,PLAN-4,11/09/2021,trial,0
SUB-19,SC-2312,AC-493,PLAN-5,2021-10-07,trial,0
SUB-20,SC-1307,AC-298,PLAN-5,2026-09-03,ACTIVE,0
SUB-21,SC-2620,AC-328,PLAN-3,2021-03-28,active,0
SUB-22,SC-2318,AC-876,PLAN-1,14-03-2021,active,0
SUB-23,SC-84,AC-163,PLAN-4,2023-10-12,CANCELLED,0
SUB-24,SC-1417,AC-821,PLAN-6,2025-11-16,trial,0
SUB-25,SC-942,AC-176,PLAN-5,2026-05-14,ACTIVE,0
SUB-26,SC-221,AC-721,PLAN-6,04/11/2023,trial,1
SUB-27,SC-1770,AC-162,PLAN-3,2025-03-15,trial,0
SUB-28,SC-1737,AC-89,PLAN-5,2025-09-19,active,1
SUB-29,SC-1851,AC-399,PLAN-3,08/19/2025,cancelled,0
SUB-30,SC-180,AC-891,PLAN-2,05/03/2022,ACTIVE,0
SUB-31,SC-476,AC-628,PLAN-3,2021-08-03,trial,1
SUB-32,SC-1390,AC-146,PLAN-3,04/08/2026,cancelled,0
SUB-33,SC-1968,AC-139,PLAN-5,2024-02-17,cancelled,0
SUB-34,SC-2813,AC-133,PLAN-2,10-03-2022,ACTIVE,0
SUB-35,SC-1305,AC-744,PLAN-5,06/20/2026,active,0
SUB-36,SC-1904,AC-853,PLAN-1,04-05-2022,trial,0
SUB-37,SC-2783,AC-836,PLAN-6,2024-10-04,CANCELLED,0
SUB-38,SC-2307,AC-105,PLAN-2,07/24/2022,ACTIVE,0
SUB-39,SC-2681,AC-448,PLAN-4,2021-11-20,active,1
SUB-40,SC-2031,AC-300,PLAN-3,12/01/2021,cancelled,0
SUB-41,SC-19,AC-784,PLAN-1,2026-08-06,CANCELLED,0
SUB-42,SC-2460,AC-890,PLAN-5,2024-11-01,CANCELLED,1
SUB-43,SC-460,AC-89,PLAN-3,2024-06-05,trial,0
SUB-44,SC-536,AC-880,PLAN-5,2022-11-23,active,0
SUB-45,SC-674,AC-100,PLAN-4,11-07-2026,trial,1
SUB-46,SC-660,AC-247,PLAN-3,2023-04-23,cancelled,0
SUB-47,SC-2101,AC-86,PLAN-6,01/24/2025,cancelled,0
SUB-48,SC-2635,AC-508,PLAN-1,23-08-2023,trial,0
SUB-49,SC-2352,AC-104,PLAN-1,17-08-2021,trial,0
SUB-50,SC-1555,AC-36,PLAN-5,01/18/2023,CANCELLED,0
SUB-51,SC-1090,AC-504,PLAN-6,2025-07-26,CANCELLED,1
SUB-52,SC-1001,AC-554,PLAN-1,2024-06-20,active,1
SUB-53,SC-1966,AC-307,PLAN-3,2021-01-06,ACTIVE,0
SUB-54,SC-119,AC-349,PLAN-5,05-05-2024,ACTIVE,1
SUB-55,SC-1596,AC-674,PLAN-3,11-09-2024,cancelled,0
SUB-56,SC-237,AC-646,PLAN-3,05/02/2024,trial,0
SUB-57,SC-458,AC-642,PLAN-5,03-10-2023,ACTIVE,0
SUB-58,SC-1819,AC-555,PLAN-4,2025-01-19,trial,0
SUB-59,SC-1627,AC-707,PLAN-3,2026-09-05,CANCELLED,0
SUB-60,SC-365,AC-456,PLAN-2,02/06/2021,CANCELLED,0
SUB-61,SC-2492,AC-803,PLAN-5,22-10-2024,ACTIVE,0
SUB-62,SC-1939,AC-303,PLAN-1,2021-08-02,CANCELLED,0
SUB-63,SC-27,AC-68,PLAN-5,2025-05-28,ACTIVE,0
SUB-64,SC-2509,AC-122,PLAN-3,28-04-2021,ACTIVE,0
SUB-65,SC-2361,AC-588,PLAN-5,11/21/2026,ACTIVE,0
SUB-66,SC-1621,AC-369,PLAN-5,2026-01-05,trial,0
SUB-67,SC-853,AC-716,PLAN-1,2023-06-16,active,0
SUB-68,SC-2852,AC-294,PLAN-6,2022-12-08,active,1
SUB-69,SC-379,AC-598,PLAN-6,2025-06-11,CANCELLED,0
SUB-70,SC-1116,AC-763,PLAN-3,2025-12-05,active,1
SUB-71,SC-1464,AC-86,PLAN-2,03/10/2023,cancelled,0
SUB-72,SC-2547,AC-397,PLAN-3,19-06-2026,CANCELLED,0
SUB-73,SC-236,AC-44,PLAN-1,2022-09-27,cancelled,0
SUB-74,SC-2607,AC-834,PLAN-4,04/17/2023,trial,0
SUB-75,SC-1060,AC-156,PLAN-2,05/15/2026,ACTIVE,0
SUB-76,SC-2791,AC-339,PLAN-5,06/24/2022,active,1
SUB-77,SC-345,AC-75,PLAN-2,2024-06-17,trial,0
SUB-78,SC-1413,AC-511,PLAN-4,02/09/2025,cancelled,0
SUB-79,SC-615,AC-689,PLAN-2,03/03/2022,trial,0
SUB-80,SC-2209,AC-763,PLAN-6,07/04/2026,active,1
SUB-81,SC-2390,AC-821,PLAN-2,2025-01-11,CANCELLED,0
SUB-82,SC-1992,AC-216,PLAN-6,2021-01-28,trial,0
SUB-83,SC-1761,AC-552,PLAN-4,2024-05-05,CANCELLED,0
SUB-84,SC-1101,AC-813,PLAN-6,2023-04-04,trial,0
SUB-85,SC-2986,AC-613,PLAN-1,2021-04-04,ACTIVE,0
SUB-86,SC-1365,AC-648,PLAN-1,20-02-2026,CANCELLED,1
SUB-87,SC-304,AC-248,PLAN-6,02-12-2022,trial,0
SUB-88,SC-1360,AC-220,PLAN-6,21-11-2022,trial,0
SUB-89,SC-1161,AC-821,PLAN-5,11/11/2023,cancelled,0
SUB-90,SC-1937,AC-735,PLAN-4,2026-04-11,trial,0
SUB-91,SC-482,AC-536,PLAN-5,2023-09-02,active,0
SUB-92,SC-1911,AC-114,PLAN-1,12-09-2026,cancelled,0
SUB-93,SC-2703,AC-837,PLAN-3,2026-01-20,trial,1
SUB-94,SC-1454,AC-878,PLAN-6,05/08/2023,cancelled,0
SUB-95,SC-2455,AC-678,PLAN-2,02/05/2025,ACTIVE,0
SUB-96,SC-1238,AC-125,PLAN-3,2021-06-23,CANCELLED,0
SUB-97,SC-803,AC-485,PLAN-3,2023-06-19,CANCELLED,0
SUB-98,SC-2350,AC-658,PLAN-4,27-01-2025,CANCELLED,0
SUB-99,SC-56,AC-133,PLAN-1,09/01/2021,active,0
SUB-100,SC-1989,AC-73,PLAN-5,08/14/2022,cancelled,0
SUB-101,SC-2292,AC-714,PLAN-4,12-02-2023,CANCELLED,1
SUB-102,SC-1423,AC-431,PLAN-3,2022-05-15,trial,0
SUB-103,SC-2302,AC-67,PLAN-2,2021-12-21,trial,0
SUB-104,SC-207,AC-430,PLAN-1,2023-07-23,cancelled,1
SUB-105,SC-2772,AC-749,PLAN-1,2021-08-17,CANCELLED,0
SUB-106,SC-359,AC-189,PLAN-6,16-02-2023,cancelled,0
SUB-107,SC-2458,AC-598,PLAN-3,15-07-2026,ACTIVE,0
SUB-108,SC-937,AC-438,PLAN-6,2026-09-19,cancelled,0
