ticket_id,customer_id,subscription_id,priority,status,created_at
ST-1,SC-1216,SUB-3240,high,open,2026-01-10
ST-2,SC-669,SUB-4792,low,open,16-07-2025
ST-3,SC-2234,SUB-4736,medium,open,2026-05-10
ST-4,SC-2314,SUB-5159,low,OPEN,16-05-2025
ST-5,SC-2920,SUB-3371,LOW,open,2026-04-10
ST-6,SC-440,SUB-5289,low,waiting,2025-09-28
ST-7,SC-491,SUB-3356,high,open,2026-03-10
ST-8,SC-1542,SUB-5015,high,open,02/17/2026
ST-9,SC-2301,SUB-5630,high,OPEN,12-04-2026
ST-10,SC-444,SUB-851,LOW,resolved,2025-01-28
ST-11,SC-894,SUB-3319,low,resolved,12/21/2026
ST-12,SC-2086,SUB-1229,medium,OPEN,12-06-2025
ST-13,SC-1589,SUB-3525,high,OPEN,11/03/2026
ST-14,SC-1451,SUB-5239,high,resolved,2026-08-19
ST-15,SC-1059,SUB-1969,high,OPEN,08-06-2026
ST-16,SC-573,SUB-4117,medium,resolved,10/26/2026
ST-17,SC-86,SUB-531,LOW,closed,2026-08-18
ST-18,SC-406,SUB-2896,medium,open,2025-08-21
ST-19,SC-424,SUB-2575,medium,resolved,01-09-2026
ST-20,SC-446,SUB-1670,high,resolved,2025-11-17
ST-21,SC-1825,SUB-1896,urgent,waiting,14-01-2026
ST-22,SC-1562,SUB-1412,LOW,resolved,07/17/2026
ST-23,SC-414,SUB-5513,high,OPEN,12/20/2026
ST-24,SC-1835,SUB-1972,LOW,open,2026-02-10
ST-25,SC-1527,SUB-5292,urgent,OPEN,03/19/2026
ST-26,SC-1977,SUB-385,low,open,2026-01-10
ST-27,SC-2129,SUB-5715,medium,open,2025-09-06
ST-28,SC-1366,SUB-5454,low,open,2026-05-10
ST-29,SC-658,SUB-1879,low,closed,2025-12-02
ST-30,SC-1865,SUB-240,medium,open,2026-04-10
ST-31,SC-2,SUB-1271,urgent,waiting,12/17/2026
ST-32,SC-2833,SUB-2100,urgent,resolved,09-11-2025
ST-33,SC-1509,SUB-4500,urgent,closed,10/09/2025
ST-34,SC-2871,SUB-746,urgent,OPEN,06-02-2025
ST-35,SC-2121,SUB-5995,LOW,closed,2026-06-19
ST-36,SC-2118,SUB-1750,urgent,open,04/19/2025
ST-37,SC-87,SUB-1342,low,open,14-01-2026
ST-38,SC-1023,SUB-3378,high,closed,2026-05-28
ST-39,SC-1225,SUB-295,low,OPEN,26-12-2025
ST-40,SC-2873,SUB-4407,urgent,OPEN,02/21/2025
ST-41,SC-2740,SUB-2425,high,waiting,03/22/2026
ST-42,SC-1126,SUB-1379,LOW,waiting,2025-04-04
ST-43,SC-1212,SUB-3473,urgent,resolved,09-10-2025
ST-44,SC-247,SUB-2736,medium,waiting,11/03/2026
ST-45,SC-178,SUB-2914,medium,closed,2025-02-15
ST-46,SC-2738,SUB-701,low,open,2026-07-21
ST-47,SC-1218,SUB-2524,low,open,2026-03-10
ST-48,SC-238,SUB-5194,LOW,closed,2025-08-12
ST-49,SC-1251,SUB-2337,low,open,2026-02-10
ST-50,SC-848,SUB-1179,low,OPEN,2025-01-28
ST-51,SC-1397,SUB-1088,low,open,2026-01-10
ST-52,SC-1597,SUB-4144,medium,closed,12/20/2025
ST-53,SC-2679,SUB-545,urgent,open,2026-05-10
ST-54,SC-1650,SUB-3495,medium,resolved,06-07-2026
ST-55,SC-2072,SUB-514,medium,open,13-05-2025
ST-56,SC-1422,SUB-5295,medium,resolved,04-10-2026
ST-57,SC-1736,SUB-5651,medium,closed,04/19/2025
ST-58,SC-2843,SUB-4254,medium,resolved,2026-01-14
ST-59,SC-185,SUB-445,low,resolved,19-10-2026
ST-60,SC-2923,SUB-764,low,open,2026-09-17
ST-61,SC-620,SUB-3074,medium,open,19-04-2025
ST-62,SC-2285,SUB-3294,medium,OPEN,04/11/2025
ST-63,SC-1017,SUB-3174,low,open,17-11-2025
ST-64,SC-1209,SUB-260,LOW,waiting,2025-06-28
ST-65,SC-2900,SUB-3497,medium,closed,2025-07-07
ST-66,SC-1374,SUB-1535,high,waiting,2025-07-01
ST-67,SC-2296,SUB-2108,low,closed,2026-05-05
ST-68,SC-2605,SUB-495,medium,OPEN,2025-06-06
ST-69,SC-2600,SUB-5564,LOW,closed,2025-04-28
ST-70,SC-152,SUB-1341,medium,open,2026-04-10
ST-71,SC-2334,SUB-2399,medium,waiting,2026-08-23
ST-72,SC-89,SUB-220,high,open,2026-03-10
ST-73,SC-2009,SUB-384,high,open,06-04-2025
ST-74,SC-2986,SUB-562,medium,open,2026-02-10
ST-75,SC-1121,SUB-572,high,resolved,2025-05-03
ST-76,SC-948,SUB-4552,urgent,open,2026-01-10
ST-77,SC-936,SUB-3146,low,OPEN,2026-06-16
ST-78,SC-790,SUB-327,urgent,waiting,2025-02-27
ST-79,SC-1480,SUB-2337,high,resolved,12/01/2025
ST-80,SC-2917,SUB-5738,medium,closed,2025-07-28
ST-81,SC-1761,SUB-482,medium,open,11/02/2026
ST-82,SC-2747,SUB-1544,medium,closed,2025-02-13
ST-83,SC-664,SUB-3259,low,OPEN,2026-03-17
ST-84,SC-1970,SUB-3189,high,open,2025-10-20
ST-85,SC-1292,SUB-1355,urgent,OPEN,18-06-2025
ST-86,SC-1253,SUB-3730,low,OPEN,07/26/2025
ST-87,SC-1414,SUB-3530,medium,open,17-11-2026
ST-88,SC-1768,SUB-2214,medium,OPEN,2025-03-08
ST-89,SC-876,SUB-5007,urgent,resolved,09/26/2026
ST-90,SC-613,SUB-2090,high,open,06/09/2025
ST-91,SC-2251,SUB-2993,LOW,closed,2025-06-22
ST-92,SC-872,SUB-2736,medium,closed,2025-01-15
ST-93,SC-1982,SUB-4742,medium,open,2026-05-10
ST-94,SC-1257,SUB-5827,LOW,closed,2025-05-06
ST-95,SC-2689,SUB-4438,medium,open,2026-04-10
ST-96,SC-2605,SUB-76,urgent,closed,26-10-2026
ST-97,SC-2987,SUB-3328,urgent,open,2026-03-10
ST-98,SC-143,SUB-4108,low,OPEN,03/11/2026
ST-99,SC-2881,SUB-5142,urgent,open,2026-02-10
ST-100,SC-230,SUB-5502,urgent,OPEN,2026-08-09
ST-101,SC-1770,SUB-1323,LOW,OPEN,24-05-2026
ST-102,SC-750,SUB-5404,urgent,closed,2026-03-04
ST-103,SC-2215,SUB-4229,LOW,waiting,11/20/2026
ST-104,SC-1494,SUB-5105,low,waiting,01/02/2026
ST-105,SC-36,SUB-4801,high,waiting,25-11-2025
ST-106,SC-278,SUB-4604,high,resolved,07/09/2026
ST-107,SC-2588,SUB-4052,LOW,waiting,2026-07-16
ST-108,SC-1845,SUB-2145,urgent,open,2026-07-18
ST-109,SC-2475,SUB-2471,urgent,resolved,2026-09-08
ST-110,SC-2886,SUB-1206,high,resolved,05/24/2026
ST-111,SC-1353,SUB-1550,medium,OPEN,10-10-2026
ST-112,SC-2286,SUB-5737,urgent,open,2026-06-26
ST-113,SC-1680,SUB-5533,LOW,OPEN,2025-07-15
ST-114,SC-1439,SUB-4995,urgent,closed,13-05-2026
ST-115,SC-2203,SUB-3412,urgent,OPEN,2025-08-22
ST-116,SC-835,SUB-241,high,open,2026-01-10
ST-117,SC-985,SUB-1950,medium,closed,2026-01-12
ST-118,SC-1749,SUB-2197,high,open,2026-05-10
ST-119,SC-499,SUB-3101,LOW,waiting,2025-08-22
ST-120,SC-1980,SUB-810,urgent,open,2026-04-10
ST-121,SC-2034,SUB-4438,urgent,open,2025-07-24
ST-122,SC-1954,SUB-3650,medium,open,2026-03-10
ST-123,SC-861,SUB-2374,LOW,OPEN,2025-02-18
ST-124,SC-1405,SUB-681,urgent,resolved,2026-11-21
ST-125,SC-2333,SUB-4811,LOW,OPEN,09/12/2026
ST-126,SC-1417,SUB-4767,medium,resolved,10/12/2025
ST-127,SC-2971,SUB-2293,LOW,resolved,03/11/2026
ST-128,SC-2719,SUB-4201,low,resolved,10/09/2025
ST-129,SC-1231,SUB-611,urgent,closed,2026-06-09
ST-130,SC-872,SUB-1357,urgent,open,2026-09-14
ST-131,SC-1302,SUB-1405,low,waiting,2026-12-27
ST-132,SC-272,SUB-2163,LOW,open,03/11/2025
ST-133,SC-229,SUB-4367,high,OPEN,2026-01-10
ST-134,SC-1866,SUB-605,urgent,resolved,2025-12-02
ST-135,SC-1668,SUB-732,medium,OPEN,09/03/2026
ST-136,SC-1036,SUB-4797,LOW,closed,06/01/2025
ST-137,SC-1002,SUB-5840,LOW,resolved,02/27/2026
ST-138,SC-34,SUB-4918,low,waiting,2026-04-04
ST-139,SC-148,SUB-1675,LOW,open,2026-02-10
ST-140,SC-2235,SUB-1630,LOW,OPEN,06/27/2025
ST-141,SC-1057,SUB-192,medium,open,2026-01-10
ST-142,SC-140,SUB-678,high,resolved,2025-09-23
ST-143,SC-2116,SUB-3501,medium,open,2026-05-10
ST-144,SC-1347,SUB-1898,low,closed,05/09/2025
ST-145,SC-975,SUB-2262,low,open,2026-04-10
ST-146,SC-763,SUB-595,high,waiting,08/12/2026
ST-147,SC-1387,SUB-3901,urgent,waiting,2026-09-06
ST-148,SC-2943,SUB-5340,LOW,open,04/26/2025
ST-149,SC-1206,SUB-1822,low,closed,2026-12-17
ST-150,SC-2581,SUB-416,low,open,12/26/2025
ST-151,SC-2467,SUB-5748,urgent,waiting,05/06/2026
ST-152,SC-1740,SUB-2574,low,waiting,2026-04-06
ST-153,SC-221,SUB-3354,high,open,15-05-2025
ST-154,SC-2928,SUB-5081,low,closed,2025-05-15
ST-155,SC-891,SUB-4655,medium,waiting,11-02-2025
ST-156,SC-2886,SUB-453,urgent,OPEN,01-09-2026
ST-157,SC-1375,SUB-520,urgent,OPEN,12/19/2025
ST-158,SC-300,SUB-3680,LOW,resolved,06/25/2026
ST-159,SC-612,SUB-360,LOW,waiting,06/10/2026
ST-160,SC-2174,SUB-13,medium,open,2026-02-02
