escalation_id,ticket_id,escalated_at,reason
ES-1,ST-2263,2026-12-21,技术疑难
ES-2,ST-3518,09/28/2026,技术疑难
ES-3,ST-104,2025-03-01,SLA 超时
ES-4,ST-358,08/07/2025,客户投诉
ES-5,ST-3168,01-03-2025,技术疑难
ES-6,ST-393,2026-11-01,客户经理要求
ES-7,ST-2865,08/02/2026,客户投诉
ES-8,ST-770,2026-06-08,SLA 超时
ES-9,ST-112,28-11-2025,SLA 超时
ES-10,ST-2610,2026-09-04,客户经理要求
ES-11,ST-3753,25-07-2026,技术疑难
ES-12,ST-2421,2026-12-01,技术疑难
ES-13,ST-2992,2026-06-24,客户经理要求
ES-14,ST-2923,22-03-2026,客户经理要求
ES-15,ST-1724,18-05-2026,技术疑难
ES-16,ST-3833,19-07-2025,客户投诉
ES-17,ST-2011,2025-02-01,客户投诉
ES-18,ST-3715,09/04/2025,客户经理要求
ES-19,ST-2947,28-02-2025,客户投诉
ES-20,ST-946,2026-02-22,技术疑难
ES-21,ST-2564,09/18/2026,SLA 超时
ES-22,ST-927,2026-06-14,技术疑难
ES-23,ST-3159,2025-07-20,客户经理要求
ES-24,ST-3356,12/13/2026,客户投诉
ES-25,ST-881,01/28/2026,技术疑难
ES-26,ST-2883,2025-11-25,技术疑难
ES-27,ST-3420,07/28/2026,客户经理要求
ES-28,ST-1030,2026-03-28,SLA 超时
ES-29,ST-2025,2025-10-16,技术疑难
ES-30,ST-2383,04/21/2025,客户经理要求
ES-31,ST-868,2025-02-27,SLA 超时
ES-32,ST-1625,03/17/2026,技术疑难
ES-33,ST-1424,05/24/2025,技术疑难
ES-34,ST-3363,02/25/2025,技术疑难
ES-35,ST-2410,02/13/2026,客户经理要求
ES-36,ST-954,2025-07-27,SLA 超时
ES-37,ST-1833,2025-01-12,SLA 超时
ES-38,ST-604,06/15/2025,客户投诉
ES-39,ST-3241,2026-04-20,SLA 超时
ES-40,ST-2588,02/22/2026,客户投诉
