usage_id,subscription_id,week,value
US-1,SUB-4835,17,574
US-2,SUB-5304,18,494
US-3,SUB-4189,21,815
US-4,SUB-5297,10,990
US-5,SUB-2576,14,96
US-6,SUB-4458,36,482
US-7,SUB-5754,33,687
US-8,SUB-5150,16,151
US-9,SUB-5723,2,877
US-10,SUB-2504,30,170
US-11,SUB-562,23,755
US-12,SUB-27,1,742
US-13,SUB-3105,39,196
US-14,SUB-4666,18,717
US-15,SUB-5495,21,239
US-16,SUB-636,32,359
US-17,SUB-5889,16,61
US-18,SUB-3918,6,255
US-19,SUB-859,21,749
US-20,SUB-2802,30,558
US-21,SUB-1199,6,918
US-22,SUB-3018,33,698
US-23,SUB-2013,20,881
US-24,SUB-4101,11,571
US-25,SUB-1346,36,643
US-26,SUB-5699,8,763
US-27,SUB-5585,33,69
US-28,SUB-1228,20,914
US-29,SUB-2260,3,944
US-30,SUB-2348,11,569
US-31,SUB-1436,26,849
US-32,SUB-3524,9,541
US-33,SUB-2802,12,548
US-34,SUB-3798,16,231
US-35,SUB-5267,36,242
US-36,SUB-4988,12,825
US-37,SUB-3205,14,558
US-38,SUB-4013,21,84
US-39,SUB-4797,37,594
US-40,SUB-1522,37,770
US-41,SUB-1402,25,681
US-42,SUB-606,21,389
US-43,SUB-3696,6,558
US-44,SUB-4171,36,993
US-45,SUB-688,13,82
US-46,SUB-1718,39,742
US-47,SUB-53,4,728
US-48,SUB-3539,21,264
US-49,SUB-3157,14,562
US-50,SUB-2312,18,875
US-51,SUB-2450,37,941
US-52,SUB-2726,33,881
US-53,SUB-1887,2,904
US-54,SUB-1761,7,240
US-55,SUB-1,9,619
US-56,SUB-1408,3,265
US-57,SUB-2709,30,355
US-58,SUB-5745,27,390
US-59,SUB-4204,28,854
US-60,SUB-2786,37,636
US-61,SUB-776,10,934
US-62,SUB-1097,25,881
US-63,SUB-5024,12,66
US-64,SUB-59,39,685
US-65,SUB-5926,25,260
US-66,SUB-679,7,564
US-67,SUB-4978,22,584
US-68,SUB-284,11,992
US-69,SUB-5455,40,251
US-70,SUB-1964,8,760
US-71,SUB-1734,18,364
US-72,SUB-4121,32,471
US-73,SUB-3716,6,567
US-74,SUB-5467,18,685
US-75,SUB-4651,34,895
US-76,SUB-4774,21,899
US-77,SUB-5984,37,733
US-78,SUB-147,16,339
US-79,SUB-4841,40,777
US-80,SUB-1233,40,61
US-81,SUB-4175,19,731
US-82,SUB-2161,40,160
US-83,SUB-4035,12,932
US-84,SUB-683,20,522
US-85,SUB-1940,1,784
US-86,SUB-3540,5,884
US-87,SUB-3300,17,119
US-88,SUB-4436,13,346
US-89,SUB-1253,27,188
US-90,SUB-6,14,170
US-91,SUB-5242,31,169
US-92,SUB-3046,36,741
US-93,SUB-2654,40,981
US-94,SUB-5585,12,308
US-95,SUB-2441,7,660
US-96,SUB-5025,29,351
US-97,SUB-3388,7,532
US-98,SUB-2172,20,859
US-99,SUB-3361,28,100
US-100,SUB-3854,16,117
US-101,SUB-1618,37,141
US-102,SUB-4205,3,925
US-103,SUB-5123,1,93
US-104,SUB-4611,8,959
US-105,SUB-2489,38,847
US-106,SUB-5856,36,315
US-107,SUB-690,26,299
US-108,SUB-395,3,300
US-109,SUB-4964,23,735
US-110,SUB-4859,12,519
US-111,SUB-2551,31,98
US-112,SUB-4697,29,846
US-113,SUB-3268,34,248
US-114,SUB-4375,1,621
US-115,SUB-961,31,327
US-116,SUB-4015,29,839
US-117,SUB-4516,37,821
US-118,SUB-2993,40,512
US-119,SUB-4877,17,955
US-120,SUB-120,1,69
US-121,SUB-154,38,369
US-122,SUB-2264,29,193
US-123,SUB-4451,15,354
US-124,SUB-5094,9,961
US-125,SUB-325,4,461
US-126,SUB-5112,38,158
US-127,SUB-3990,14,145
US-128,SUB-5782,12,951
US-129,SUB-1510,10,404
US-130,SUB-484,38,50
US-131,SUB-317,9,783
US-132,SUB-945,3,890
US-133,SUB-5313,2,644
US-134,SUB-5556,10,884
US-135,SUB-2553,1,633
US-136,SUB-2266,21,320
US-137,SUB-23,36,198
US-138,SUB-66,17,986
US-139,SUB-273,31,83
US-140,SUB-735,38,540
US-141,SUB-573,15,673
US-142,SUB-271,31,177
US-143,SUB-2594,37,894
US-144,SUB-2200,11,854
US-145,SUB-5131,11,469
US-146,SUB-1445,23,54
US-147,SUB-1521,35,704
US-148,SUB-917,8,415
US-149,SUB-420,36,755
US-150,SUB-377,32,695
US-151,SUB-651,30,679
US-152,SUB-404,40,647
US-153,SUB-5618,31,50
US-154,SUB-1639,4,363
US-155,SUB-3326,19,422
US-156,SUB-5209,11,407
US-157,SUB-2249,14,463
US-158,SUB-3356,27,666
US-159,SUB-3589,39,66
US-160,SUB-2484,33,385
US-161,SUB-3174,1,683
US-162,SUB-428,11,701
US-163,SUB-2265,23,219
US-164,SUB-1530,17,141
US-165,SUB-4847,3,290
US-166,SUB-4108,33,674
US-167,SUB-2445,3,819
US-168,SUB-2200,29,122
US-169,SUB-4800,28,566
US-170,SUB-3507,17,383
US-171,SUB-2892,25,911
US-172,SUB-5500,28,973
US-173,SUB-5456,19,593
US-174,SUB-18,17,72
US-175,SUB-3453,1,971
US-176,SUB-5363,22,571
US-177,SUB-1079,30,37
US-178,SUB-2499,21,578
US-179,SUB-252,7,988
US-180,SUB-1635,40,110
US-181,SUB-2189,32,321
US-182,SUB-5924,34,453
US-183,SUB-5591,26,760
US-184,SUB-2937,15,499
US-185,SUB-2960,23,684
US-186,SUB-4323,10,467
US-187,SUB-1724,19,942
US-188,SUB-1918,2,938
US-189,SUB-1101,39,623
US-190,SUB-3517,36,121
US-191,SUB-412,19,709
US-192,SUB-3139,15,360
US-193,SUB-5822,15,167
US-194,SUB-4417,15,566
US-195,SUB-5320,15,922
US-196,SUB-3419,33,371
US-197,SUB-1398,22,787
US-198,SUB-5005,26,743
US-199,SUB-1673,37,270
US-200,SUB-4861,6,689
US-201,SUB-5534,24,932
US-202,SUB-3094,24,500
US-203,SUB-2072,31,985
US-204,SUB-3247,11,576
US-205,SUB-3537,25,282
US-206,SUB-2597,19,738
US-207,SUB-1941,7,732
US-208,SUB-3659,37,709
US-209,SUB-66,9,672
US-210,SUB-2104,30,859
US-211,SUB-556,14,744
US-212,SUB-4811,39,324
US-213,SUB-1768,34,364
US-214,SUB-5295,19,802
US-215,SUB-1921,5,569
US-216,SUB-203,5,119
US-217,SUB-3229,38,105
US-218,SUB-5255,14,201
US-219,SUB-4606,17,134
US-220,SUB-954,13,99
US-221,SUB-4535,6,681
US-222,SUB-5054,25,283
US-223,SUB-5766,14,714
US-224,SUB-3795,34,407
US-225,SUB-1615,37,709
US-226,SUB-358,39,543
US-227,SUB-5594,40,210
US-228,SUB-1777,10,933
US-229,SUB-4634,27,344
US-230,SUB-5803,16,149
US-231,SUB-447,30,543
US-232,SUB-970,22,855
US-233,SUB-4192,38,232
US-234,SUB-3192,5,705
US-235,SUB-4234,22,259
US-236,SUB-5281,21,632
US-237,SUB-2211,16,769
US-238,SUB-4797,24,498
US-239,SUB-863,29,712
US-240,SUB-5863,20,355
US-241,SUB-1153,16,134
US-242,SUB-5244,31,664
US-243,SUB-2439,28,939
US-244,SUB-1348,11,208
US-245,SUB-2799,39,531
US-246,SUB-2355,25,369
US-247,SUB-423,10,450
US-248,SUB-1566,21,260
US-249,SUB-2255,21,979
US-250,SUB-1146,19,625
US-251,SUB-4055,6,938
US-252,SUB-1677,29,846
US-253,SUB-3361,34,115
US-254,SUB-5386,4,499
US-255,SUB-1849,14,302
US-256,SUB-3567,4,823
US-257,SUB-5799,8,534
US-258,SUB-3764,27,370
US-259,SUB-4281,2,452
US-260,SUB-5617,22,98
US-261,SUB-4886,6,235
US-262,SUB-3950,13,935
US-263,SUB-2362,17,109
US-264,SUB-5740,3,854
US-265,SUB-4499,24,182
US-266,SUB-4031,33,849
US-267,SUB-2105,33,109
US-268,SUB-4301,27,241
US-269,SUB-1017,2,164
US-270,SUB-5883,8,657
US-271,SUB-3027,24,307
US-272,SUB-4340,25,794
US-273,SUB-5905,35,969
US-274,SUB-402,13,650
US-275,SUB-3573,39,275
US-276,SUB-3901,2,438
US-277,SUB-5531,18,333
US-278,SUB-4028,36,121
US-279,SUB-2201,30,44
US-280,SUB-5665,6,504
US-281,SUB-4590,5,169
US-282,SUB-1681,24,760
US-283,SUB-5723,34,994
US-284,SUB-273,1,389
US-285,SUB-1822,7,352
US-286,SUB-3041,19,757
US-287,SUB-4952,6,286
US-288,SUB-1977,30,178
US-289,SUB-3999,13,954
US-290,SUB-2047,17,804
US-291,SUB-1702,4,345
US-292,SUB-5533,18,772
US-293,SUB-819,23,851
US-294,SUB-4021,3,78
US-295,SUB-994,11,525
US-296,SUB-1289,40,355
US-297,SUB-3266,4,243
US-298,SUB-1413,5,137
US-299,SUB-3924,26,201
US-300,SUB-730,37,686
US-301,SUB-3943,8,314
US-302,SUB-2966,30,947
US-303,SUB-3614,14,475
US-304,SUB-1765,2,210
US-305,SUB-3850,35,256
US-306,SUB-4384,3,217
US-307,SUB-3499,11,353
US-308,SUB-647,5,729
US-309,SUB-2288,40,592
US-310,SUB-1584,15,103
US-311,SUB-1343,14,440
US-312,SUB-4898,6,789
US-313,SUB-4794,4,227
US-314,SUB-559,35,28
US-315,SUB-504,12,409
US-316,SUB-1505,13,768
US-317,SUB-3255,33,400
US-318,SUB-2227,33,246
US-319,SUB-5708,10,423
US-320,SUB-685,25,838
US-321,SUB-1437,26,987
US-322,SUB-5379,15,497
US-323,SUB-3345,33,173
US-324,SUB-2485,32,377
US-325,SUB-1937,38,156
US-326,SUB-5756,6,725
US-327,SUB-5679,22,137
US-328,SUB-5238,8,61
US-329,SUB-3648,14,822
US-330,SUB-1095,21,61
US-331,SUB-915,26,149
US-332,SUB-5150,35,287
US-333,SUB-2110,19,951
US-334,SUB-344,1,319
US-335,SUB-5963,7,430
US-336,SUB-121,7,415
US-337,SUB-3683,12,733
US-338,SUB-4105,15,89
US-339,SUB-2092,6,506
US-340,SUB-982,6,229
US-341,SUB-5472,20,27
US-342,SUB-5648,22,634
US-343,SUB-1379,8,740
US-344,SUB-3514,2,867
US-345,SUB-41,20,430
US-346,SUB-2453,25,837
US-347,SUB-1884,17,799
US-348,SUB-4326,4,376
US-349,SUB-3818,11,256
US-350,SUB-2419,34,508
US-351,SUB-5617,2,149
US-352,SUB-639,18,211
US-353,SUB-3557,8,843
US-354,SUB-5388,17,351
US-355,SUB-5990,30,529
US-356,SUB-3770,2,713
US-357,SUB-2456,16,702
US-358,SUB-1004,7,439
US-359,SUB-1261,19,862
US-360,SUB-1234,8,566
US-361,SUB-1404,22,233
US-362,SUB-5065,34,119
US-363,SUB-1397,28,369
US-364,SUB-2630,14,76
US-365,SUB-3659,29,746
US-366,SUB-590,16,77
US-367,SUB-2098,18,875
US-368,SUB-1993,10,764
US-369,SUB-5719,39,896
US-370,SUB-2505,34,767
US-371,SUB-2263,24,849
US-372,SUB-1101,4,189
US-373,SUB-3343,30,201
US-374,SUB-2332,1,109
US-375,SUB-5514,20,426
US-376,SUB-1608,15,649
US-377,SUB-931,30,884
US-378,SUB-1220,38,284
US-379,SUB-5385,1,252
US-380,SUB-5261,35,892
US-381,SUB-2726,38,326
US-382,SUB-1181,6,792
US-383,SUB-4985,7,403
US-384,SUB-2957,33,953
US-385,SUB-4513,14,452
US-386,SUB-1992,24,259
US-387,SUB-530,13,522
US-388,SUB-3353,27,318
US-389,SUB-4222,2,415
US-390,SUB-3933,22,363
US-391,SUB-5026,33,297
US-392,SUB-808,35,135
US-393,SUB-4936,11,241
US-394,SUB-709,24,135
US-395,SUB-5467,16,521
US-396,SUB-2826,40,853
US-397,SUB-2819,17,907
US-398,SUB-4749,11,871
US-399,SUB-782,38,471
US-400,SUB-4493,38,898
US-401,SUB-3387,19,15
US-402,SUB-1121,15,442
US-403,SUB-1503,11,673
US-404,SUB-3535,22,132
US-405,SUB-652,8,815
US-406,SUB-2403,25,224
US-407,SUB-3106,40,987
US-408,SUB-2034,38,884
US-409,SUB-1041,3,533
US-410,SUB-3254,36,385
US-411,SUB-1935,24,399
US-412,SUB-4496,13,799
US-413,SUB-2289,26,371
US-414,SUB-3539,7,715
US-415,SUB-4135,19,907
