supplier_id,supplier_name,supplier_email,location,since_date,rating
MFG-1,王洋Tyrell,tyrell0@corp.com,US,13-03-2022,3
MFG-2,胡磊Vandelay,vandelay1@163.com,US,2021-03-04,4
MFG-3,MFG Aperture 胡平,aperture2@qq.com,CN,2024-10-03,3
MFG-4,Hooli张涛,hooli3@qq.com,SG,2023-01-17,3
MFG-5,吴艳Hooli,hooli4@163.com,US,2022-11-16,1
MFG-6,MFG 刘勇 Vandelay,vandelay5@gmail.com,US,06/20/2020,4
MFG-7,何丽Wayne,wayne6@outlook.com,DE,2024-04-09,1
MFG-8,Umbrella郑平,umbrella7@corp.com,DE,2023-04-11,3
MFG-9,MFG 李芳 Acme,acme8@outlook.com,DE,09/26/2020,4
MFG-10,Prestige朱霞,prestige9@qq.com,DE,2021-02-06,1
MFG-11,MFG 何霞 Umbrella,umbrella10@corp.com,CN,2023-03-03,3
MFG-12,MFG Oscorp 吴超,oscorp11@company.cn,CN,2024-01-10,1
MFG-13,MFG Prestige 林霞,prestige12@qq.com,SG,19-06-2020,5
MFG-14,MFG 陈伟 Globex,globex13@company.cn,US,09/19/2024,2
MFG-15,杨秀英Acme,acme14@company.cn,SG,09/17/2024,3
MFG-16,MFG Aperture 吴静,aperture15@company.cn,SG,2022-12-02,4
MFG-17,赵娜Aperture,aperture16@gmail.com,JP,2024-05-03,3
MFG-18,MFG 何超 Cyberdyne,cyberdyne17@qq.com,JP,2020-10-21,1
MFG-19,Vandelay马超,vandelay18@gmail.com,CN,02/25/2021,4
MFG-20,黄霞Hooli,hooli19@outlook.com,US,03/06/2021,5
MFG-21,MFG Weyland 何娟,weyland20@qq.com,JP,12/07/2024,2
MFG-22,Vandelay陈伟,vandelay21@outlook.com,JP,11/25/2021,5
MFG-23,Aperture刘敏,aperture22@corp.com,CN,09/24/2024,2
MFG-24,Tyrell徐涛,tyrell23@qq.com,CN,01/07/2021,5
MFG-25,陈丽Hooli,hooli24@company.cn,JP,2023-04-06,1
MFG-26,Cyberdyne李军,cyberdyne25@outlook.com,CN,07/22/2022,2
MFG-27,Hooli黄超,hooli26@outlook.com,CN,2021-04-03,2
MFG-28,吴洋Aperture,aperture27@outlook.com,JP,2023-10-27,2
MFG-29,DunderMifflin赵明,dundermifflin28@163.com,US,14-08-2022,4
MFG-30,Wayne郭强,wayne29@gmail.com,JP,2023-11-10,4
MFG-31,MFG Wayne 罗霞,wayne30@company.cn,SG,2020-12-28,5
MFG-32,王娜Vandelay,vandelay31@gmail.com,US,08/01/2020,4
MFG-33,MFG Wayne 朱涛,wayne32@company.cn,US,01-12-2022,2
MFG-34,吴涛Hooli,hooli33@gmail.com,DE,2020-05-06,4
MFG-35,Acme孙强,acme34@163.com,CN,12-03-2023,2
MFG-36,黄伟Prestige,prestige35@corp.com,JP,2023-11-11,4
MFG-37,赵磊PiedPiper,piedpiper36@corp.com,US,2020-11-06,4
MFG-38,MFG Hooli 马强,hooli37@163.com,US,2021-06-18,4
MFG-39,何敏Weyland,weyland38@corp.com,SG,06/27/2021,2
MFG-40,MFG 刘涛 Dunder Mifflin,dundermifflin39@corp.com,DE,05/15/2024,2
MFG-41,PIEDPIPER INDUSTRIES,mfg40@163.com,CN,2023-05-09,4
MFG-42,  Dunder Mifflin Industries ,mfg41@corp.com,CN,2021-04-28,5
MFG-43,GLOBEX INDUSTRIES,mfg42@outlook.com,CN,19-05-2022,4
MFG-44,Yutani Industries,mfg43@163.com,CN,2020-02-09,5
MFG-45,DUNDER MIFFLIN INDUSTRIES,mfg44@company.cn,CN,2020-03-08,5
MFG-46,DUNDER MIFFLIN INDUSTRIES,mfg45@163.com,CN,06/08/2024,1
MFG-47,Hooli Industries,mfg46@gmail.com,CN,20-10-2021,2
MFG-48,DUNDER MIFFLIN INDUSTRIES,mfg47@corp.com,CN,17-03-2020,2
