supplier_id,supplier_name,supplier_email,location,since_date,rating
MFG-1,王洋tyrell,tyrell0@corp.com,US,13-03-2022,3
MFG-2,胡磊vandelay,vandelay1@163.com,US,2021-03-04,4
MFG-3,mfg aperture 胡平,aperture2@qq.com,CN,2024-10-03,3
MFG-4,hooli张涛,hooli3@qq.com,SG,2023-01-17,3
MFG-5,吴艳hooli,hooli4@163.com,US,2022-11-16,1
MFG-6,mfg 刘勇 vandelay,vandelay5@gmail.com,US,06/20/2020,4
MFG-7,何丽wayne,wayne6@outlook.com,DE,2024-04-09,1
MFG-8,umbrella郑平,umbrella7@corp.com,DE,2023-04-11,3
MFG-9,mfg 李芳 acme,acme8@outlook.com,DE,09/26/2020,4
MFG-10,prestige朱霞,prestige9@qq.com,DE,2021-02-06,1
MFG-11,mfg 何霞 umbrella,umbrella10@corp.com,CN,2023-03-03,3
MFG-12,mfg oscorp 吴超,oscorp11@company.cn,CN,2024-01-10,1
MFG-13,mfg prestige 林霞,prestige12@qq.com,SG,19-06-2020,5
MFG-14,mfg 陈伟 globex,globex13@company.cn,US,09/19/2024,2
MFG-15,杨秀英acme,acme14@company.cn,SG,09/17/2024,3
MFG-16,mfg aperture 吴静,aperture15@company.cn,SG,2022-12-02,4
MFG-17,赵娜aperture,aperture16@gmail.com,JP,2024-05-03,3
MFG-18,mfg 何超 cyberdyne,cyberdyne17@qq.com,JP,2020-10-21,1
MFG-19,vandelay马超,vandelay18@gmail.com,CN,02/25/2021,4
MFG-20,黄霞hooli,hooli19@outlook.com,US,03/06/2021,5
MFG-21,mfg weyland 何娟,weyland20@qq.com,JP,12/07/2024,2
MFG-22,vandelay陈伟,vandelay21@outlook.com,JP,11/25/2021,5
MFG-23,aperture刘敏,aperture22@corp.com,CN,09/24/2024,2
MFG-24,tyrell徐涛,tyrell23@qq.com,CN,01/07/2021,5
MFG-25,陈丽hooli,hooli24@company.cn,JP,2023-04-06,1
MFG-26,cyberdyne李军,cyberdyne25@outlook.com,CN,07/22/2022,2
MFG-27,hooli黄超,hooli26@outlook.com,CN,2021-04-03,2
MFG-28,吴洋aperture,aperture27@outlook.com,JP,2023-10-27,2
MFG-29,dundermifflin赵明,dundermifflin28@163.com,US,14-08-2022,4
MFG-30,wayne郭强,wayne29@gmail.com,JP,2023-11-10,4
MFG-31,mfg wayne 罗霞,wayne30@company.cn,SG,2020-12-28,5
MFG-32,王娜vandelay,vandelay31@gmail.com,US,08/01/2020,4
MFG-33,mfg wayne 朱涛,wayne32@company.cn,US,01-12-2022,2
MFG-34,吴涛hooli,hooli33@gmail.com,DE,2020-05-06,4
MFG-35,acme孙强,acme34@163.com,CN,12-03-2023,2
MFG-36,黄伟prestige,prestige35@corp.com,JP,2023-11-11,4
MFG-37,赵磊piedpiper,piedpiper36@corp.com,US,2020-11-06,4
MFG-38,mfg hooli 马强,hooli37@163.com,US,2021-06-18,4
MFG-39,何敏weyland,weyland38@corp.com,SG,06/27/2021,2
MFG-40,mfg 刘涛 dunder mifflin,dundermifflin39@corp.com,DE,05/15/2024,2
MFG-41,piedpiper industries,mfg40@163.com,CN,2023-05-09,4
MFG-42,dunder mifflin industries,mfg41@corp.com,CN,2021-04-28,5
MFG-43,globex industries,mfg42@outlook.com,CN,19-05-2022,4
MFG-44,yutani industries,mfg43@163.com,CN,2020-02-09,5
MFG-45,dunder mifflin industries,mfg44@company.cn,CN,2020-03-08,5
MFG-46,dunder mifflin industries,mfg45@163.com,CN,06/08/2024,1
MFG-47,hooli industries,mfg46@gmail.com,CN,20-10-2021,2
MFG-48,dunder mifflin industries,mfg47@corp.com,CN,17-03-2020,2
MFG-49,dunder mifflin industries,mfg48@qq.com,CN,04/09/2023,3
MFG-50,stark industries,mfg49@163.com,CN,06-06-2020,5
MFG-51,hooli industries,mfg50@company.cn,CN,2022-09-11,3
