shipment_id,supplier_id,part_number,quantity,unit_cost,order_date,arrival_date,lead_time_days
SHIP-1,MFG-20,PN-4485,170,99.93,2021-05-04,2022-06-20,13
SHIP-2,MFG-106,PN-2709,169,13,2022-12-06,2024-04-11,9
SHIP-3,MFG-26,PN-5208,108,62,03/26/2021,2020-03-06,3
SHIP-4,MFG-22,PN-3490,72,1.05,04/11/2021,2024-10-16,9
SHIP-5,MFG-175,PN-1028,105,44,2021-02-19,2021-02-06,11
SHIP-6,MFG-75,PN-7388,166,82.08,2023-07-21,03/03/2020,25
SHIP-7,MFG-117,PN-5831,33,66.35,18-03-2023,2020-09-18,28
SHIP-8,MFG-94,PN-4360,39,92,2022-07-13,2023-11-06,7
SHIP-9,MFG-45,PN-9744,184,16.63,2023-08-19,2020-08-26,10
SHIP-10,MFG-48,PN-1241,101,23.37,2022-02-05,2023-09-06,33
SHIP-11,MFG-43,PN-1080,180,"70,08",2023-05-28,08/02/2020,20
SHIP-12,MFG-42,PN-7031,136,81.23,2023-10-20,2022-04-01,26
SHIP-13,MFG-119,PN-3669,66,"28,59",09-12-2022,2021-02-13,6
SHIP-14,MFG-104,PN-3184,32,14,2021-02-09,06/06/2024,2
SHIP-15,MFG-190,PN-1412,128,"24,53",2020-02-20,2022-11-22,15
SHIP-16,MFG-17,PN-1280,66,35.81,02-03-2024,2023-02-05,5
SHIP-17,MFG-133,PN-5455,139,15.94,05/24/2024,05/25/2020,19
SHIP-18,MFG-157,PN-8344,117,88.18,2022-12-17,28-10-2024,23
SHIP-19,MFG-168,PN-1750,129,13.39,05/06/2023,07-02-2020,26
SHIP-20,MFG-89,PN-7722,19,65,04/24/2022,2024-01-22,23
SHIP-21,MFG-18,PN-1069,173,98.3,2021-12-20,2023-04-22,24
SHIP-22,MFG-59,PN-6037,158,"16,89",2022-07-16,20-08-2021,10
SHIP-23,MFG-149,PN-1167,80,40.91,2021-12-21,2020-05-20,18
SHIP-24,MFG-139,PN-9264,57,49.6,2021-11-23,2020-11-08,28
SHIP-25,MFG-41,PN-7015,14,12,2021-03-20,12/08/2021,23
SHIP-26,MFG-123,PN-3690,19,90,17-10-2024,02/23/2022,22
SHIP-27,MFG-187,PN-5403,47,24.51,2020-04-03,06/26/2023,29
SHIP-28,MFG-38,PN-4939,168,71,23-09-2021,2024-01-15,12
SHIP-29,MFG-104,PN-4336,72,"65,18",2020-07-03,2020-03-26,23
SHIP-30,MFG-85,PN-4947,79,71.42,2020-04-25,2023-03-23,13
SHIP-31,MFG-27,PN-5220,156,20.16,13-01-2023,2020-04-09,10
SHIP-32,MFG-86,PN-9311,141,20,2023-07-10,16-12-2023,1
SHIP-33,MFG-164,PN-7312,191,32,2024-04-06,06/28/2024,54
SHIP-34,MFG-192,PN-9685,95,"75,2",2022-01-03,2022-05-06,20
SHIP-35,MFG-62,PN-8803,185,"56,82",2020-04-08,2024-05-08,20
SHIP-36,MFG-177,PN-8589,169,5.98,2021-06-27,03/09/2022,67
SHIP-37,MFG-147,PN-5002,47,92.57,2021-07-12,08/09/2022,16
SHIP-38,MFG-62,PN-9985,144,58.64,21-08-2023,2022-07-01,8
SHIP-39,MFG-80,PN-1127,39,69.95,2020-11-22,2021-02-04,5
SHIP-40,MFG-15,PN-3638,107,101,2022-04-28,15-08-2024,22
SHIP-41,MFG-99,PN-6051,122,59.77,07/14/2022,2021-05-13,5
SHIP-42,MFG-26,PN-1343,13,65,2022-02-28,2021-10-16,28
SHIP-43,MFG-143,PN-4275,171,11.93,25-03-2022,13-01-2021,12
SHIP-44,MFG-57,PN-2838,56,98.95,2020-10-12,2024-09-16,21
SHIP-45,MFG-128,PN-6128,139,82,2021-11-17,01/21/2023,23
SHIP-46,MFG-185,PN-1956,96,91.21,2021-03-12,03-08-2024,1
SHIP-47,MFG-180,PN-4827,14,12,01/06/2020,2022-01-18,66
SHIP-48,MFG-122,PN-8371,102,"68,59",10/27/2022,2020-10-16,55
SHIP-49,MFG-64,PN-1197,81,99,11/01/2021,2020-03-24,6
SHIP-50,MFG-176,PN-2109,91,1.96,02/06/2023,05/26/2020,29
SHIP-51,MFG-185,PN-7459,74,47.84,2020-09-21,12/15/2024,25
SHIP-52,MFG-42,PN-5481,93,101,10/14/2020,2024-01-25,23
SHIP-53,MFG-2,PN-8873,171,63,2022-06-01,28-08-2024,18
SHIP-54,MFG-58,PN-8964,51,32,10/02/2022,2022-02-11,56
SHIP-55,MFG-88,PN-1038,175,25.81,10-10-2023,2023-04-01,7
SHIP-56,MFG-59,PN-1549,10,12,2021-02-07,2021-07-07,23
SHIP-57,MFG-18,PN-5535,14,43,21-10-2024,2022-06-22,18
SHIP-58,MFG-6,PN-9185,5,37,2023-04-23,08/12/2022,10
SHIP-59,MFG-164,PN-5441,119,80.54,16-12-2024,2020-07-16,38
SHIP-60,MFG-87,PN-7847,86,57,2022-12-16,2022-11-01,30
SHIP-61,MFG-199,PN-2382,126,87.06,11/24/2024,2021-09-02,5
SHIP-62,MFG-198,PN-5150,101,33,22-02-2022,2021-05-23,23
SHIP-63,MFG-142,PN-6144,136,51.61,21-09-2021,2024-06-12,19
SHIP-64,MFG-195,PN-7534,160,"23,11",2021-02-13,2022-01-24,31
SHIP-65,MFG-45,PN-6823,129,13.78,2021-12-06,16-02-2020,25
SHIP-66,MFG-54,PN-4853,96,44.08,02/06/2023,2021-08-08,28
SHIP-67,MFG-172,PN-9205,106,58.96,04-06-2024,2021-10-12,30
SHIP-68,MFG-90,PN-2037,190,24.21,09/04/2021,2020-10-12,26
SHIP-69,MFG-128,PN-9598,20,83.8,02/23/2020,02/08/2022,15
SHIP-70,MFG-114,PN-6378,50,100.7,02/03/2022,16-01-2024,2
SHIP-71,MFG-154,PN-4781,98,56,04/05/2021,04/28/2024,15
SHIP-72,MFG-197,PN-3050,136,87.82,2020-08-23,2021-10-04,12
SHIP-73,MFG-110,PN-9059,60,16,12/07/2020,06/17/2023,24
SHIP-74,MFG-110,PN-8024,3,"24,85",24-10-2023,2020-04-07,18
SHIP-75,MFG-118,PN-1995,6,74.2,12/15/2020,08/18/2023,30
SHIP-76,MFG-126,PN-3466,128,30.42,2024-08-09,2023-01-27,10
SHIP-77,MFG-106,PN-2168,2,83,13-02-2024,09-12-2023,22
SHIP-78,MFG-184,PN-5775,146,10.69,2022-01-01,2022-02-03,27
SHIP-79,MFG-83,PN-9993,52,90.62,2021-09-14,25-08-2022,13
SHIP-80,MFG-133,PN-2693,17,"8,37",2024-01-03,2023-08-18,18
SHIP-81,MFG-99,PN-9558,128,1.49,11/02/2021,07/25/2020,6
SHIP-82,MFG-16,PN-3067,174,72,24-08-2020,23-07-2023,9
SHIP-83,MFG-1,PN-2081,102,16.45,05/25/2021,2020-04-13,1
SHIP-84,MFG-108,PN-7467,144,35.59,2022-08-06,2020-04-25,21
SHIP-85,MFG-158,PN-4998,52,92.41,06/20/2022,2022-07-14,20
SHIP-86,MFG-43,PN-7612,32,1.34,2020-10-19,2022-12-09,4
SHIP-87,MFG-80,PN-9119,74,"72,62",2022-12-14,2024-08-09,59
SHIP-88,MFG-193,PN-7225,97,73.35,2021-09-20,2021-02-08,61
SHIP-89,MFG-42,PN-2184,31,"17,28",17-03-2022,2024-03-02,8
SHIP-90,MFG-148,PN-9055,74,92.55,12-09-2020,2020-05-10,37
SHIP-91,MFG-69,PN-1417,177,23,2024-08-10,2020-10-03,5
SHIP-92,MFG-118,PN-4259,30,73.39,2020-04-22,05-10-2021,1
SHIP-93,MFG-118,PN-2740,119,"24,7",2024-12-07,2020-02-18,25
SHIP-94,MFG-3,PN-3351,162,"48,78",09-08-2023,10/10/2021,8
SHIP-95,MFG-44,PN-1151,181,52.11,2022-07-25,2024-02-03,18
SHIP-96,MFG-108,PN-6971,40,"60,17",2021-11-05,2021-04-26,57
SHIP-97,MFG-169,PN-6214,109,49.18,22-04-2022,2022-05-23,19
SHIP-98,MFG-9,PN-6497,153,43.54,12/13/2023,2021-04-14,12
SHIP-99,MFG-101,PN-4728,195,76,12/27/2020,2024-08-01,11
SHIP-100,MFG-60,PN-4857,56,"95,76",2024-10-03,2021-08-27,21
SHIP-101,MFG-157,PN-9577,71,2,2020-01-17,2021-10-17,28
SHIP-102,MFG-50,PN-3503,172,76.38,12/09/2024,2020-02-08,3
SHIP-103,MFG-129,PN-8641,125,89,09-03-2020,2024-11-18,1
SHIP-104,MFG-88,PN-6479,170,23.19,24-07-2020,2022-09-20,3
SHIP-105,MFG-178,PN-7177,133,82,2023-12-01,2022-06-04,42
SHIP-106,MFG-150,PN-3179,170,79.19,2024-04-21,03/12/2021,7
SHIP-107,MFG-76,PN-2314,6,15.22,2021-08-14,2021-02-03,30
SHIP-108,MFG-136,PN-9494,3,99.92,2024-06-21,12-11-2020,3
SHIP-109,MFG-140,PN-8686,194,30.87,08/08/2024,2024-04-14,22
SHIP-110,MFG-83,PN-8160,150,23.15,2024-02-14,2024-04-01,56
SHIP-111,MFG-129,PN-2769,160,20,2022-06-12,04/01/2020,25
SHIP-112,MFG-25,PN-1568,130,19.98,2020-06-20,06-10-2020,2
SHIP-113,MFG-65,PN-7870,99,1.13,09/07/2024,12/10/2024,17
SHIP-114,MFG-197,PN-4978,187,"14,2",10-06-2024,2023-08-04,35
SHIP-115,MFG-19,PN-2165,148,76,01/08/2020,02/07/2022,17
SHIP-116,MFG-125,PN-4937,15,86,22-01-2023,2024-01-04,20
SHIP-117,MFG-6,PN-5806,194,60.96,2020-09-16,2024-09-02,5
SHIP-118,MFG-175,PN-4418,56,52.16,2021-11-17,04/24/2023,1
SHIP-119,MFG-189,PN-6408,105,"50,98",09-06-2022,05/20/2024,2
SHIP-120,MFG-100,PN-1278,184,63,2022-07-14,10/03/2024,11
SHIP-121,MFG-20,PN-2570,49,57.72,2021-05-17,06/03/2021,11
SHIP-122,MFG-146,PN-6139,96,55,2021-06-08,2020-12-28,11
SHIP-123,MFG-6,PN-1815,164,19,2024-04-28,04-07-2021,9
SHIP-124,MFG-78,PN-1333,54,"77,62",2020-06-18,2024-05-13,2
SHIP-125,MFG-72,PN-6094,134,"93,33",2022-07-24,02/15/2024,26
SHIP-126,MFG-94,PN-6470,129,"4,7",2021-01-06,05/16/2023,5
SHIP-127,MFG-53,PN-3839,178,89.81,22-05-2024,08/03/2021,10
SHIP-128,MFG-61,PN-7199,22,49.64,2022-11-02,2023-02-11,68
SHIP-129,MFG-188,PN-5577,92,"54,9",2021-08-02,07/15/2020,25
SHIP-130,MFG-64,PN-2878,194,43,2021-04-04,2023-02-13,41
SHIP-131,MFG-86,PN-5144,62,53,10-02-2022,10/02/2024,11
SHIP-132,MFG-180,PN-5316,153,41,25-06-2022,06/05/2020,19
SHIP-133,MFG-191,PN-1395,125,86,09/17/2021,2023-06-08,6
SHIP-134,MFG-82,PN-9317,142,33.14,08/09/2021,2022-10-14,12
SHIP-135,MFG-84,PN-5822,103,31,12/16/2023,2024-12-26,23
SHIP-136,MFG-94,PN-3410,164,72.46,03/06/2023,2020-09-18,4
SHIP-137,MFG-186,PN-1608,106,95.12,2021-10-26,09/20/2022,36
SHIP-138,MFG-192,PN-8925,47,19,07/12/2020,26-12-2022,19
SHIP-139,MFG-51,PN-1550,15,62.46,02-03-2023,09-06-2022,20
SHIP-140,MFG-149,PN-5925,135,60.72,01/16/2020,12-07-2022,20
SHIP-141,MFG-4,PN-4296,130,10.14,06/19/2022,2020-11-23,29
SHIP-142,MFG-38,PN-7406,149,83,2024-09-03,13-11-2024,27
SHIP-143,MFG-199,PN-9177,192,43,04-03-2024,2021-01-10,15
SHIP-144,MFG-125,PN-9190,10,"27,2",2021-03-04,12/02/2023,8
SHIP-145,MFG-185,PN-4735,166,17,01/23/2024,2023-11-23,24
SHIP-146,MFG-48,PN-6415,104,2.93,01/11/2022,11/03/2020,21
SHIP-147,MFG-15,PN-4885,153,36,2024-07-15,17-06-2020,3
SHIP-148,MFG-100,PN-9190,34,18.54,2023-05-25,08/16/2023,37
SHIP-149,MFG-187,PN-7657,125,30,2023-11-18,2024-07-21,1
SHIP-150,MFG-143,PN-3229,147,3,08/23/2022,2021-05-02,19
SHIP-151,MFG-97,PN-8057,102,38.37,10/23/2022,2022-07-17,22
SHIP-152,MFG-79,PN-8783,89,50.49,06/10/2024,08/23/2021,24
SHIP-153,MFG-156,PN-5881,144,63.02,09/15/2021,2020-04-15,50
SHIP-154,MFG-46,PN-2390,78,6.13,2021-12-26,2024-10-22,18
SHIP-155,MFG-3,PN-4616,190,75,06/22/2022,2021-07-10,20
SHIP-156,MFG-16,PN-6127,43,"31,75",2022-01-03,02/17/2023,9
SHIP-157,MFG-41,PN-3763,88,41.21,2022-04-21,2021-12-25,12
SHIP-158,MFG-11,PN-2922,83,25.91,10/11/2022,07/23/2021,18
SHIP-159,MFG-198,PN-5082,116,"1,17",2021-06-03,03/04/2022,10
SHIP-160,MFG-34,PN-4629,132,36.11,2022-12-12,10/05/2023,45
SHIP-161,MFG-79,PN-3055,155,58.74,2023-12-02,02/06/2020,30
SHIP-162,MFG-157,PN-5155,14,91,2024-02-03,2023-09-02,19
SHIP-163,MFG-165,PN-6888,170,"86,44",2023-09-06,2020-04-20,36
