subscription_id,account_id,product,quantity,unit_price,start_date,end_date,status
SUB-1,SAAS-307,platform,19,350.7,2023-12-21,2024-11-18,cancelled
SUB-2,SAAS-111,support,28,395,2024-08-20,2023-12-20,active
SUB-3,SAAS-35,support,-3,380.24,2020-01-13,2022-04-05,active
SUB-4,SAAS-108,support,47,192,2021-06-15,2022-02-15,active
SUB-5,SAAS-31,support,17,263,2021-03-24,2020-05-28,active
SUB-6,SAAS-338,platform,10,90.96,2023-01-17,2021-03-17,active
SUB-7,SAAS-199,api,2,263.99,2022-11-11,01-01-2023,past_due
SUB-8,SAAS-121,platform,36,433.86,26-09-2021,11/02/2022,cancelled
SUB-9,SAAS-233,support,14,282,12-02-2021,2022-02-24,active
SUB-10,SAAS-216,support,26,195.61,2020-10-26,15-10-2020,past_due
SUB-11,SAAS-253,platform,49,314.42,2024-12-02,10/08/2023,active
SUB-12,SAAS-237,modules,11,305.42,2024-07-10,16-09-2022,active
SUB-13,SAAS-75,platform,31,121.93,2020-12-17,2020-06-17,active
SUB-14,SAAS-266,api,38,493.55,2021-02-27,09/04/2020,active
SUB-15,SAAS-139,api,19,309.45,2022-01-11,2023-08-13,active
SUB-16,SAAS-259,api,20,377.12,09-02-2020,2021-04-06,cancelled
SUB-17,SAAS-260,platform,18,50.07,2023-12-09,12-09-2024,cancelled
SUB-18,SAAS-124,platform,-9,476,2021-03-11,2024-07-17,active
SUB-19,SAAS-303,platform,10,447.29,2022-10-26,07/01/2020,past_due
SUB-20,SAAS-349,platform,17,288.76,2020-06-27,01/24/2022,active
SUB-21,SAAS-287,api,50,297,2022-11-02,11/06/2024,active
SUB-22,SAAS-41,platform,13,208.43,2022-05-01,2021-06-14,past_due
SUB-23,SAAS-5,support,38,262.58,23-11-2021,2020-06-28,active
SUB-24,SAAS-41,platform,41,158,2022-05-11,2022-01-15,active
SUB-25,SAAS-140,modules,4,113.41,26-05-2023,05-09-2020,active
SUB-26,SAAS-337,platform,-2,181.88,2020-03-06,11/08/2023,cancelled
SUB-27,SAAS-317,platform,42,87.65,2021-11-05,2021-05-05,active
SUB-28,SAAS-71,support,13,338.21,2022-11-19,10/27/2022,cancelled
SUB-29,SAAS-227,support,48,123.23,14-04-2024,25-10-2021,active
SUB-30,SAAS-265,platform,45,40.71,2021-01-22,2022-03-17,past_due
SUB-31,SAAS-338,api,29,120.08,2024-09-20,07/03/2024,cancelled
SUB-32,SAAS-312,modules,46,203.51,2022-08-17,2020-10-25,active
SUB-33,SAAS-142,api,20,104.72,2024-10-02,2020-12-07,active
SUB-34,SAAS-152,modules,21,90.41,01-11-2020,2023-10-10,past_due
SUB-35,SAAS-191,support,9,219,2020-11-03,08/16/2023,past_due
SUB-36,SAAS-22,support,9,412.67,2020-08-23,04/06/2022,past_due
SUB-37,SAAS-35,api,25,403,2021-07-26,12-03-2022,active
SUB-38,SAAS-240,modules,14,374,2021-04-23,08/21/2021,active
SUB-39,SAAS-57,modules,19,483.23,2021-10-21,13-06-2021,active
SUB-40,SAAS-64,modules,29,485,16-10-2020,03/03/2022,active
SUB-41,SAAS-253,platform,39,294.55,2020-06-24,02/10/2021,cancelled
SUB-42,SAAS-15,support,-4,231.21,2020-12-27,2024-03-15,active
SUB-43,SAAS-382,platform,13,63,2020-03-20,12-04-2020,active
SUB-44,SAAS-346,api,21,486,2022-11-07,12-01-2021,past_due
SUB-45,SAAS-89,platform,31,359,2020-12-28,11/08/2024,active
SUB-46,SAAS-73,modules,28,479.67,2024-01-22,06/21/2021,active
SUB-47,SAAS-68,platform,9,308,2021-03-02,2021-05-20,past_due
SUB-48,SAAS-355,api,38,156.6,2020-09-23,2024-11-02,active
SUB-49,SAAS-223,platform,28,63.94,2022-09-06,15-08-2021,active
SUB-50,SAAS-274,modules,17,325.48,2024-03-27,2020-01-04,past_due
SUB-51,SAAS-3,support,44,184.24,2022-08-05,2024-06-01,past_due
SUB-52,SAAS-237,api,48,189.52,2023-03-28,02-11-2022,active
SUB-53,SAAS-45,support,7,490,2022-01-18,17-10-2020,cancelled
SUB-54,SAAS-85,api,31,117.24,14-01-2024,2023-11-02,past_due
SUB-55,SAAS-355,modules,33,156,2023-02-16,2023-06-25,active
SUB-56,SAAS-67,modules,41,93.24,04-02-2021,12/02/2023,active
SUB-57,SAAS-249,modules,47,408.23,25-06-2024,2020-12-03,active
SUB-58,SAAS-251,modules,2,497,2022-11-04,21-12-2024,cancelled
SUB-59,SAAS-359,platform,35,372,2023-10-21,2022-12-20,cancelled
SUB-60,SAAS-139,api,-7,177.92,2024-05-02,06/18/2024,past_due
SUB-61,SAAS-155,support,44,376,2024-02-15,2023-05-24,active
SUB-62,SAAS-77,support,47,485,2024-11-28,16-12-2023,active
SUB-63,SAAS-186,support,19,164.62,06-01-2020,2023-11-09,active
SUB-64,SAAS-310,api,4,422.7,2024-01-07,2024-03-04,active
SUB-65,SAAS-209,api,-7,336,2020-12-26,12/11/2021,active
SUB-66,SAAS-349,platform,45,168.78,10-09-2023,21-01-2022,past_due
SUB-67,SAAS-17,api,33,237.99,2022-04-06,2024-11-13,active
SUB-68,SAAS-108,platform,22,113.19,2020-06-15,12/06/2023,past_due
SUB-69,SAAS-264,api,20,406.4,2024-02-01,2023-11-03,active
SUB-70,SAAS-197,api,30,250,2020-10-09,2024-06-20,active
SUB-71,SAAS-221,api,16,383.47,2023-09-19,10-07-2023,active
SUB-72,SAAS-218,api,28,194.34,2022-02-06,05-03-2023,active
SUB-73,SAAS-46,support,10,132.35,2024-02-16,10/16/2024,cancelled
SUB-74,SAAS-140,platform,29,427,2021-06-12,04/12/2024,cancelled
SUB-75,SAAS-249,support,4,507.59,2022-01-09,2020-11-16,active
SUB-76,SAAS-45,api,49,356,2023-07-20,2023-04-21,active
SUB-77,SAAS-134,modules,27,504.36,2020-12-11,03-08-2022,active
SUB-78,SAAS-27,modules,9,152.81,26-05-2024,03-01-2022,active
SUB-79,SAAS-233,platform,-8,506.04,2021-08-06,2021-08-25,cancelled
SUB-80,SAAS-169,support,29,498.19,19-05-2021,24-06-2024,active
SUB-81,SAAS-107,modules,16,304.94,2023-12-06,2021-10-18,past_due
SUB-82,SAAS-336,api,19,452.81,25-06-2023,05/27/2021,cancelled
SUB-83,SAAS-257,platform,11,339.36,2023-01-02,03/12/2023,active
SUB-84,SAAS-127,api,29,90,2022-08-03,15-06-2022,active
SUB-85,SAAS-307,support,3,395,21-08-2021,2022-04-01,cancelled
SUB-86,SAAS-236,support,4,158,2023-03-07,2021-08-11,active
SUB-87,SAAS-87,modules,35,311.85,2022-05-01,13-02-2021,past_due
SUB-88,SAAS-238,api,41,130,09-11-2020,2020-12-09,past_due
SUB-89,SAAS-365,modules,25,141,2021-08-07,01/24/2023,active
SUB-90,SAAS-26,support,16,425,2024-05-03,2020-05-26,cancelled
SUB-91,SAAS-95,modules,7,174.55,2022-12-06,03-01-2021,active
SUB-92,SAAS-233,platform,19,246.29,2022-12-13,09-04-2022,active
SUB-93,SAAS-31,platform,11,53.07,2020-10-05,2023-07-03,active
SUB-94,SAAS-282,api,43,493.32,2021-12-12,2023-12-04,active
SUB-95,SAAS-82,support,29,330.44,2021-12-10,2022-11-11,active
SUB-96,SAAS-233,platform,37,499.04,2020-08-02,08-08-2021,active
SUB-97,SAAS-100,api,6,293.85,2021-08-23,12/08/2021,active
SUB-98,SAAS-135,modules,17,69.65,2022-03-06,2021-03-24,active
SUB-99,SAAS-181,api,46,191,2024-07-10,2020-03-01,past_due
SUB-100,SAAS-109,api,23,65.9,2024-01-09,02-10-2021,active
SUB-101,SAAS-398,support,31,457,2020-12-09,2022-12-28,past_due
SUB-102,SAAS-99,api,32,59.19,2020-07-24,24-06-2023,active
SUB-103,SAAS-62,modules,19,99.99,2023-06-13,2023-02-23,cancelled
SUB-104,SAAS-50,support,20,403,2023-04-17,01/15/2022,cancelled
SUB-105,SAAS-33,platform,14,104.46,2023-12-07,2021-09-27,active
SUB-106,SAAS-189,modules,43,407.91,11-10-2020,02/22/2021,active
SUB-107,SAAS-263,modules,44,13,2020-10-06,2023-01-03,active
SUB-108,SAAS-355,modules,3,390,11-05-2021,06/28/2020,past_due
SUB-109,SAAS-392,platform,5,257.35,2020-06-17,10-09-2024,cancelled
SUB-110,SAAS-167,platform,23,242.59,2021-08-10,2021-07-17,cancelled
SUB-111,SAAS-372,platform,7,347,2021-12-06,05-03-2021,active
SUB-112,SAAS-212,platform,9,169.47,2024-08-20,24-02-2022,cancelled
SUB-113,SAAS-94,modules,25,362,2023-01-21,07/24/2023,active
SUB-114,SAAS-262,modules,31,421,2024-06-25,2020-03-27,active
SUB-115,SAAS-278,api,38,449,2023-11-25,2020-06-06,active
SUB-116,SAAS-233,platform,15,364.38,2024-07-03,2022-05-25,cancelled
SUB-117,SAAS-126,platform,16,174.45,2021-12-19,14-12-2021,cancelled
SUB-118,SAAS-380,platform,5,156,07-12-2024,10/26/2021,active
SUB-119,SAAS-381,modules,40,404,2023-01-09,2024-07-18,active
SUB-120,SAAS-326,modules,24,299,2023-01-06,2020-12-21,active
SUB-121,SAAS-123,api,1,185.98,10-07-2023,2023-05-22,cancelled
SUB-122,SAAS-205,platform,5,510,2022-09-23,2020-01-13,active
SUB-123,SAAS-227,platform,5,28.45,2023-10-23,2020-03-10,cancelled
SUB-124,SAAS-160,api,49,60,2020-12-23,2020-02-16,past_due
SUB-125,SAAS-348,platform,43,418.41,2023-12-04,05/17/2020,cancelled
SUB-126,SAAS-280,api,15,426.26,2022-10-22,05/23/2023,cancelled
SUB-127,SAAS-204,api,9,224,2023-09-14,2021-05-24,active
SUB-128,SAAS-48,platform,25,357.41,23-11-2022,12/25/2022,active
SUB-129,SAAS-168,api,21,295,2023-08-16,07-02-2023,active
SUB-130,SAAS-300,api,30,294.34,2024-05-22,10-09-2022,active
SUB-131,SAAS-281,support,46,351.22,2021-01-20,2021-04-02,active
SUB-132,SAAS-160,modules,13,486,2023-02-12,09/22/2022,cancelled
SUB-133,SAAS-47,api,27,453,28-04-2024,2021-02-10,active
SUB-134,SAAS-134,support,47,463.16,2021-03-02,2024-04-02,past_due
SUB-135,SAAS-383,api,-9,100,2023-02-27,06/17/2020,cancelled
SUB-136,SAAS-152,api,13,305,2023-02-19,05/26/2020,past_due
SUB-137,SAAS-253,api,34,347,2024-11-14,2023-02-10,active
SUB-138,SAAS-154,support,32,155.19,2020-11-12,2021-08-04,active
SUB-139,SAAS-146,modules,24,170,2022-06-13,2022-09-07,active
SUB-140,SAAS-213,platform,42,265.1,2022-04-25,2020-04-07,active
SUB-141,SAAS-356,platform,40,162,2022-07-10,2023-05-10,active
SUB-142,SAAS-309,platform,1,123,2021-02-24,09/23/2024,active
SUB-143,SAAS-122,support,15,79,2021-09-08,03-06-2023,active
SUB-144,SAAS-265,api,34,163.86,2022-05-16,2023-03-16,cancelled
SUB-145,SAAS-53,modules,24,187.26,19-02-2020,02/18/2021,active
SUB-146,SAAS-315,api,12,170.53,24-12-2020,2021-03-10,active
SUB-147,SAAS-385,modules,18,70.57,2021-09-06,06/08/2021,cancelled
SUB-148,SAAS-68,support,42,223.01,2020-02-07,11/28/2023,active
SUB-149,SAAS-176,modules,2,31.57,2023-02-09,12/25/2021,active
SUB-150,SAAS-11,platform,28,279.64,01-07-2022,2022-06-03,past_due
SUB-151,SAAS-378,modules,-8,338,2023-09-04,03/19/2022,cancelled
SUB-152,SAAS-369,platform,47,497,2021-08-17,2024-07-22,active
SUB-153,SAAS-351,modules,50,478.04,2021-07-28,01/26/2021,active
SUB-154,SAAS-168,support,2,166.61,04-06-2020,2020-06-21,active
SUB-155,SAAS-14,support,22,378,23-01-2020,05/02/2020,active
SUB-156,SAAS-387,modules,50,353.46,2020-05-24,2020-10-11,active
SUB-157,SAAS-390,support,2,251.78,09-02-2021,2022-02-17,cancelled
SUB-158,SAAS-337,api,42,432.6,2024-08-28,10/08/2023,cancelled
SUB-159,SAAS-35,modules,38,178,2020-12-16,2021-01-08,active
SUB-160,SAAS-55,api,3,36,10-07-2024,02/10/2022,active
SUB-161,SAAS-345,platform,25,452.06,2024-01-20,04/12/2024,active
SUB-162,SAAS-390,platform,19,21,2022-02-15,12-08-2024,active
SUB-163,SAAS-170,modules,47,503,2023-10-28,2024-07-03,active
SUB-164,SAAS-88,support,38,508.71,2020-02-17,2020-01-02,cancelled
SUB-165,SAAS-368,support,11,371.8,23-10-2020,2023-01-01,active
SUB-166,SAAS-25,support,8,25,2022-02-18,2020-08-22,active
SUB-167,SAAS-308,api,9,140.5,2021-10-01,2021-03-19,active
SUB-168,SAAS-191,modules,4,414.67,2023-09-07,2023-07-11,cancelled
SUB-169,SAAS-119,platform,-1,400.16,2023-11-13,2021-10-27,past_due
SUB-170,SAAS-62,support,13,452.71,2022-05-03,15-11-2023,active
SUB-171,SAAS-118,api,28,283.08,2022-08-11,08-08-2024,past_due
SUB-172,SAAS-286,modules,17,381.62,2022-09-17,2020-09-16,active
SUB-173,SAAS-359,modules,9,498.08,2023-10-08,2020-01-10,cancelled
SUB-174,SAAS-240,platform,26,475.71,2024-12-24,2020-06-28,past_due
SUB-175,SAAS-220,api,19,337.29,2020-03-14,06/25/2021,active
SUB-176,SAAS-269,support,23,345.86,2022-07-06,08/11/2024,active
SUB-177,SAAS-351,platform,16,294.86,2023-02-05,2024-07-01,active
SUB-178,SAAS-237,platform,15,442.06,2021-03-07,11/03/2021,active
SUB-179,SAAS-87,api,15,172.51,15-08-2021,08/21/2022,cancelled
SUB-180,SAAS-120,platform,11,411.66,21-06-2024,2023-05-22,active
SUB-181,SAAS-339,platform,35,291,2020-09-08,09/01/2023,active
SUB-182,SAAS-208,platform,28,110.01,2023-02-19,03/27/2023,active
SUB-183,SAAS-365,modules,4,445.34,2024-07-20,01/17/2024,active
SUB-184,SAAS-237,platform,13,183.56,04-10-2020,2024-04-03,active
SUB-185,SAAS-334,modules,30,384,2024-02-28,27-03-2021,active
SUB-186,SAAS-67,api,26,132.01,2024-02-06,2021-06-13,active
SUB-187,SAAS-295,support,40,160,2022-10-07,02/26/2023,active
SUB-188,SAAS-286,platform,50,278.72,2020-05-13,2020-09-24,active
SUB-189,SAAS-95,platform,47,61.15,2022-12-15,15-01-2021,past_due
SUB-190,SAAS-215,api,11,62.39,2020-03-11,06/08/2023,cancelled
SUB-191,SAAS-153,support,37,262.76,28-06-2022,07/11/2024,cancelled
SUB-192,SAAS-103,platform,16,145,15-12-2023,2020-07-15,active
SUB-193,SAAS-324,platform,-3,77.06,2020-03-01,23-04-2020,active
SUB-194,SAAS-193,api,3,150,2021-09-15,11/21/2021,cancelled
SUB-195,SAAS-130,api,12,134.14,2022-05-14,10/22/2024,past_due
SUB-196,SAAS-115,api,35,500.45,2021-09-15,2022-10-08,active
SUB-197,SAAS-357,modules,21,495,28-01-2024,25-06-2022,active
SUB-198,SAAS-259,platform,37,377.78,2021-05-03,2022-04-01,active
SUB-199,SAAS-238,support,20,295.05,2020-04-26,09/15/2021,active
SUB-200,SAAS-348,platform,43,346,2024-06-07,2023-06-15,past_due
SUB-201,SAAS-194,api,16,109,2021-01-25,10/01/2020,active
SUB-202,SAAS-72,modules,16,471.8,2023-08-15,03/19/2020,past_due
SUB-203,SAAS-189,support,5,132,2024-01-17,2024-01-27,active
SUB-204,SAAS-202,api,22,132.49,2022-09-09,2022-05-25,past_due
SUB-205,SAAS-64,api,50,69.73,2023-04-22,09/28/2024,active
SUB-206,SAAS-197,api,4,504.46,23-07-2021,2023-04-02,past_due
SUB-207,SAAS-80,modules,45,351.89,2021-11-09,02/02/2021,cancelled
SUB-208,SAAS-65,modules,29,108.12,15-02-2023,01/17/2024,active
SUB-209,SAAS-395,platform,4,198,2021-06-18,2022-06-24,past_due
SUB-210,SAAS-119,modules,28,320.13,2021-11-06,2023-09-21,past_due
SUB-211,SAAS-182,api,47,437.81,2022-04-03,06/05/2022,active
SUB-212,SAAS-311,support,3,456.91,2021-09-24,2020-06-19,active
SUB-213,SAAS-44,modules,42,292.76,2024-06-13,2021-10-04,active
SUB-214,SAAS-236,platform,27,34.78,2022-05-21,07-10-2024,active
SUB-215,SAAS-399,modules,14,223.9,24-04-2021,2022-06-12,past_due
SUB-216,SAAS-12,api,45,342.74,2022-12-08,03-03-2020,active
SUB-217,SAAS-36,platform,10,169.08,2020-04-25,2023-04-03,active
SUB-218,SAAS-72,api,2,46.9,24-07-2023,2023-07-19,past_due
SUB-219,SAAS-189,support,42,146.28,2024-09-05,02/06/2024,active
SUB-220,SAAS-341,modules,44,374,2020-06-24,01/02/2023,cancelled
SUB-221,SAAS-314,modules,14,147.76,2020-05-12,05/11/2020,past_due
SUB-222,SAAS-253,platform,19,223.31,25-09-2023,2023-11-16,active
SUB-223,SAAS-136,platform,42,149.44,2020-12-17,02/17/2023,active
SUB-224,SAAS-341,support,31,52.03,2020-01-01,12/27/2023,active
SUB-225,SAAS-375,api,35,267.01,2021-05-05,11-09-2022,active
SUB-226,SAAS-141,platform,40,360,26-04-2020,04/27/2023,active
SUB-227,SAAS-97,platform,34,132.9,2022-03-20,2021-01-01,active
SUB-228,SAAS-254,api,47,308,04-06-2022,2023-07-26,active
SUB-229,SAAS-273,support,3,259.92,2020-06-28,2022-11-14,past_due
SUB-230,SAAS-219,modules,23,256.85,2023-03-25,09/01/2022,past_due
SUB-231,SAAS-317,modules,22,401.77,2022-06-14,2022-03-18,cancelled
SUB-232,SAAS-166,platform,43,142,2020-06-24,05/13/2021,active
SUB-233,SAAS-296,modules,48,424,19-03-2022,2020-09-16,active
SUB-234,SAAS-78,api,26,305.47,2023-12-25,2022-08-24,past_due
SUB-235,SAAS-335,api,48,487.79,2022-12-18,2024-07-08,active
SUB-236,SAAS-12,modules,44,235.87,2021-12-18,2020-02-01,active
SUB-237,SAAS-149,platform,2,430,2024-06-15,11/25/2020,past_due
SUB-238,SAAS-5,support,2,228.68,2023-02-20,2022-01-23,active
SUB-239,SAAS-286,modules,31,28.23,2024-06-23,2021-07-11,cancelled
SUB-240,SAAS-54,api,36,407,2023-09-18,2020-02-20,active
SUB-241,SAAS-16,api,23,504.64,2022-10-17,2022-02-12,active
SUB-242,SAAS-83,platform,23,98.71,2024-02-11,2020-11-02,active
